code_index,role,encoded_hex,u,v,plane,covered_original_cells,blank_shape
1041,advancing_cho,E0 39,100,156,1,r13c8 r13c9 r14c8 r14c9,False
1042,advancing_cho,E0 3A,116,156,2,r13c9 r13c10 r14c9 r14c10,False
1043,advancing_cho,E0 3B,84,156,3,r13c7 r13c8 r14c7 r14c8,False
1044,advancing_cho,E0 3C,116,156,0,r13c9 r13c10 r14c9 r14c10,False
1045,advancing_cho,E0 3D,116,156,1,r13c9 r13c10 r14c9 r14c10,False
1046,advancing_cho,E0 3E,4,172,2,r14c0 r14c1 r15c0 r15c1,False
1047,advancing_cho,E0 3F,100,156,3,r13c8 r13c9 r14c8 r14c9,False
1048,advancing_cho,E0 40,4,172,0,r14c0 r14c1 r15c0 r15c1,False
1049,advancing_cho,E0 41,148,156,1,r13c12 r13c13 r14c12 r14c13,False
1050,advancing_cho,E0 42,116,172,2,r14c9 r14c10 r15c9 r15c10,False
1051,advancing_cho,E0 43,116,156,3,r13c9 r13c10 r14c9 r14c10,False
1052,advancing_cho,E0 44,84,172,0,r14c7 r14c8 r15c7 r15c8,False
1053,advancing_cho,E0 45,4,172,1,r14c0 r14c1 r15c0 r15c1,False
1054,advancing_space,E0 46,36,188,2,r15c3 r15c4 r16c3 r16c4,True
1125,nonadvancing_jung_jong,E0 8D,84,172,1,r14c7 r14c8 r15c7 r15c8,False
1126,nonadvancing_jung_jong,E0 8E,52,188,2,r15c4 r15c5 r16c4 r16c5,False
1127,nonadvancing_jung_jong,E0 8F,132,156,3,r13c11 r13c12 r14c11 r14c12,False
1128,nonadvancing_jung_jong,E0 90,100,172,0,r14c8 r14c9 r15c8 r15c9,False
1129,nonadvancing_jung_jong,E0 91,100,172,1,r14c8 r14c9 r15c8 r15c9,False
1130,nonadvancing_jung_jong,E0 92,100,188,2,r15c8 r15c9 r16c8 r16c9,False
1131,nonadvancing_jung_jong,E0 93,148,156,3,r13c12 r13c13 r14c12 r14c13,False
1132,nonadvancing_jung_jong,E0 94,116,172,0,r14c9 r14c10 r15c9 r15c10,False
1133,nonadvancing_jung_jong,E0 95,116,172,1,r14c9 r14c10 r15c9 r15c10,False
1134,nonadvancing_jung_jong,E0 96,116,188,2,r15c9 r15c10 r16c9 r16c10,False
1135,nonadvancing_jung_jong,E0 97,164,156,3,r13c13 r13c14 r14c13 r14c14,False
1136,nonadvancing_jung_jong,E0 98,36,188,0,r15c3 r15c4 r16c3 r16c4,False
1137,nonadvancing_jung_jong,E0 99,148,172,1,r14c12 r14c13 r15c12 r15c13,False
1138,nonadvancing_jung_jong,E0 9A,132,188,2,r15c11 r15c12 r16c11 r16c12,False
1139,nonadvancing_jung_jong,E0 9B,4,172,3,r14c0 r14c1 r15c0 r15c1,False
1140,nonadvancing_jung_jong,E0 9C,52,188,0,r15c4 r15c5 r16c4 r16c5,False
1141,nonadvancing_filler,E0 9D,36,188,1,r15c3 r15c4 r16c3 r16c4,True
