member,start,end_exclusive,length,before_hex,after_hex
1/S1071.DAT,0x478DC,0x478FD,33,3A 3F 24 2E 1C DD FF 20 33 DD 66 28 E6 01 3B 27 46 83 DD A0 65 5C DD 5E 1C 7E 1E 20 86 32 1D 1B 37,01 E0 93 E0 8F E0 42 E0 95 E0 8F E0 41 E0 93 E0 8F E0 45 E6 01 E0 99 E0 3D E0 9A E0 3D E0 91 E0 40
1/S1071.DAT,0x47932,0x4795B,41,DD 7E DD 87 54 3B 39 24 E6 01 2E 1C DD 0B 20 33 56 1E 21 3E 32 22 1C 3C E6 01 92 DD 42 23 A4 DD E6 23 1E 21 3E 32 22 1C 3C,01 E0 9B E0 8E E0 3F E0 46 E0 98 E0 8D E0 3F E6 01 E0 9C E0 8E E0 3F E0 46 E0 95 E0 90 E0 43 E0 9D E0 9D E0 9D E0 9D E0 9D
1/S1071.DAT,0x47994,0x479C5,49,3F 3F 92 DD 42 35 36 38 37 E6 01 30 38 41 1C AE 23 24 60 8F 34 9B 1C 9B DD EA 23 3F 22 E6 01 DD 0F DD 44 09 97 26 1B 2D 0A 1C BF 2F DF 61 DF 61 37,01 E0 99 E0 3B E0 46 E0 99 E0 3A E0 46 E0 92 E0 3E E6 01 E0 94 E0 44 E0 46 E0 97 E0 39 E0 46 E0 96 E0 3C E0 9D E0 9D E0 9D E0 9D E0 9D E0 9D E0 9D
COMM.IMG,0x2223C,0x2223F,3,00 00 00,88 88 08
COMM.IMG,0x2224D,0x2224F,2,00 00,22 22
COMM.IMG,0x225BE,0x225C0,2,00 00,88 88
COMM.IMG,0x225CC,0x225D0,4,00 00 00 00,22 22 22 02
COMM.IMG,0x22932,0x22936,4,00 00 00 00,88 88 88 88
COMM.IMG,0x2293B,0x2293E,3,00 00 00,20 33 03
COMM.IMG,0x2293F,0x22941,2,00 00,80 08
COMM.IMG,0x2294D,0x22950,3,00 00 00,22 22 02
COMM.IMG,0x22CAA,0x22CAE,4,00 00 00 00,88 88 88 88
COMM.IMG,0x22CB3,0x22CB7,4,00 00 00 00,22 22 80 08
COMM.IMG,0x22CBA,0x22CBE,4,00 00 00 00,40 15 21 13
COMM.IMG,0x22CBF,0x22CC1,2,00 00,80 08
COMM.IMG,0x22CCC,0x22CD0,4,00 00 00 00,20 02 20 02
COMM.IMG,0x22CD7,0x22CD9,2,00 00,80 08
COMM.IMG,0x2302D,0x2302F,2,00 00,80 08
COMM.IMG,0x23034,0x23037,3,00 00 00,20 A2 08
COMM.IMG,0x2303A,0x23041,7,00 00 00 00 00 00 00,70 27 22 12 01 80 08
COMM.IMG,0x2304C,0x2304D,1,00,22
COMM.IMG,0x2304E,0x23050,2,00 00,22 02
COMM.IMG,0x23057,0x23059,2,00 00,80 08
COMM.IMG,0x233AD,0x233AF,2,00 00,80 08
COMM.IMG,0x233B5,0x233B7,2,00 00,A8 02
COMM.IMG,0x233BA,0x233BC,2,00 00,50 05
COMM.IMG,0x233BD,0x233C0,3,00 00 00,32 01 88
COMM.IMG,0x233CC,0x233CF,3,00 00 00,20 22 02
COMM.IMG,0x233D7,0x233D9,2,00 00,80 08
COMM.IMG,0x2372D,0x2372E,1,00,88
COMM.IMG,0x23734,0x23737,3,00 00 00,80 28 02
COMM.IMG,0x2373A,0x23740,6,00 00 00 00 00 00,40 15 33 33 80 08
COMM.IMG,0x23757,0x2375A,3,00 00 00,80 88 88
COMM.IMG,0x23AAC,0x23AAE,2,00 00,80 08
COMM.IMG,0x23AB3,0x23AB6,3,00 00 00,80 88 22
COMM.IMG,0x23ABA,0x23ABF,5,00 00 00 00 00,40 24 02 20 02
COMM.IMG,0x23ACA,0x23AD2,8,00 00 00 00 00 00 00 00,80 88 88 88 88 88 88 08
COMM.IMG,0x23AD7,0x23AD9,2,00 00,88 08
COMM.IMG,0x23E2C,0x23E2D,1,00,88
COMM.IMG,0x23E32,0x23E36,4,00 00 00 00,80 88 20 02
COMM.IMG,0x23E3A,0x23E3C,2,00 00,40 26
COMM.IMG,0x23E3D,0x23E40,3,00 00 00,20 42 04
COMM.IMG,0x23E4E,0x23E4F,1,00,88
COMM.IMG,0x23E53,0x23E54,1,00,88
COMM.IMG,0x23E57,0x23E59,2,00 00,88 08
COMM.IMG,0x241AB,0x241AD,2,00 00,80 08
COMM.IMG,0x241BA,0x241BC,2,00 00,40 26
COMM.IMG,0x241BD,0x241BF,2,00 00,62 44
COMM.IMG,0x241CE,0x241CF,1,00,88
COMM.IMG,0x241D3,0x241D4,1,00,88
COMM.IMG,0x241D6,0x241D9,3,00 00 00,80 88 08
COMM.IMG,0x2452B,0x2452C,1,00,88
COMM.IMG,0x2453B,0x2453E,3,00 00 00,64 66 46
COMM.IMG,0x24544,0x24547,3,00 00 00,80 88 88
COMM.IMG,0x2454E,0x2454F,1,00,88
COMM.IMG,0x24553,0x24554,1,00,88
COMM.IMG,0x24556,0x24559,3,00 00 00,88 80 08
COMM.IMG,0x248C6,0x248C8,2,00 00,80 08
COMM.IMG,0x248D3,0x248D4,1,00,88
COMM.IMG,0x248D5,0x248D9,4,00 00 00 00,88 08 80 08
COMM.IMG,0x24C45,0x24C47,2,00 00,80 88
COMM.IMG,0x24C48,0x24C49,1,00,88
COMM.IMG,0x24C53,0x24C56,3,00 00 00,80 88 08
COMM.IMG,0x24C57,0x24C59,2,00 00,80 08
COMM.IMG,0x24FC5,0x24FC6,1,00,88
COMM.IMG,0x24FC7,0x24FC9,2,00 00,88 08
COMM.IMG,0x24FD7,0x24FD9,2,00 00,80 08
COMM.IMG,0x25345,0x25348,3,00 00 00,80 88 08
COMM.IMG,0x25357,0x25359,2,00 00,80 08
COMM.IMG,0x25A03,0x25A07,4,00 00 00 00,20 22 32 13
COMM.IMG,0x25A2C,0x25A2F,3,00 00 00,11 11 11
COMM.IMG,0x25A3C,0x25A3F,3,00 00 00,40 44 04
COMM.IMG,0x25D86,0x25D89,3,00 00 00,32 81 08
COMM.IMG,0x25DAE,0x25DB0,2,00 00,10 11
COMM.IMG,0x25DBC,0x25DBF,3,00 00 00,44 44 04
COMM.IMG,0x25DCF,0x25DD1,2,00 00,20 02
COMM.IMG,0x26103,0x26109,6,00 00 00 00 00 00,44 55 75 17 81 08
COMM.IMG,0x2612F,0x26131,2,00 00,10 01
COMM.IMG,0x2613E,0x2613F,1,00,44
COMM.IMG,0x2614F,0x26151,2,00 00,20 02
COMM.IMG,0x26485,0x26489,4,00 00 00 00,32 77 C5 08
COMM.IMG,0x264AF,0x264B1,2,00 00,10 01
COMM.IMG,0x264BD,0x264BF,2,00 00,40 04
COMM.IMG,0x264CF,0x264D1,2,00 00,20 02
COMM.IMG,0x26804,0x2680A,6,00 00 00 00 00 00,30 13 20 F3 8C 88
COMM.IMG,0x2682F,0x26831,2,00 00,10 01
COMM.IMG,0x2683D,0x26840,3,00 00 00,44 44 44
COMM.IMG,0x2684F,0x26851,2,00 00,20 02
COMM.IMG,0x26B84,0x26B85,1,00,33
COMM.IMG,0x26B87,0x26B89,2,00 00,D1 0C
COMM.IMG,0x26BAF,0x26BB0,1,00,11
COMM.IMG,0x26BBC,0x26BBF,3,00 00 00,40 24 02
COMM.IMG,0x26BCF,0x26BD1,2,00 00,20 02
COMM.IMG,0x26F04,0x26F05,1,00,11
COMM.IMG,0x26F06,0x26F09,3,00 00 00,10 C1 0C
COMM.IMG,0x26F2E,0x26F30,2,00 00,10 01
COMM.IMG,0x26F3D,0x26F3F,2,00 00,20 02
COMM.IMG,0x26F4F,0x26F52,3,00 00 00,20 22 22
COMM.IMG,0x27284,0x27289,5,00 00 00 00 00,10 11 11 C0 0C
COMM.IMG,0x272B5,0x272B7,2,00 00,20 02
COMM.IMG,0x272BA,0x272C2,8,00 00 00 00 00 00 00 00,10 11 11 31 13 11 11 01
COMM.IMG,0x272CF,0x272D1,2,00 00,20 02
COMM.IMG,0x27607,0x27609,2,00 00,C4 08
COMM.IMG,0x27635,0x27637,2,00 00,20 02
COMM.IMG,0x2763A,0x27642,8,00 00 00 00 00 00 00 00,20 22 22 22 33 22 22 02
COMM.IMG,0x2764F,0x27651,2,00 00,20 02
COMM.IMG,0x27987,0x27988,1,00,44
COMM.IMG,0x279B5,0x279B7,2,00 00,20 02
COMM.IMG,0x279BE,0x279BF,1,00,11
COMM.IMG,0x279CF,0x279D1,2,00 00,20 02
COMM.IMG,0x27D06,0x27D08,2,00 00,40 04
COMM.IMG,0x27D2D,0x27D31,4,00 00 00 00,20 22 22 02
COMM.IMG,0x27D34,0x27D38,4,00 00 00 00,11 31 13 01
COMM.IMG,0x27D3E,0x27D3F,1,00,11
COMM.IMG,0x27D4F,0x27D51,2,00 00,20 02
COMM.IMG,0x280B0,0x280B1,1,00,22
COMM.IMG,0x280B5,0x280B8,3,00 00 00,20 02 11
COMM.IMG,0x280BE,0x280BF,1,00,11
COMM.IMG,0x280CF,0x280D1,2,00 00,20 02
COMM.IMG,0x28430,0x28431,1,00,22
COMM.IMG,0x28433,0x28439,6,00 00 00 00 00 00,22 22 22 22 33 22
COMM.IMG,0x2843E,0x2843F,1,00,11
COMM.IMG,0x2844F,0x28451,2,00 00,20 02
COMM.IMG,0x287B0,0x287B1,1,00,22
COMM.IMG,0x287B6,0x287B8,2,00 00,10 01
COMM.IMG,0x287BE,0x287BF,1,00,11
COMM.IMG,0x287CF,0x287D1,2,00 00,20 02
COMM.IMG,0x28B2F,0x28B31,2,00 00,20 02
COMM.IMG,0x28B36,0x28B38,2,00 00,10 01
COMM.IMG,0x28B3E,0x28B3F,1,00,11
COMM.IMG,0x28B4F,0x28B51,2,00 00,20 02
COMM.IMG,0x28EAF,0x28EB1,2,00 00,20 02
COMM.IMG,0x29598,0x2959A,2,00 00,10 01
COMM.IMG,0x2959F,0x295A1,2,00 00,10 01
COMM.IMG,0x295C7,0x295C9,2,00 00,40 04
COMM.IMG,0x29917,0x2991A,3,00 00 00,11 10 01
COMM.IMG,0x2991F,0x29921,2,00 00,10 01
COMM.IMG,0x29947,0x29949,2,00 00,40 04
COMM.IMG,0x29C97,0x29C9A,3,00 00 00,11 10 01
COMM.IMG,0x29C9F,0x29CA1,2,00 00,10 01
COMM.IMG,0x29CC0,0x29CC1,1,00,44
COMM.IMG,0x29CC7,0x29CC9,2,00 00,40 04
COMM.IMG,0x2A017,0x2A01A,3,00 00 00,11 11 01
COMM.IMG,0x2A01E,0x2A021,3,00 00 00,11 11 01
COMM.IMG,0x2A040,0x2A041,1,00,44
COMM.IMG,0x2A047,0x2A049,2,00 00,40 04
COMM.IMG,0x2A397,0x2A39A,3,00 00 00,11 10 01
COMM.IMG,0x2A39F,0x2A3A1,2,00 00,10 01
COMM.IMG,0x2A3C0,0x2A3C1,1,00,44
COMM.IMG,0x2A3C7,0x2A3C9,2,00 00,40 04
COMM.IMG,0x2A717,0x2A71A,3,00 00 00,11 10 01
COMM.IMG,0x2A71F,0x2A721,2,00 00,10 01
COMM.IMG,0x2A740,0x2A741,1,00,44
COMM.IMG,0x2A746,0x2A749,3,00 00 00,44 44 04
COMM.IMG,0x2AA97,0x2AA9A,3,00 00 00,11 10 01
COMM.IMG,0x2AA9F,0x2AAA1,2,00 00,10 01
COMM.IMG,0x2AAB5,0x2AAB6,1,00,44
COMM.IMG,0x2AAC0,0x2AAC1,1,00,44
COMM.IMG,0x2AAC7,0x2AAC9,2,00 00,40 04
COMM.IMG,0x2AE17,0x2AE1A,3,00 00 00,11 10 01
COMM.IMG,0x2AE1F,0x2AE21,2,00 00,10 01
COMM.IMG,0x2AE35,0x2AE36,1,00,44
COMM.IMG,0x2AE3A,0x2AE3E,4,00 00 00 00,40 44 44 44
COMM.IMG,0x2AE40,0x2AE41,1,00,44
COMM.IMG,0x2AE47,0x2AE49,2,00 00,40 04
COMM.IMG,0x2B1B5,0x2B1B6,1,00,44
COMM.IMG,0x2B1BD,0x2B1BF,2,00 00,40 04
COMM.IMG,0x2B1C0,0x2B1C1,1,00,44
COMM.IMG,0x2B1C7,0x2B1C9,2,00 00,40 04
COMM.IMG,0x2B51D,0x2B520,3,00 00 00,44 44 44
COMM.IMG,0x2B535,0x2B536,1,00,44
COMM.IMG,0x2B53D,0x2B541,4,00 00 00 00,40 44 44 44
COMM.IMG,0x2B547,0x2B549,2,00 00,40 04
COMM.IMG,0x2B89F,0x2B8A1,2,00 00,40 04
COMM.IMG,0x2B8B5,0x2B8B6,1,00,44
COMM.IMG,0x2B8BD,0x2B8BE,1,00,44
COMM.IMG,0x2B8C0,0x2B8C1,1,00,44
COMM.IMG,0x2B8C7,0x2B8C9,2,00 00,40 04
COMM.IMG,0x2BC1F,0x2BC21,2,00 00,40 04
COMM.IMG,0x2BC33,0x2BC39,6,00 00 00 00 00 00,44 44 44 44 44 44
COMM.IMG,0x2BC3D,0x2BC3E,1,00,44
COMM.IMG,0x2BC40,0x2BC41,1,00,44
COMM.IMG,0x2BC47,0x2BC49,2,00 00,40 04
COMM.IMG,0x2BF9F,0x2BFA1,2,00 00,40 04
COMM.IMG,0x2BFBC,0x2BFBE,2,00 00,40 04
COMM.IMG,0x2BFC0,0x2BFC1,1,00,44
COMM.IMG,0x2BFC7,0x2BFC9,2,00 00,40 04
COMM.IMG,0x2C31F,0x2C320,1,00,44
COMM.IMG,0x2C33C,0x2C33E,2,00 00,40 04
COMM.IMG,0x2C340,0x2C341,1,00,44
COMM.IMG,0x2C347,0x2C349,2,00 00,40 04
COMM.IMG,0x2C69F,0x2C6A0,1,00,44
PSX.EXE,0x5138C,0x5138F,3,46 AD 05,1D 88 06
PSX.EXE,0x515A0,0x515A3,3,46 AD 05,1D 88 06
PSX.EXE,0x87874,0x87879,5,00 00 00 00 00,EF FB 82 24 0E
PSX.EXE,0x8787A,0x8787D,3,00 00 00,43 2C 07
PSX.EXE,0x8787E,0x87880,2,00 00,60 14
PSX.EXE,0x87884,0x87889,5,00 00 00 00 00,9B FB 82 24 11
PSX.EXE,0x8788A,0x8788D,3,00 00 00,43 2C 07
PSX.EXE,0x8788E,0x87890,2,00 00,60 14
PSX.EXE,0x87894,0x87898,4,00 00 00 00,46 AD 05 08
PSX.EXE,0x8789C,0x8789F,3,00 00 00,21 40 40
PSX.EXE,0x878A0,0x878A1,1,00,02
PSX.EXE,0x878A2,0x878A8,6,00 00 00 00 00 00,09 24 2D 88 06 08
PSX.EXE,0x878AC,0x878AD,1,00,0E
PSX.EXE,0x878AE,0x878B9,11,00 00 00 00 00 00 00 00 00 00 00,48 24 F4 FF 09 24 E8 FF BD 27 14
PSX.EXE,0x878BA,0x878BD,3,00 00 00,BF AF 10
PSX.EXE,0x878BE,0x878C3,5,00 00 00 00 00,A5 AF 40 40 08
PSX.EXE,0x878C4,0x878D1,13,00 00 00 00 00 00 00 00 00 00 00 00 00,1A 80 0A 3C 21 50 48 01 38 21 4B 95 08
