kind,beol,jamo_index,pua,code_index,encoded_hex,physical_u,physical_v,plane,uses_rows_12_15,uses_row_15,bitmap_sha256
c,0,0,U+F601,1043,E0 3B,84,156,3,False,False,BFE1EEBCB4F9D23F405C4BC3D40D8600077B2BB64DB719B7184EF270CAE420BD
c,0,2,U+F603,1042,E0 3A,116,156,2,False,False,6207886E58E8A8634D6273D298DF80AE1D9320DB43B99EAFF79841C292521C99
c,0,18,U+F613,1045,E0 3D,116,156,1,False,False,7661CDB8028317189C15C988330F8F24FC6C4B46DF90A333E22C0FBB36FEA028
c,1,0,U+F615,1046,E0 3E,4,172,2,False,False,F9E310E47EB907F8CF292903C02DACC5072B337FB0DE04A485E2F14B985A1BD9
c,1,18,U+F627,1048,E0 40,4,172,0,False,False,8D5F4A223FC56F527CB2096449C935710A00DA65709C65C8151B4A48B116228D
c,2,0,U+F629,1052,E0 44,84,172,0,False,False,F422631F2041CAE84FD1502F117D27863D18CFCF9B79EE7B7BA12361BE99A965
c,3,0,U+F63D,1041,E0 39,100,156,1,False,False,0BBDE88C23C0366D16D03E4C2A001380B08BCB60246BD3B0849ECB7F2C9DA44F
c,4,11,U+F65C,1044,E0 3C,116,156,0,False,False,AE6CDAABC930A1C9B7D5AF1718747FD31B6F723C7DD970B6A03E30284FD4BEBD
c,5,0,U+F665,1047,E0 3F,100,156,3,False,False,5EB51FCF00CCB3D41E16F399C0B1D8A30B73F6D5CAFC7298ABD1F38A1D8697A3
c,6,0,U+F679,1051,E0 43,116,156,3,False,False,8B4CD11DF0049D0F93FEB27203DB144E0EE64796495E7A5937BAAEFD12CEC1D0
c,6,12,U+F685,1053,E0 45,4,172,1,False,False,AEFFEC72E8C20B9971B7D9A9B061CF30D4298BCCB9F7E7E04CE446DB13A56827
c,6,14,U+F687,1050,E0 42,116,172,2,False,False,10BA3B343B03D383BD858A66E5B0D57453506174B38E622ABBD2798624E7B4D6
c,6,18,U+F68B,1049,E0 41,148,156,1,False,False,9D0407CBADF91A10D43E115A7E776A21249010592839A118168301F295A4010F
t,0,1,U+F6F9,1126,E0 8E,52,188,2,True,True,7F653D6EDFBA9323455CA71E0F0379CACACD6E81843408EEA16696419E845950
t,1,1,U+F715,1126,E0 8E,52,188,2,True,True,7F653D6EDFBA9323455CA71E0F0379CACACD6E81843408EEA16696419E845950
t,2,1,U+F731,1125,E0 8D,84,172,1,True,True,E0A1B08608B9B3095896974BFECD1DC6DBA143F94FB26D3ADC8DD6587D3E0A55
t,3,1,U+F74D,1128,E0 90,100,172,0,True,False,3F5E33B74F2B5BC930AA4EAA9031B1B8B2B8A5CA6BCF292908928E499C40758F
t,3,8,U+F754,1127,E0 8F,132,156,3,True,False,9DC4E23DFCF198399B9DA5FA9F9AB8C48A403A9CA9D5DD9B93AE57DE7C45CE73
v,0,0,U+F6A1,1137,E0 99,148,172,1,True,False,C3A4A8C540AB66FCF8A0975972C7A51E6B6A527B535FB552B5EB12F1B079A53B
v,0,8,U+F6A9,1130,E0 92,100,188,2,True,False,3593EAF55FE7FEBBE2F0C01E2178118CEFC8079AAB829C2AE4EA9C63502600AF
v,0,9,U+F6AA,1135,E0 97,164,156,3,True,False,3ACF3961D587F685FE341FD77C5FD4B0C7FF05B284D2632A28705D2417ED05E4
v,0,13,U+F6AE,1132,E0 94,116,172,0,True,False,3448637125D0464F9630FCA7582F176AE98F0169ADB0FAA1A8FB2C679FBB16E0
v,1,0,U+F6B7,1137,E0 99,148,172,1,True,False,C3A4A8C540AB66FCF8A0975972C7A51E6B6A527B535FB552B5EB12F1B079A53B
v,1,4,U+F6BB,1138,E0 9A,132,188,2,True,False,94A6D9151E7566BCA2897801940787C84089A4BA4ED98289E935F57798E75F97
v,1,8,U+F6BF,1129,E0 91,100,172,1,True,False,372AD305B5BF1437B548BB33A05497BCCE24C2A5468804D5B73FE62EEA7EC90A
v,1,14,U+F6C5,1134,E0 96,116,188,2,True,False,570AFA37ACBD17C5DED94DC9D441547C7A3E6672C4D6D1B62460B84876CB2FA1
v,2,0,U+F6CD,1139,E0 9B,4,172,3,False,False,E079679A0456A033064650EC3057EAC5BA6BC4A86BB6B0A7470C9506E9E7B173
v,2,1,U+F6CE,1136,E0 98,36,188,0,False,False,244426E53C5D5D1DCF66C83D24E3A7D655C5CFB33D4529A895D3278D34D8C4DF
v,2,4,U+F6D1,1140,E0 9C,52,188,0,False,False,B60B1C8CF839F42F78682C5A7C40BCC6928CE55FC2CE413734244C5FA10F86A0
v,2,8,U+F6D5,1133,E0 95,116,172,1,False,False,41B76D26FEB4A764DF1D6CC01C5DAAC168587DD0197CA8BE24432291924E1554
v,3,8,U+F6EB,1133,E0 95,116,172,1,False,False,41B76D26FEB4A764DF1D6CC01C5DAAC168587DD0197CA8BE24432291924E1554
v,3,13,U+F6F0,1131,E0 93,148,156,3,False,False,EE2442FA746130555112C75CFD3FE20374475C42D82BC308F1B37C1ED88049AE
