kind,beol,jamo_index,pua,glyph_index,encoded_hex,bitmap_sha256,atlas_row,atlas_col,plane,text_reads,nontext_reads
c,0,0,U+F601,1043,E0 3B,F781602353E59D3DD9B2B480FF5383425B19A4B92DD448AEA24247050D2A8494,12,8,3,42,0
c,0,2,U+F603,1041,E0 39,B0B9B86F11326275C1800D6F4E991642FE35067F8A242396B89CB483AB56A683,12,8,1,42,0
c,0,18,U+F613,1046,E0 3E,096B1F784E6A17B12CA9C7B143C0A17AF580AE4F223DC341486CC47BEF3454C5,12,9,2,13,0
c,1,0,U+F615,1047,E0 3F,9FB7E1CEC5A0E30BAA1EF4D3FC62251840D1A1400F313BE294A57048202D43FF,12,9,3,13,0
c,1,18,U+F627,1048,E0 40,E2EB1C8B636711B9C04C8E2F7A51843BB8B1992A0ED263D2811E0D17737F9ABB,12,10,0,18,0
c,2,0,U+F629,1051,E0 43,E9A4F030E197D43EE6AD8747914179635B8FEEE8B63EEE938F1425287C977180,12,10,3,18,0
c,3,0,U+F63D,1042,E0 3A,C97B50AF9AE848ADFCC1267FFFDC876387CA956AA274B3D5A32E2E7C7ED457DD,12,8,2,42,0
c,4,11,U+F65C,1045,E0 3D,C5BF6DA3138DC3405BF07B8851E9EE75164C573DAE7ED6285E812A87B92A72E4,12,9,1,13,0
c,5,0,U+F665,1044,E0 3C,32C22E7B21B23347CD4C06EDDEABA358F6423FDE859812A0B8D9A9B043EA5975,12,9,0,13,0
c,6,0,U+F679,1052,E0 44,45FFDFB52CCA1FEE92D2CA0B66E431FC424FA0E233F6272EC1F58025080DEDF5,12,11,0,58,0
c,6,12,U+F685,1053,E0 45,DECFAD7F3037047E11EAC273CEBDD1B20D6CE715ADD8E836A444E2B8271641F2,12,11,1,58,0
c,6,14,U+F687,1049,E0 41,A5B0BA36409014D340B22EBF73C083482EE9EBA959B78B18C9A30224289D2599,12,10,1,18,0
c,6,18,U+F68B,1050,E0 42,76A8D8F8906A0654FD18ABE3E9B41FC447EBEE9F3B4C196DE9202557ECC1ECC5,12,10,2,18,0
t,0,1,U+F6F9,1127,E0 8F,C23178EF59117DD3858B479C8F35A3410AAFBDF8BCB06479A05DB4821F9281C4,13,8,3,57,0
t,1,1,U+F715,1127,E0 8F,C23178EF59117DD3858B479C8F35A3410AAFBDF8BCB06479A05DB4821F9281C4,13,8,3,57,0
t,2,1,U+F731,1125,E0 8D,7E640E1AFC000962297D2B30D349B1F2B4CF0EBE4571CAC1EB48BE6BF6D3E5F3,13,8,1,57,0
t,3,1,U+F74D,1128,E0 90,883B94BE2A74CB5F0EEF7016074F75B6E380CB7C8B93A343A3084ADF2A0BED73,13,9,0,16,0
t,3,8,U+F754,1126,E0 8E,63155E4FEBD54DD400E7A2F5B944B39D5151004AF15B85C14EBF85C982B9D62C,13,8,2,57,0
v,0,0,U+F6A1,1139,E0 9B,34F1D1F302A02CFCE7BB7C8BC4E0CD7F8E7936A74DEE29A186B327C862D99E01,13,11,3,66,0
v,0,8,U+F6A9,1130,E0 92,CD36F6800ED3B4F68CC273FF08F12452AB14D5EEA8933C2373497B10EC90B3D2,13,9,2,16,0
v,0,9,U+F6AA,1135,E0 97,FECE1B43DD97EB3D4C09AFDB979454D7CC82CF92AF81D853AEB092229BFB0FAE,13,10,3,20,0
v,0,13,U+F6AE,1132,E0 94,05A9FF79B89BF649AAA17D1326F439714E50D14CE0E6FFBF545F9EF4BF95840A,13,10,0,20,0
v,1,0,U+F6B7,1139,E0 9B,34F1D1F302A02CFCE7BB7C8BC4E0CD7F8E7936A74DEE29A186B327C862D99E01,13,11,3,66,0
v,1,4,U+F6BB,1140,E0 9C,F10D8D73C1B49317DFCEFF53F143A277D8B5E09B4400B8C5B4BE3C458F62BC10,13,12,0,82,0
v,1,8,U+F6BF,1129,E0 91,BFDD835F4303CE4CA308EA3CD5BF9F7E5F0581474CDE6E8E448FCD7B1E067980,13,9,1,16,0
v,1,14,U+F6C5,1134,E0 96,AEC53AF7146D921EA4451E4E0F36ADD36304AD98F6F31ABA27C551D645BDCD5C,13,10,2,20,0
v,2,0,U+F6CD,1137,E0 99,C006550202D0C94DEA4C6B73CA5004E360DE5415BF39948E5313446052A37A6D,13,11,1,66,0
v,2,1,U+F6CE,1136,E0 98,B62B5D57A9DA934E18A4347EFF772D5F9C7FE15986D809AF49E4135AFF2BAEBD,13,11,0,66,0
v,2,4,U+F6D1,1138,E0 9A,5EE4826542A009AEDFB9CFA715E430B04157538FFC17C2B44B47D35D52FB02F9,13,11,2,66,0
v,2,8,U+F6D5,1133,E0 95,B8F5D0A8A87BF973E8666F607C8D5CD0CEF31419D47FF7BE892ADAF0B75ED0DA,13,10,1,20,0
v,3,8,U+F6EB,1133,E0 95,B8F5D0A8A87BF973E8666F607C8D5CD0CEF31419D47FF7BE892ADAF0B75ED0DA,13,10,1,20,0
v,3,13,U+F6F0,1131,E0 93,F6E5D1BC7EF779F68468F98BB615755409C7C21FEA8D4E14972E67CA9A9ACF7E,13,9,3,16,0
