glyph index,occurrences,character
243,165,
768,70,
544,50,
276,48,
222,28,
466,25,
284,25,
676,21,
654,18,
306,17,
551,17,
529,17,
480,17,
517,15,
363,12,
443,11,
467,9,
825,8,
732,8,
553,7,
619,7,
314,7,
579,7,
263,6,
655,6,
563,6,
752,6,
469,5,
751,5,
594,5,
575,5,
509,5,
532,5,
461,5,
739,4,
586,4,
664,4,
558,4,
404,4,
574,4,
539,4,
663,3,
709,3,
781,3,
650,3,
608,3,
633,3,
772,3,
749,3,
809,3,
523,2,
755,2,
801,2,
605,2,
661,2,
479,2,
702,2,
822,2,
820,2,
724,2,
662,2,
695,2,
677,2,
293,2,
681,2,
685,2,
598,2,
683,2,
671,1,
769,1,
741,1,
641,1,
791,1,
797,1,
737,1,
784,1,
796,1,
521,1,
785,1,
552,1,
738,1,
804,1,
710,1,
795,1,
748,1,
771,1,
811,1,
799,1,
774,1,
783,1,
384,1,
597,1,
763,1,
790,1,
792,1,
765,1,
693,1,
