state,source_file,match_ratio,marker,ram_marker_offset,ram_payload_start,file_payload_start,end_exclusive,length,prefix_kind,payload_hex
slot1.state.bin,F/SF0D1.DAT,0.958147,0x17,0x117088,0x11708C,0x4788C,0x47898,12,control_0000,40 32 58 30 44 22 4a 48 1d 1b 20 37
slot1.state.bin,F/SF0D1.DAT,0.958147,0x17,0x117138,0x11713C,0x4793C,0x47956,26,control_0000,36 23 20 3e dd 17 23 dd c5 29 21 24 e6 01 5d cb 23 dd ca dd 8a 1e 1d 44 48 37
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x11708E,0x117090,0x47890,0x478BE,46,none,50 8b 25 e6 01 47 78 6b 42 5d 28 24 5c 71 dd 39 dd 03 53 1c 42 31 4e 36 1b 26 dd d9 da 23 5b cd dd 1a 5a 2f de 07 3a 59 22 3d 26 30 2b 37
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x1170EE,0x1170F0,0x478F0,0x4791A,42,none,dd ae 25 e6 01 3b 27 46 1c dd 88 df 3e df 44 2a 24 dd 47 7e 2f e6 01 51 dd 3d 51 3a 59 21 1e 27 29 1f 1c 30 28 1d 1b 1c 20 3c
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x11714A,0x11714C,0x4794C,0x47967,27,none,50 8b 25 e6 01 27 35 40 45 2a dd 47 7e 36 9d 27 29 1f 43 49 30 28 df 61 df 61 37
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x117198,0x11719A,0x4799A,0x479B0,22,none,50 8b 25 e6 01 40 45 28 dd 3a 53 64 31 7c 23 dd 01 20 1b 27 2b 37
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x1171E0,0x1171E2,0x479E2,0x479FC,26,none,dd ae 25 e6 01 3d 1e 24 bb 80 34 dd 89 ba 23 40 45 1c 61 2f de 38 3a 59 3d 26
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x11722C,0x11722E,0x47A2E,0x47A55,39,none,dd ae 25 e6 01 38 1e 24 40 45 2a 92 dd 49 1c dd 47 7e 35 36 c6 32 1f cf 1c e6 01 dd 8b 46 28 3f 22 1c 35 55 26 1d 3c
slot10.state.bin,23/S2081.DAT,0.876674,0x19,0x117286,0x117288,0x47A88,0x47A9B,19,none,50 8b 25 e6 01 28 29 24 dd 8b 46 21 79 dd 3d 1b 27 2b 37
slot2.state.bin,F/SF0D1.DAT,0.958147,0x17,0x117088,0x11708C,0x4788C,0x47898,12,control_0000,40 32 58 30 44 22 4a 48 1d 1b 20 37
slot2.state.bin,F/SF0D1.DAT,0.958147,0x17,0x117138,0x11713C,0x4793C,0x47956,26,control_0000,36 23 20 3e dd 17 23 dd c5 29 21 24 e6 01 5d cb 23 dd ca dd 8a 1e 1d 44 48 37
slot3.state.bin,22/S2053.DAT,0.850446,0x19,0x1170CC,0x1170CE,0x478CE,0x478E7,25,none,5e 5d 25 e6 01 3d 3e 6a 24 5f 34 47 62 31 2f de 60 1b 28 33 29 21 3e 32 1f
slot3.state.bin,22/S2053.DAT,0.850446,0x17,0x117124,0x117128,0x47928,0x4793B,19,control_0000,ad 83 1c 61 2a e6 01 43 20 29 21 38 33 46 27 1e 1f 20 3c
slot3.state.bin,22/S2053.DAT,0.850446,0x19,0x117178,0x11717A,0x4797A,0x47988,14,none,50 8b 25 e6 01 43 20 29 1f 20 35 36 02 3c
slot3.state.bin,22/S2053.DAT,0.850446,0x19,0x1171B8,0x1171BA,0x479BA,0x479DA,32,none,50 8b 25 e6 01 3b 27 46 1c b0 1e 21 1b 22 3b c4 2f e6 01 54 1d 1f 35 36 9f 29 21 1b 22 1c 35 37
slot3.state.bin,22/S2053.DAT,0.850446,0x19,0x11721C,0x11721E,0x47A1E,0x47A2D,15,none,5e 5d 25 e6 01 40 51 1d 1b 20 42 34 81 53 02
