검수번호,file,offset,현재_speaker,제안_speaker,register,mixed_register,speaker_lines,japanese,현재_korean,제안_korean,검수결과,심각도,문제유형,수정근거,확신도,현재_글자수,제안_글자수,글자수_증감,길이주의
126,1/S1041.DAT,0x48058,산의 정령,산의 정령,plain,MIXED,11,山の精霊 ええ<CTRL:E4:3D>しかし、あなたはもう一度炎を消しにくることになります。,산의 정령: 그렇습니다. 하지만 당신은 언젠가 다시 불을 끄러 오게 됩니다.,산의 정령: 그렇습니다. 하지만 당신은 다시 이 불을 끄러 오게 될 것입니다.,수정 권장,높음,의미 정확성,もう一度는 '언젠가'가 아니라 '다시 한 번'.,높음,42,43,1,확인 필요
128,1/S1041.DAT,0x480F6,산의 정령,산의 정령,plain,MIXED,11,山の精霊 それが、あなたの運命なのです。,산의 정령: 그것이 당신의 운명이기 때문입니다.,산의 정령: 그것이 당신의 운명입니다.,수정 권장,중간,직역 보정,원문에 없는 인과 표현 '때문입니다'를 제거.,높음,26,21,-5,
150,1/S1061.DAT,0x47C3E,아크,아크,plain,MIXED,18,とにかく俺は村を出て行く。パレンシア城に行けば何か分かるかもしれない。,아크: 난 마을을 떠날 거야. 팔렌시아성에 가면 뭔가 알 수 있겠지.,아크: 난 마을을 떠날 거야. 팔렌시아 성에 가면 뭔가 알 수 있겠지.,수정 권장,중간,용어·표기 통일,팔렌시아 성 띄어쓰기: 동일 지명의 기존 표기와 통일.,높음,38,39,1,확인 필요
178,21/S2011.DAT,0x4791A,,,,,,これが、パレンシア城か・・。,여기가 팔렌시아성인가...,여기가 팔렌시아 성인가...,수정 권장,중간,용어·표기 통일,팔렌시아 성 띄어쓰기: 동일 지명의 기존 표기와 통일.,높음,14,15,1,확인 필요
181,21/S2011.DAT,0x47BAC,병사,병사,plain,MIXED,37,兵士 パレンシア城に何の用だ小僧(こぞう)。ここは子供の遊び場ではないぞ!,"병사: 꼬마야, 팔렌시아성에는 무슨 일이지? 여긴 아이들 놀이터가 아니다!","병사: 꼬마야, 팔렌시아 성에는 무슨 일이지? 여긴 아이들 놀이터가 아니다!",수정 권장,중간,용어·표기 통일,팔렌시아 성 띄어쓰기: 동일 지명의 기존 표기와 통일.,높음,41,42,1,확인 필요
265,21/S2041.DAT,0x47EFE,,,plain,,,<CTRL:E5:03>エリアMAPをオープンしますか？<CTRL:E5:03>オープンする<CTRL:E5:03>オープンしない,에리어 MAP을 열까요?|연다|열지 않는다,에어리어 맵을 열까요?|연다|열지 않는다,수정 권장,중간,용어·표기 통일,에어리어 맵 표기: 혼용된 일본식·영문 표기를 자연스럽게 정리.,높음,23,22,-1,
276,21/S2041.DAT,0x48440,승무원,승무원,,MIXED,27,乗員 何が知りたいですか？,승무원: 무엇이 알고 싶으십니까?,승무원: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,18,18,0,
290,21/S2042.DAT,0x480D4,초핀,초핀,,MIXED,288,チョピン 何が知りたいですか？,초핀: 무엇이 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,17,17,0,
323,21/S2045.DAT,0x4758E,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
327,21/S2045.DAT,0x47914,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
