state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-E8C8C4E642CBDB4D_1,0x1BF1C0,20,82,144,192,32705,1393,E1 9A,아
HASH-E8C8C4E642CBDB4D_1,0x1BF1D4,20,82,144,192,32705,1393,E1 9A,아
HASH-E8C8C4E642CBDB4D_1,0x1BF1F4,32,82,204,216,32704,1580,E2 56,크
HASH-E8C8C4E642CBDB4D_1,0x1BF208,32,82,204,216,32704,1580,E2 56,크
HASH-E8C8C4E642CBDB4D_1,0x1F04A0,38,116,240,168,32704,1256,E1 11,공
HASH-E8C8C4E642CBDB4D_1,0x1F04B4,38,116,240,168,32704,1256,E1 11,공
HASH-E8C8C4E642CBDB4D_1,0x1F04D4,50,116,216,168,32707,1251,E1 0C,격
HASH-E8C8C4E642CBDB4D_1,0x1F04E8,50,116,216,168,32707,1251,E1 0C,격
HASH-E8C8C4E642CBDB4D_1,0x1F0508,62,116,144,180,32706,1310,E1 47,력
HASH-E8C8C4E642CBDB4D_1,0x1F051C,62,116,144,180,32706,1310,E1 47,력
HASH-E8C8C4E642CBDB4D_1,0x1F053C,74,116,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F0550,74,116,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F0570,80,116,156,204,32707,1483,E1 F4,일
HASH-E8C8C4E642CBDB4D_1,0x1F0584,80,116,156,204,32707,1483,E1 F4,일
HASH-E8C8C4E642CBDB4D_1,0x1F05A4,92,116,120,192,32706,1386,E1 93,시
HASH-E8C8C4E642CBDB4D_1,0x1F05B8,92,116,120,192,32706,1386,E1 93,시
HASH-E8C8C4E642CBDB4D_1,0x1F05D8,104,116,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F05EC,104,116,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F060C,110,116,84,192,32704,1372,E1 85,상
HASH-E8C8C4E642CBDB4D_1,0x1F0620,110,116,84,192,32704,1372,E1 85,상
HASH-E8C8C4E642CBDB4D_1,0x1F0640,122,116,120,192,32705,1385,E1 92,승
HASH-E8C8C4E642CBDB4D_1,0x1F0654,122,116,120,192,32705,1385,E1 92,승
HASH-E8C8C4E642CBDB4D_1,0x1F0674,134,120,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F0688,134,120,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F06A8,140,120,24,168,32706,1186,E0 CA,있
HASH-E8C8C4E642CBDB4D_1,0x1F06BC,140,120,24,168,32706,1186,E0 CA,있
HASH-E8C8C4E642CBDB4D_1,0x1F06DC,152,120,204,144,32707,1079,E0 5F,습
HASH-E8C8C4E642CBDB4D_1,0x1F06F0,152,120,204,144,32707,1079,E0 5F,습
HASH-E8C8C4E642CBDB4D_1,0x1F0710,164,120,84,144,32705,1037,E0 35,니
HASH-E8C8C4E642CBDB4D_1,0x1F0724,164,120,84,144,32705,1037,E0 35,니
HASH-E8C8C4E642CBDB4D_1,0x1F0744,176,120,0,168,32705,1177,E0 C1,다
HASH-E8C8C4E642CBDB4D_1,0x1F0758,176,120,0,168,32705,1177,E0 C1,다
HASH-E8C8C4E642CBDB4D_1,0x1F0778,182,120,204,144,32707,1079,E0 5F,습
HASH-E8C8C4E642CBDB4D_1,0x1F078C,182,120,204,144,32707,1079,E0 5F,습
HASH-E8C8C4E642CBDB4D_1,0x1F07AC,194,120,84,144,32705,1037,E0 35,니
HASH-E8C8C4E642CBDB4D_1,0x1F07C0,194,120,84,144,32705,1037,E0 35,니
HASH-E8C8C4E642CBDB4D_1,0x1F07E0,206,120,0,168,32705,1177,E0 C1,다
HASH-E8C8C4E642CBDB4D_1,0x1F07F4,206,120,0,168,32705,1177,E0 C1,다
HASH-E8C8C4E642CBDB4D_1,0x1F0F9C,18,214,96,144,32705,1041,E0 39,스
HASH-E8C8C4E642CBDB4D_1,0x1F0FB0,18,214,96,144,32705,1041,E0 39,스
HASH-E8C8C4E642CBDB4D_1,0x1F0FD0,30,214,72,120,32705,865,DF 88,킬
HASH-E8C8C4E642CBDB4D_1,0x1F0FE4,30,214,72,120,32705,865,DF 88,킬
HASH-E8C8C4E642CBDB4D_1,0x1F1004,42,214,156,156,32707,1147,E0 A3,을
HASH-E8C8C4E642CBDB4D_1,0x1F1018,42,214,156,156,32707,1147,E0 A3,을
HASH-E8C8C4E642CBDB4D_1,0x1F1038,54,214,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F104C,54,214,204,12,32707,155,9C, 
HASH-E8C8C4E642CBDB4D_1,0x1F106C,60,214,192,144,32704,1072,E0 58,선
HASH-E8C8C4E642CBDB4D_1,0x1F1080,60,214,192,144,32704,1072,E0 58,선
HASH-E8C8C4E642CBDB4D_1,0x1F10A0,72,214,216,156,32706,1166,E0 B6,택
HASH-E8C8C4E642CBDB4D_1,0x1F10B4,72,214,216,156,32706,1166,E0 B6,택
