file,offset,line_count,slots,line_texts,e6_positions,first_e5
21/S2042.DAT,0x47FF0,2,0|1,초핀:|더 도와드릴까요?,5|25,27
31/S3012.DAT,0x47FF0,2,2|13,초핀:|더 도와드릴까요?,5|25,27
31/S3022.DAT,0x48822,2,35|36,병사:|출발하시겠습니까?,3|14,16
4/S4033.DAT,0x47CDC,2,0|2,다음 정령은 그레이시누로|부르겠습니까?,16|24,26
4/S4034.DAT,0x47D30,2,0|2,다음 정령은 카델로|부르겠습니까?,14|22,24
4/S4035.DAT,0x47D30,2,0|2,다음 정령은 아리바로|부르겠습니까?,15|23,25
4/S4036.DAT,0x47CDC,2,0|2,마지막 정령은 스메리아로|부르겠습니까?,14|22,24
7/S7021.DAT,0x47D58,1,0,변경?,9,11
7/S7021.DAT,0x47E66,1,1,변경?,9,11
7/S7021.DAT,0x47F74,1,2,변경?,9,11
7/S7021.DAT,0x48082,1,3,변경?,9,11
7/S7021.DAT,0x48190,1,4,변경?,9,11
7/S7021.DAT,0x4829E,1,5,변경?,9,11
7/S7021.DAT,0x483AC,1,6,변경?,9,11
7/S7021.DAT,0x48D26,2,7|14,대회 위원:|출전하시겠습니까?,6|17,19
7/S7022.DAT,0x47FCE,1,0,변경?,9,11
7/S7022.DAT,0x480DC,1,1,변경?,7,9
7/S7022.DAT,0x481E8,1,2,변경?,5,7
7/S7022.DAT,0x482F2,1,3,변경?,5,7
7/S7022.DAT,0x483FC,1,4,변경?,5,7
7/S7022.DAT,0x48506,1,5,변경?,5,7
7/S7022.DAT,0x48610,1,6,변경?,10,12
7/S7022.DAT,0x489B6,2,7|10,대회 위원:|1회전 준비됐습니까?,6|22,24
7/S7022.DAT,0x49196,1,9,처음부터?,16,18
7/S7023.DAT,0x47D58,1,0,변경?,9,11
7/S7023.DAT,0x47E66,1,1,변경?,7,9
7/S7023.DAT,0x47F72,1,2,변경?,9,11
7/S7023.DAT,0x48080,1,3,변경?,7,9
7/S7023.DAT,0x4818C,1,4,변경?,4,6
7/S7023.DAT,0x48296,1,5,변경?,5,7
7/S7023.DAT,0x483A0,1,6,변경?,9,11
7/S7023.DAT,0x48A4E,2,7|11,대회 위원:|2회전 준비됐습니까?,6|22,24
7/S7023.DAT,0x491C6,1,9,처음부터?,16,18
7/S7023.DAT,0x4922C,1,10,1회전부터?,24,26
7/S7024.DAT,0x47D58,1,0,변경?,9,11
7/S7024.DAT,0x47E66,1,1,변경?,7,9
7/S7024.DAT,0x47F72,1,2,변경?,5,7
7/S7024.DAT,0x4807C,1,3,변경?,5,7
7/S7024.DAT,0x48186,1,4,변경?,10,12
7/S7024.DAT,0x48296,1,5,변경?,5,7
7/S7024.DAT,0x483A0,1,6,변경?,10,12
7/S7024.DAT,0x48AAE,2,7|11,대회 위원:|준결승 준비됐습니까?,6|23,25
7/S7024.DAT,0x4922A,1,9,처음부터?,16,18
7/S7024.DAT,0x49290,1,10,1회전부터?,24,26
7/S7025.DAT,0x47FDC,1,0,변경?,9,11
7/S7025.DAT,0x480EA,1,1,변경?,6,8
7/S7025.DAT,0x481F6,1,2,변경?,8,10
7/S7025.DAT,0x48304,1,3,변경?,3,5
7/S7025.DAT,0x4840C,1,4,변경?,10,12
7/S7025.DAT,0x4851C,1,5,변경?,2,4
7/S7025.DAT,0x48624,1,6,변경?,10,12
7/S7025.DAT,0x48AC2,2,7|11,대회 위원:|결승 준비됐습니까?,6|21,23
7/S7025.DAT,0x4923A,1,9,처음부터?,16,18
7/S7025.DAT,0x492A0,1,10,1회전부터?,24,26
7/S7026.DAT,0x48006,1,0,변경?,6,8
7/S7026.DAT,0x48112,1,1,변경?,6,8
7/S7026.DAT,0x4821E,1,2,변경?,10,12
7/S7026.DAT,0x4832E,1,3,변경?,9,11
7/S7026.DAT,0x4843C,1,4,변경?,7,9
7/S7026.DAT,0x48548,1,5,변경?,3,5
7/S7026.DAT,0x48650,1,6,변경?,10,12
7/S7026.DAT,0x48D28,2,7|11,대회 위원:|오브전 준비됐습니까?,6|27,29
7/S7026.DAT,0x494A6,1,9,처음부터?,16,18
7/S7026.DAT,0x4950C,1,10,1회전부터?,24,26
7/S7028.DAT,0x46D58,1,0,변경?,9,11
7/S7028.DAT,0x46E66,1,1,변경?,7,9
7/S7028.DAT,0x46F72,1,2,변경?,6,8
7/S7028.DAT,0x4707E,1,3,변경?,10,12
7/S7028.DAT,0x4718E,1,4,변경?,10,12
