file,marker_offset,payload_start,end_exclusive,capacity,marker,prefix_kind,confidence,original_hex,decoded_jp,glyphs,exact_glyphs,ambiguous_glyphs,unknown_glyphs
1/S1011.DAT,0x478A6,0x478AA,0x478CD,35,0x17,control_0100,high,38 26 14 11 11 11 da 38 de c1 46 dd 9b 49 21 1b 22 4d 4f 09 59 1b 32 1b 0a 1c 9b e6 01 60 8f 34 1c bf 37,"もう3000年も燃え続けている精霊（せいれい）の山
シオンの炎。",31,31,0,0
1/S1011.DAT,0x478FE,0x47902,0x47919,23,0x17,control_0100,high,1b 29 1f 1b e6 01 2e 1c bf 23 54 2d 1d dd e2 dd 94 2a df 61 df 61 3c,"いつたい
この炎にどんな意味が・・？",17,17,0,0
1/S1011.DAT,0x47950,0x47954,0x47969,21,0x17,control_0100,high,41 2d 1d 2e 36 e6 01 a9 23 1e 21 1b 22 89 dd ac 4a 48 1d 1b 02,"そんなこと
気にしている場合じゃない！",18,18,0,0
1/S1011.DAT,0x4799A,0x4799E,0x479C8,42,0x17,control_0100,high,da 2a dd 92 49 32 58 e6 01 a3 6f 34 60 42 dd 17 20 33 01 b5 20 46 2a 9a 22 41 32 2a 43 2a 8e dd 9c 1c 3b 44 21 df 61 df 61 37,"年が明ければ
パ<N:リ:12:6F>ンシア城から むかえが来るそれがわが一族のおきて・・。",35,34,1,1
1/S1011.DAT,0x479F8,0x479FC,0x47A20,36,0x17,control_0100,high,41 1e 21 e6 01 dd 2f 1c de 76 2f 7d 3e dd 70 1c de 01 36 1e 21 e6 01 5d 96 36 de 77 df 40 3a 59 33 32 22 37,"そして
神の血をひく民の<N:娘:5:DE01>として
王子と結婚させられる。",26,25,0,1
1/S1011.DAT,0x47A50,0x47A54,0x47A60,12,0x17,control_0100,high,41 2d 1d 1c 28 24 79 51 2d 35 43 37,そんなのは、ごめんだわ。,12,12,0,0
1/S1011.DAT,0x47ACE,0x47AD2,0x47AEC,26,0x17,control_0100,high,df 61 df 61 97 dd 57 e4 3d e6 01 6e 38 dd c4 2e 33 1d 20 29 1f 4a 48 1d 1b 37,"・・ふ<N:っ:4:DD57><CTRL:E4>よ
何も起こらなかつたじゃない。",19,18,0,2
1/S1011.DAT,0x47B3C,0x47B3E,0x47B6F,49,0x19,none,high,3d 3e 6a 01 60 8f 34 1c bf 2f dd 28 1e 1f 02 e6 01 14 11 11 11 da 38 1c d4 44 23 43 1f 39 e6 01 43 32 2f dd 0f 4a dd 5d 51 1e bf 2f df 61 df 61 37,"よくぞ シオンの炎を消した！
3000年もの長きにわたり
われを封じ込めし炎を・・。",40,40,1,0
1/S1011.DAT,0x47BAE,0x47BB2,0x47BB7,5,0x17,control_0100,high,df 61 df 61 3c,・・？,3,3,0,0
1/S1013.DAT,0x478E6,0x478EA,0x4790E,36,0x17,control_0100,high,df 61 df 61 2b dd 35 21 28 e6 01 2e 1c 60 8f 34 1c bf 2f dd 28 1e 1f e6 01 3f 1c cf 20 33 dd 5b 27 29 1f 37,"・・すベては
このシオンの炎を消した
あの時から始まつた。",27,27,0,0
1/S1013.DAT,0x47944,0x47948,0x4796A,34,0x17,control_0100,high,35 20 33 01 2e 1c bf 2f e6 01 38 26 8e dd 20 dd 28 2b 36 e6 01 dd 79 43 29 21 1e 27 26 a9 2a 2b 22 37,"だから この炎を
もう一度消すと
終わつてしまう気がする。",27,27,1,0
1/S1013.DAT,0x479A8,0x479AC,0x479B6,10,0x17,control_0000,high,e4 3d 4e 4e 53 df 61 df 61 37,<CTRL:E4>よククル・・。,7,7,0,1
1/S1013.DAT,0x47A18,0x47A1C,0x47A2A,14,0x17,control_0100,high,e4 3d de 88 32 1f 3e 1d 1b df 61 df 61 37,<CTRL:E4>よ<N:離:3:DE88>れたくない・・。,10,9,0,2
1/S1013.DAT,0x47A8C,0x47A90,0x47A98,8,0x17,control_0000,high,4e 4e 53 24 dd 91 b5 37,ククル、頼む。,7,7,0,0
1/S1013.DAT,0x47B2C,0x47B2E,0x47B5B,45,0x19,none,high,42 31 4e 81 31 5f 34 25 e6 01 c8 dd 20 2e 41 24 5b cd dd 1a 5a 1c dd 0f dd 44 2f e6 01 dd 34 3e a9 1c 3d 26 35 1d e6 01 dd 47 7e 3d 02,"アークデーモン 
今度こそ、<N:ｌ:5:5B>聖柩への封印を
解く気のようだな
勇者よ！",33,32,0,1
1/S1013.DAT,0x47B8C,0x47B8E,0x47BC5,55,0x19,none,high,42 31 4e 81 31 5f 34 25 e6 01 de 47 cb 2f ad 1c 87 30 dd 7a 2b 7a 23 3d 29 21 e6 01 ad 28 de 6c 51 21 14 11 11 11 da 1c de 35 1b 20 33 e6 01 dd 34 de 8f 3a 32 22 37,"アークデーモン 
貴様を俺の手で殺すこによつて
俺は初めて3000年の呪いから
解放される。",43,43,0,0
1/S1013.DAT,0x47BF6,0x47BF8,0x47C1A,34,0x19,none,high,42 31 4e 81 31 5f 34 25 e6 01 5b cd dd 1a 5a 28 77 53 af 60 8f 1c de 31 23 e6 01 de ca 1b 21 3f 22 37,"アークデーモン 
<N:ｌ:5:5B>聖柩へはサルバシオの滝に
置いてある。",27,26,0,1
1/S1013.DAT,0x47C4A,0x47C4C,0x47C68,28,0x19,none,high,42 31 4e 81 31 5f 34 25 e6 01 de 47 cb 36 28 01 41 2e 30 9d dd eb 2f 45 49 3d 26 37,"アークデーモン 
貴様とは そこで決着をつけよう。",24,24,1,0
1/S1021.DAT,0x4785A,0x4785C,0x47876,26,0x19,none,high,42 65 db d8 2a 3f 39 27 2b 37 e6 01 5b dd 58 dd 65 5a 2f 6d 45 49 27 1e 1f 37,"ア<N:｣:11:65>テムがあります。
<N:ｌ:5:5B>薬草へをみつけました。",22,20,0,2
1/S1021.DAT,0x478AA,0x478AC,0x478BE,18,0x19,none,high,2e 2e 23 3f 29 1f 38 1c 28 38 26 7d 55 1b 27 1e 1f 37,ここにあつたものはもうひろいました。,18,18,0,0
1/S1021.DAT,0x47912,0x47914,0x4792B,23,0x19,none,high,42 65 db d8 2a 3f 39 27 2b 37 e6 01 5b 94 5a 2f 6d 45 49 27 1e 1f 37,"ア<N:｣:11:65>テムがあります。
<N:ｌ:5:5B>石へをみつけました。",21,19,0,2
1/S1021.DAT,0x47960,0x47962,0x47975,19,0x19,none,high,2e 2e 23 3f 29 1f 5b 94 5a 28 38 26 7d 55 1b 27 1e 1f 37,ここにあつた<N:ｌ:5:5B>石へはもうひろいました。,19,18,0,1
1/S1021.DAT,0x479A6,0x479AA,0x479CF,37,0x17,control_0000,high,2e 32 2f ca 45 49 32 58 24 e6 01 dd d9 1e 3e 33 1b 1c bd 35 29 1f 33 e6 01 dd 83 59 22 20 38 1e 32 1d 1b 1d 37,"これをぶつければ、
少しくらいの敵だつたら
倒せるかもしれないな。",31,31,0,0
1/S1021.DAT,0x47A24,0x47A26,0x47A31,11,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3f 02,"アークの母 
あ！",8,8,0,0
1/S1021.DAT,0x47A80,0x47A82,0x47AA0,30,0x19,none,high,42 65 db d8 2a 3f 39 27 2b 37 e6 01 5b dd 1b dd 51 1c bc 31 95 5a 2f 6d 45 49 27 1e 1f 37,"ア<N:｣:11:65>テムがあります。
<N:ｌ:5:5B>魔法のカートへをみつけました。",26,24,0,2
1/S1021.DAT,0x47AD4,0x47AD6,0x47B00,42,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 41 32 2f 38 29 21 1b 29 21 38 24 e6 01 6e 38 1b 1b 2e 36 28 1d 1b 20 38 e6 01 1e 32 1d 1b 43 3d 37,"アークの母 
それをもつていつても、
何もいいことはないかも
しれないわよ。",35,35,0,0
1/S1021.DAT,0x47B30,0x47B34,0x47B4C,24,0x17,control_0000,high,41 2d 1d 2e 36 1d 1b 35 55 37 e4 29 e6 01 4a 48 24 38 29 21 1b 3e 3d 37,"そんなことないだろ。<CTRL:E4>つ
じゃ、もつていくよ。",21,21,0,1
1/S1021.DAT,0x47B7C,0x47B7E,0x47BA4,38,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 59 29 20 3e 3f 9c 1f 2d 35 20 33 24 e6 01 4b 48 2d 36 41 26 99 1e 21 45 20 26 1c 3d 37,"アークの母 
せつかくあげたんだから、
ちゃんとそうびしてつかうのよ。",33,33,0,0
1/S1021.DAT,0x47BD4,0x47BD8,0x47BDE,6,0x17,control_0000,high,43 20 29 1f 3d 37,わかつたよ。,6,6,0,0
1/S1021.DAT,0x47C36,0x47C38,0x47C4C,20,0x19,none,high,b7 1c 20 1f 6d 1c 3d 55 1b 36 dd 8d 2f 6d 45 49 27 1e 1f 37,父のかたみのよろいと剣をみつけました。,19,19,0,0
1/S1021.DAT,0x47CDC,0x47CDE,0x47D04,38,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3b b7 3a 2d 1c 3d 55 1b 36 dd 8d 28 3b 3e 1c dd 25 de 1c 1c e6 01 28 2e 1c dd 64 3d 37,"アークの母 
お父さんのよろいと剣はおくの部屋の
はこの中よ。",29,29,0,0
1/S1021.DAT,0x47D42,0x47D46,0x47D58,18,0x17,control_0000,high,dd 0e 3a 2d 24 dd 11 dd 7f 1e 1d 1b 30 df 61 df 61 37,母さん、心配しないで・・。,13,13,0,0
1/S1021.DAT,0x47D88,0x47D8A,0x47DAE,36,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 df 61 df 61 df 61 42 31 4e e4 3d e6 01 2e 32 2f 38 29 21 1b 44 1d 3a 1b 37 e4 3d,"アークの母 
・・・アーク<CTRL:E4>よ
これをもつていきなさい。<CTRL:E4>よ",26,26,0,2
1/S1021.DAT,0x47DE2,0x47DE4,0x47DF9,21,0x19,none,high,5b bc 65 dd c8 31 80 a2 31 c9 5a 2f 38 33 1b 27 1e 1f 37 e4 1f,<N:ｌ:5:5B>カ<N:｣:11:65><N:ザ:8:DDC8>ー<N:ク:12:80>ローフへをもらいました。,18,14,0,4
1/S1021.DAT,0x47E2E,0x47E30,0x47E43,19,0x19,none,high,5b dd 2c de 49 1c dd 58 5a 2f 38 33 1b 27 1e 1f 37 e4 1f,<N:ｌ:5:5B>復活の薬へをもらいました。,14,13,0,1
1/S1021.DAT,0x47E78,0x47E7A,0x47E8D,19,0x19,none,high,5b 9e dd 2c dd 1f dd 49 5a 2f 38 33 1b 27 1e 1f 37 e4 1f,<N:ｌ:5:5B>回復果物へをもらいました。,14,13,0,1
1/S1021.DAT,0x47EC6,0x47EC8,0x47ED6,14,0x19,none,high,5b cd b8 5a 2f 38 33 1b 27 1e 1f 37 e4 1f,<N:ｌ:5:5B>聖水へをもらいました。,12,11,0,1
1/S1021.DAT,0x47F0C,0x47F0E,0x47F23,21,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 42 31 4e e4 15 2c e4 15 2c e4 15 2c,"アークの母 
アーク<CTRL:E4>4・<CTRL:E4>4・<CTRL:E4>4・",15,15,0,3
1/S1021.DAT,0x48076,0x4807A,0x480A2,40,0x17,control_0000,high,b7 3a 2d 1c 20 1f 6d 1c 3d 55 1b 36 dd 8d e4 1f e6 01 2e 1c dd 64 23 3f 22 1c 28 e6 01 b2 20 29 21 1b 22 2d 35 49 54 37,"父さんのかたみのよろいと剣
この中にあるのは
分かつているんだけど。",32,32,0,0
1/S1021.DAT,0x480D2,0x480D6,0x480E8,18,0x17,control_0000,high,bc dd b6 2a 01 20 20 29 21 22 1d 2d 21 df 61 df 61 37,カ<N:午:19:DDB6>が かかつてるなんて・・。,15,14,1,1
1/S1021.DAT,0x48144,0x48148,0x4814D,5,0x17,control_0000,high,df 61 df 61 02,・・！,3,3,0,0
1/S1021.DAT,0x48192,0x48196,0x481BC,38,0x17,control_0000,high,dd 0e 3a 2d e4 0b 24 e6 01 3f 1c dd 74 38 24 c8 de 25 6d 1f 1b 23 2b 79 1b e6 01 97 ca 44 35 29 1f 2d 35 3d 4c 3c,"母さん<CTRL:E4><N:*:7:0B>、
あの日も、今<N:夜:9:DE25>みたいにすごい
ふぶきだつたんだよね？",30,28,0,3
1/S1021.DAT,0x481EC,0x481F0,0x4821D,45,0x17,control_0000,high,ad 24 c8 de 25 01 9b 8a 74 49 58 e6 01 b7 3a 2d 2a dd 0e 3a 2d 36 ad 2f 3b 1b 21 e6 01 dd 28 46 1f 43 49 2a b2 20 22 a9 2a 2b 22 2d 35,"俺、今<N:夜:9:DE25> 山へ行けば
父さんが母さんと俺をおいて
消えたわけが分かる気がするんだ",38,37,1,1
1/S1021.DAT,0x4824E,0x48250,0x48273,35,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3f 1d 1f 1c 3b b7 3a 2d 28 4c 24 e6 01 e4 29 dd 22 2d 35 1c 3d df 61 df 61 37,"アークの母 
あなたのお父さんはね、
<CTRL:E4>つ死んだのよ・・。",26,26,0,1
1/S1021.DAT,0x482A4,0x482A8,0x482D5,45,0x17,control_0000,high,b7 3a 2d 2a dd 22 2d 35 1d 2d 21 26 41 35 55 3c e4 3d 3f 1c dd 19 20 29 1f b7 3a 2d 2a e6 01 20 2d 1f 2d 23 dd 22 dd 4f 28 8c 1d 1b 37,"父さんが死んだなんてうそだろ？<CTRL:E4>よあの強かつた父さんが
かんたんに死ぬはすない。",38,38,0,1
1/S1021.DAT,0x48306,0x48308,0x4832B,35,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 9b 23 28 44 29 36 e6 01 dd af 55 1e 1b 5f 34 47 62 31 2a 1b 21 df 61 df 61 37,"アークの母 
山にはきつと
恐ろしいモンスターがいて・・。",27,27,0,0
1/S1021.DAT,0x4835C,0x48360,0x48392,50,0x17,control_0000,high,38 1e 38 24 b7 3a 2d 2a e6 01 5f 34 47 62 31 23 dd 7a 3a 32 1f 1c 1d 33 e6 01 df 61 df 61 ad 2a b7 3a 2d 1c bd 09 20 1f 44 0a 2f dd bb 29 21 40 22 02,"もしも、父さんが
モンスターに殺されたのなら
・・俺が父さんの敵（かたき）を討つてやる！",42,42,0,0
1/S1021.DAT,0x483C2,0x483C6,0x483E6,32,0x17,control_0000,high,dd 0e 3a 2d df 61 df 61 e6 01 ad 24 a4 b2 a4 dd d7 1c ac 30 e6 01 de 19 20 51 1f 1b 2d 35 3d 37,"母さん・・
俺、自分自身の目で
確かめたいんだよ。",23,23,0,0
1/S1021.DAT,0x4841E,0x48420,0x48431,17,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 42 31 4e df 61 df 61 37,"アークの母 
アーク・・。",12,12,0,0
1/S1021.DAT,0x48492,0x48496,0x4849F,9,0x17,control_0000,high,dd 0e 3a 2d df 61 df 61 37,母さん・・。,6,6,0,0
1/S1021.DAT,0x48510,0x48512,0x4853C,42,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3f 1c 52 2a dd b8 23 30 21 12 11 da e6 01 3f 1c 52 1c 91 dd 61 dd 75 39 23 1d 29 21 1e 27 29 1f 37,"アークの母 
あの人が旅にでて10年
あの人の言葉通りになつてしまつた。",34,34,0,0
1/S1021.DAT,0x485E6,0x485E8,0x48609,33,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3f 1d 1f df 61 df 61 e4 15 e6 01 54 26 1e 21 38 74 29 21 1e 27 26 1c 37,"アークの母 
あなた・・<CTRL:E4>4
どうしても行つてしまうの。",25,25,0,1
1/S1021.DAT,0x4863A,0x4863C,0x48667,43,0x19,none,high,42 31 4e 1c b7 25 e6 01 b2 20 29 21 3e 32 24 d7 53 62 37 e6 01 2e 1c ce dd 12 1c dd 37 cc 23 e6 01 20 20 43 22 2e 36 1d 1c 35 37,"アークの父 
分かつてくれ、ポルタ。
この世界の運命に
かかわることなのだ。",35,35,0,0
1/S1021.DAT,0x48698,0x4869A,0x486C6,44,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 1d 2d 30 3f 1d 1f 2a df 61 df 61 37 e4 3d e6 01 85 36 42 31 4e 28 54 26 2b 32 58 1b 1b 1c df 61 df 61 3c,"アークの母 
なんであなたが・・。<CTRL:E4>よ
私とアークはどうすればいいの・・？",34,34,0,1
1/S1021.DAT,0x486F6,0x486F8,0x4871C,36,0x19,none,high,42 31 4e 1c b7 25 e6 01 df 61 df 61 2b 27 1d 1b 37 e4 1f e6 01 35 2a 85 2a 40 33 1d 49 32 58 df 61 df 61 37,"アークの父 
・・すまない。
だが私がやらなければ・・。",26,26,0,0
1/S1021.DAT,0x4874C,0x4874E,0x48770,34,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 1b 40 30 2b 02 e6 01 85 28 79 3e 97 45 26 1c de 73 59 2a 3f 32 58 df 61 37,"アークの母 
いやです！
私はごくふつうの幸せがあれば・。",27,27,0,0
1/S1021.DAT,0x487A0,0x487A2,0x487E5,67,0x19,none,high,42 31 4e 1c b7 25 e6 01 12 11 da c3 1c c8 dd 74 24 dd 0f dd 44 09 97 26 1b 2d 0a 2a e6 01 dd 34 20 32 24 dd f0 99 9b 2a dd c0 32 22 df 61 df 61 37 e4 1f e6 01 41 1c cf 42 31 4e 28 9b 8a dd 01 20 26 37,"アークの父 
10年後の今日、封印（ふういん）が
解かれ、再び山が荒れる・・。
その時アークは山へ向かう。",50,50,0,0
1/S1021.DAT,0x48816,0x48818,0x48828,16,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 9b 2a dd c0 32 22 3c,"アークの母 
山が荒れる？",12,12,0,0
1/S1021.DAT,0x48858,0x4885A,0x4887E,36,0x19,none,high,42 31 4e 1c b7 25 e6 01 dd 0f dd 44 09 97 26 1b 2d 0a 3a 32 21 1b 1f e6 01 5f 34 47 62 31 2a dd 8c 32 22 37,"アークの父 
封印（ふういん）されていた
モンスターが現れる。",29,29,0,0
1/S1021.DAT,0x488AE,0x488B0,0x488D6,38,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 41 2d 1d c2 8a 01 3f 1c 96 2a df 61 df 61 37 e6 01 40 51 21 70 3a 1b 02 6e 38 20 38 02,"アークの母 
そんな所へ あの子が・・。
やめて下さい！何もかも！",31,31,1,0
1/S1021.DAT,0x48906,0x48908,0x48931,41,0x19,none,high,42 31 4e 1c b7 25 e6 01 d7 53 62 df 61 df 61 e6 01 41 1c dd 74 27 30 be 2a 96 2f e6 01 e4 15 42 31 4e 2f 1f 1c 2d 35 6a 02,"アークの父 
ポルタ・・
その日まで我が子を
<CTRL:E4>4アークをたのんだぞ！",31,31,0,1
1/S1021.DAT,0x48A4A,0x48A4E,0x48A63,21,0x17,control_0000,high,b7 3a 2d 1c 20 1f 6d 2f e6 01 dd d7 23 de 2a 49 1d 3e 4b 48 37,"父さんのかたみを
身に付けなくちゃ。",17,17,0,0
1/S1021.DAT,0x48AC2,0x48AC6,0x48AE0,26,0x17,control_0000,high,b7 3a 2d 1c 20 1f 6d 28 24 3b 3e 1c e6 01 28 2e 1c dd 64 23 3f 22 28 8c 35 37,"父さんのかたみは、おくの
はこの中にあるはすだ。",23,23,0,0
1/S1021.DAT,0x48B10,0x48B14,0x48B3D,41,0x17,control_0000,high,b0 1e 20 49 22 36 44 38 24 e6 01 42 65 db d8 2f 3a 2a 2b 36 44 38 24 e6 01 de 44 dd f9 1b 21 20 33 e7 02 2f 3b 2b 2d 35 37,"話しかけるときも、
ア<N:｣:11:65>テムをさがすときも、
近づいてから<CTRL:E7>！をおすんだ。",34,33,0,2
1/S1021.DAT,0x48C30,0x48C34,0x48C4A,22,0x17,control_0000,high,54 26 1e 21 38 24 a4 b2 1c 61 30 e6 01 40 29 21 6d 1f 1b 2d 35 37,"どうしても、自分の力で
やつてみたいんだ。",20,20,0,0
1/S1021.DAT,0x48C84,0x48C88,0x48C96,14,0x17,control_0000,high,dd 0e 3a 2d 23 24 8e 91 1b 43 1d 44 48 37,母さんに、一言いわなきゃ。,13,13,0,0
1/S1021.DAT,0x48CF4,0x48CF8,0x48D21,41,0x17,control_0000,high,b0 1e 20 49 22 36 44 38 24 e6 01 42 65 db d8 2f 3a 2a 2b 36 44 38 24 e6 01 de 44 dd f9 1b 21 20 33 e7 02 2f 3b 2b 2d 35 37,"話しかけるときも、
ア<N:｣:11:65>テムをさがすときも、
近づいてから<CTRL:E7>！をおすんだ。",34,33,0,2
1/S1021.DAT,0x48DA4,0x48DA6,0x48DC2,28,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 dd 14 60 ab 42 24 42 31 4e 2f dd 1e 29 21 df 61 df 61 37,"アークの母 
ヨシュア、アークを守つて・・。",21,21,0,0
1/S1022.DAT,0x47896,0x4789A,0x478A9,15,0x17,control_0000,high,41 32 4a 48 dd 0e 3a 2d 24 74 3e 20 33 4c 37,それじゃ母さん、行くからね。,14,14,0,0
1/S1022.DAT,0x478DA,0x478DC,0x478EC,16,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 df 61 df 61 df 61 37,"アークの母 
・・・。",10,10,0,0
1/S1022.DAT,0x4793E,0x47940,0x47958,24,0x19,none,high,42 31 4e 1c dd 0e 25 e6 01 3b 27 46 38 24 1b 29 21 1e 27 26 1c 20 1b 3c,"アークの母 
おまえも、いつてしまうのかい？",21,21,0,0
1/S1022.DAT,0x4799E,0x479A2,0x479D1,47,0x17,control_0000,high,41 2d 1d 24 50 1e 1f 7a 4a 48 1d 1b 3d 37 e6 01 5d cb 23 dd c2 58 32 21 e6 01 a3 6f 34 60 42 1c de 98 23 74 3e 35 49 e6 01 4a 48 1d 1b 20 37,"そんな、大したこじゃないよ。
王様に呼ばれて
パ<N:リ:12:6F>ンシアの都に行くだけ
じゃないか。",39,38,0,1
