file,offset,action,original_markers,result_markers,original_e6,result_e6
1/S1023.DAT,0x47952,preserved,31|42,27|37,7|29|40,8|25|35
1/S1023.DAT,0x47AB0,preserved,0|13|26|46,0|15|30|46,11|24,13|28|44
1/S1023.DAT,0x47B30,preserved,0|20|31,0|16|29,29,14|27
21/S2041.DAT,0x47EFE,preserved,0|25|36,0|19|27,23|34|46,17|25|40
21/S2041.DAT,0x48160,preserved,0|9|29,0|14|29,7|27,12|27
21/S2041.DAT,0x48488,preserved,0|17|34,0|17|30,15|32,15|28
21/S2042.DAT,0x47FF0,geometry_repaired,27|38,27|38,5|25|36,5|25|36
21/S2042.DAT,0x4811E,geometry_repaired,0|17|34,0|17|34,15|32,15|32
21/S2045.DAT,0x4758E,geometry_repaired,0|8|17,0|8|17,6|15,6|15
21/S2045.DAT,0x47914,geometry_repaired,0|8|17,0|8|17,6|15,6|15
21/S2045.DAT,0x47C32,geometry_repaired,0|8|17,0|8|17,6|15,6|15
21/S2045.DAT,0x47CDA,geometry_repaired,0|8|17,0|8|17,6|15,6|15
21/S2045.DAT,0x47F1C,geometry_repaired,0|22|37,0|22|37,20|35,20|35
21/S2045.DAT,0x4834A,geometry_repaired,0|16|26,0|16|26,14|24,14|24
21/S2045.DAT,0x483B6,geometry_repaired,0|16|30|43,0|16|30|43,14|28|41,14|28|41
21/S2045.DAT,0x48972,geometry_repaired,0|19|33|47,0|19|33|47,17|31|45,17|31|45
21/S2045.DAT,0x48F18,geometry_repaired,0|12|28|42,0|12|28|42,10|26|40,10|26|40
21/S2045.DAT,0x48F94,geometry_repaired,0|11|19|32,0|11|19|32,9|17|30,9|17|30
21/S2045.DAT,0x49006,geometry_repaired,0|12|28|38,0|12|28|38,10|26|36,10|26|36
21/S2045.DAT,0x4907E,geometry_repaired,0|11|19|32,0|11|19|32,9|17|30,9|17|30
21/S2045.DAT,0x490F0,geometry_repaired,0|13|27|46,0|13|27|46,11|25|44,11|25|44
22/S2046.DAT,0x49102,preserved,0|8,0|8,6,6
31/S3012.DAT,0x47FF0,preserved,27|38,27|38,5|25|36,5|25|36
31/S3012.DAT,0x4811E,preserved,0|17|34,0|17|30,15|32,15|28
31/S3013.DAT,0x47FF6,geometry_repaired,0|9|28,0|9|28,7|26,7|26
31/S3013.DAT,0x48236,geometry_repaired,0|17|34|46,0|17|34|46,15|32|44,15|32|44
31/S3014.DAT,0x4658E,geometry_repaired,0|8|17,0|8|17,6|15,6|15
31/S3014.DAT,0x4691A,geometry_repaired,0|8|17,0|8|17,6|15,6|15
31/S3014.DAT,0x46C48,geometry_repaired,0|8|17,0|8|17,6|15,6|15
31/S3014.DAT,0x46CF0,geometry_repaired,0|8|17,0|8|17,6|15,6|15
31/S3014.DAT,0x46F3C,geometry_repaired,0|22|37,0|22|37,20|35,20|35
31/S3014.DAT,0x4736E,geometry_repaired,0|16|26,0|16|26,14|24,14|24
31/S3014.DAT,0x473DA,geometry_repaired,0|16|30|43,0|16|30|43,14|28|41,14|28|41
31/S3014.DAT,0x47996,geometry_repaired,0|19|33|47,0|19|33|47,17|31|45,17|31|45
31/S3014.DAT,0x47F3C,geometry_repaired,0|12|28|42,0|12|28|42,10|26|40,10|26|40
31/S3014.DAT,0x47FB8,geometry_repaired,0|11|19|32,0|11|19|32,9|17|30,9|17|30
31/S3014.DAT,0x4802A,geometry_repaired,0|12|28|38,0|12|28|38,10|26|36,10|26|36
31/S3014.DAT,0x480A2,geometry_repaired,0|11|19|32,0|11|19|32,9|17|30,9|17|30
31/S3014.DAT,0x48114,geometry_repaired,0|13|27|46,0|13|27|46,11|25|44,11|25|44
31/S3022.DAT,0x48822,geometry_repaired,16|24,16|24,3|14|22,3|14|22
31/S3023.DAT,0x4870A,geometry_repaired,0|9,0|9,7,7
31/S3024.DAT,0x47802,geometry_repaired,0|9,0|9,7,7
31/S3024.DAT,0x47F68,geometry_repaired,5|12|19,5|12|19,3|10|17,3|10|17
31/S3024.DAT,0x47FD2,geometry_repaired,7|15|24,7|15|24,5|13|22,5|13|22
31/S3024.DAT,0x48052,geometry_repaired,7|20|31,7|20|31,5|18|29|40,5|18|29|40
4/S4033.DAT,0x47CDC,geometry_repaired,26|32,26|32,16|24|30,16|24|30
4/S4033.DAT,0x485C8,geometry_repaired,0|10,0|10,8,8
4/S4034.DAT,0x47D30,geometry_repaired,24|30,24|30,14|22|28,14|22|28
4/S4035.DAT,0x47D30,geometry_repaired,25|31,25|31,15|23|29,15|23|29
4/S4036.DAT,0x47CDC,geometry_repaired,24|30,24|30,14|22|28,14|22|28
5/S5012.DAT,0x4800C,preserved,0|8,0|8,6,6
5/S5013.DAT,0x47580,geometry_repaired,0|8|17,0|8|17,6|15,6|15
5/S5013.DAT,0x478FE,geometry_repaired,0|8|17,0|8|17,6|15,6|15
5/S5013.DAT,0x47C16,geometry_repaired,0|8|17,0|8|17,6|15,6|15
5/S5013.DAT,0x47CBE,geometry_repaired,0|8|17,0|8|17,6|15,6|15
5/S5013.DAT,0x47F08,geometry_repaired,0|22|37,0|22|37,20|35,20|35
