japanese,decided,category,file,offset,korean
スメリア,스메리아,place,1/S1061.DAT,0x479AA,수메리아는 조화의 힘으로 일하는 나라. 화이트 가문은 조화를 이루기 위한 실을 짜는 가문.
スメリア,스메리아,place,21/S2044.DAT,0x4856A,"그렇지, 혼은 돌고 도는 법. 예전에 수메리아로 성궤를 옮겨 온 동료들이 다시 모이는 것이니라."
スメリア,스메리아,place,21/S2045.DAT,0x496A6,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 유적 던전, 하나는 고겐 님이, 마지막 하나는 아크 님의 아버님이 가지고 계셨던 모양입니다."
スメリア,스메리아,place,22/S2055.DAT,0x47B58,국왕: 이것은 틀림없이 수메리아 왕가에 전해지는 용사의 증표.
スメリア,스메리아,place,22/S2055.DAT,0x47E14,국왕: 정령의 나라라 불리는 수메리아도 예외는 아닌 것인가...
スメリア,스메리아,place,22/S2055.DAT,0x47E6C,국왕: 형이 왕가에서 뛰쳐나간 것도 그런 수메리아의 모습을 참을 수 없었기 때문일지도 모르겠구나.
スメリア,스메리아,place,22/S205C.DAT,0x47A8E,"수메리아 왕, 괜찮으십니까?!"
スメリア,스메리아,place,22/S205C.DAT,0x47B2A,수메리아 왕: 그놈은 로마리아가 보내온 자였다...
スメリア,스메리아,place,22/S205C.DAT,0x47B82,"수메리아 왕: 이 나라에 몬스터를 불러들여 나라를 혼란에 빠뜨린 것도,"
スメリア,스메리아,place,22/S205C.DAT,0x47C5C,수메리아 왕: 그놈들은 성궤를 노리고 있다. 성궤의 힘을 넘겨주어서는 안 된다.
スメリア,스메리아,place,22/S205C.DAT,0x47D6E,수메리아 왕: 네 아버지 요슈아를 밀마나로 보내 둔 것은
スメリア,스메리아,place,22/S205C.DAT,0x47E24,수메리아 왕: 나는 왕이 되고 싶었다.
スメリア,스메리아,place,22/S205C.DAT,0x47F32,수메리아 왕: 형에게... 한마디 사과하고 싶었다....
スメリア,스메리아,place,22/S205C.DAT,0x47F9E,수메리아 왕!
スメリア,스메리아,place,23/S2081.DAT,0x47890,대신: 수메리아 왕은 토우빌의 아크라는 소년에게 성궤를 찾게 할 모양입니다.
スメリア,스메리아,place,31/S3011.DAT,0x47FEE,병사: 수메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.
スメリア,스메리아,place,31/S3013.DAT,0x47F98,승무원: 수고하셨습니다. 수메리아로 돌아갈 준비는 되셨습니까?
スメリア,스메리아,place,31/S3013.DAT,0x48366,승무원: 출발할 때까지 단련하면 강해져서 수메리아로 돌아갈 수 있습니다.
スメリア,스메리아,place,31/S3014.DAT,0x486CA,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
スメリア,스메리아,place,31/S3023.DAT,0x4816E,노인: 그런가. 자네 수메리아에서 왔나?
スメリア,스메리아,place,31/S3031.DAT,0x47A4C,병사: 수메리아에서 온 사절을 모시고 왔습니다.
スメリア,스메리아,place,31/S3031.DAT,0x47B9C,수메리아에서 온 아크입니다.
スメリア,스메리아,place,31/S3031.DAT,0x47D5A,"아이들이라니, 이래 보여도 수메리아 왕의 명으로 온 거예요."
スメリア,스메리아,place,31/S3031.DAT,0x47F1A,야군: 사절께서 목숨이라도 잃으시면 수메리아 왕께 면목이 서지 않습니다.
スメリア,스메리아,place,31/S3032.DAT,0x47AA2,알고 있습니다. 그때는 수메리아 왕께 그렇게 전해 주십시오.
スメリア,스메리아,place,32/S3061.DAT,0x47BB4,"은혜의 정령: 그래, 수메리아의 황태자였던 요슈아 왕자, 네 아버지란다."
スメリア,스메리아,place,32/S3061.DAT,0x48344,"은혜의 정령: 자, 수메리아의 토우빌로 돌아가거라."
スメリア,스메리아,place,32/S3061.DAT,0x484CE,수메리아로 돌아가요.
スメリア,스메리아,place,32/S3061.DAT,0x485B4,"좋아, 수메리아로 돌아가자!"
スメリア,스메리아,place,4/S4031.DAT,0x47D38,우리를 구할 성궤는 수메리아에 있다. 하지만 그 힘을 손에 넣기 위해서는
スメリア,스메리아,place,4/S4033.DAT,0x48256,수메리아도 밀마나도 몬스터가 없어지지 않네.
スメリア,스메리아,place,4/S4036.DAT,0x47CDC,마지막 정령은 수메리아에. 읽으시겠습니까?|읽는다|읽지 않는다
スメリア,스메리아,place,4/S4036.DAT,0x47D8E,"아크야, 마지막 정령은 수메리아의 팔렌시아에 있다."
スメリア,스메리아,place,5/S5013.DAT,0x49692,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
スメリア,스메리아,place,6/S6014.DAT,0x4963E,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
スメリア,스메리아,place,6/S6054.DAT,0x450F6,|밀마|스메|아라라|카델
スメリア,스메리아,place,6/S6054.DAT,0x4529A,라마다 승: 수메리아의 다운타운에 있는 네 녀석의 이름은?
スメリア,스메리아,place,7/S7012.DAT,0x49136,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
スメリア,스메리아,place,8/S8011.DAT,0x4801A,남자: 수메리아의 아크 님이시군요.
スメリア,스메리아,place,8/S8013.DAT,0x48124,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
スメリア,스메리아,place,D/SD031.DAT,0x4609C,좋아. 수메리아 왕의 힘을 빌리자.
スメリア,스메리아,place,E5/SE05A.DAT,0x48CBC,"다만 수메리아의 코르보 평원, 쿠이나 언덕, 카라간 평야"
スメリア,스메리아,place,F/SF091.DAT,0x47880,이 나라 왕가에는 옛적에 수메리아로 옮겨진 성궤에 관한 전설이 대대로 전해지고 있다.
スメリア,스메리아,place,F/SF091.DAT,0x47A2C,인류의 유산을 성궤에 담아 신이 정한 땅 수메리아로 여행했다는 것이다.
ミルマーナ,미르마나,place,21/S2041.DAT,0x47FF8,"승무원: 아크 님이시군요. 이제 밀마나로 출발하겠습니다만,"
ミルマーナ,미르마나,place,21/S2041.DAT,0x4804E,승무원: 밀마나 입국 후에는 군 본부의 허가 없이는 다른 나라로 갈 수 없습니다.
ミルマーナ,미르마나,place,21/S2041.DAT,0x480B4,승무원: 밀마나를 황폐하게 만드는 몬스터들은 우리나라보다 강력하다고 합니다.
ミルマーナ,미르마나,place,21/S2041.DAT,0x4880A,"승무원: 그러면 밀마나를 향해 출발하겠습니다만, 자신은 있으십니까?"
