unit,rows,japanese,korean
1,8,今までの勝利回数は 回です。,
2,7,◇万能薬◇を手に入れた。,
3,7,アイテムがあります。 ◇薬草◇を見つけました。,
4,7,大会委員 1回戦に参加されるのは さんです。ご本人がおねがいします。,
5,7,アナウンサー 2回戦に参加されるのは さんです。 ご本人がおねがいします。,
6,7,アナウンサー 準決勝に参加されるのは さんです。 ご本人がおねがいします。,
7,7,アナウンサー 決勝に参加されるのは さんです。 ご本人がおねがいします。,
8,7,アナウンサー オーフ争奪戦に参加されるのは さんです。 ご本人がおねがいします。,
9,6,ストーンサークル リングの位置設定 召喚獣について 次のページ,
10,6,ポニの楽器 闘技場 キートウオール やつっりいいや。,
11,6,ストーンサークル リングの位置設定 召喚獣 次のページ,
12,6,ポニの楽器 闘技場 キートウオール 次のページ,
13,6,ラマダ寺の修行 ロマンシングストーン アクセサリー◇きぬのおび◇ やつっりいいや。,
14,6,チョピン その時に、カーソルと でリングの中の技を選んでアイニンの位置を変えられるんです。,
15,5,チョピン ゴーゲン様のキートウオールの魔法の火に◇大きな爆弾◇を投げ込むと大爆発が 起こるそうです。,
16,5,チョピン ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル 1つはアララトスの遺跡ダンジョン、,
17,5,アイテムがあります。 ◇ロマンシングストーン◇を見つけました,
18,4,チョピン 戦闘での経験値が倍になるアクセサリーがあるようです。名前は◇きぬのおび◇。 誰でも使えるようですね。,
19,4,"8マり""",
20,3,チョピン アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。,
21,3,チョピン 特に、特しゅ能力は必要なMPと 現在のMPが表示されるので 大いに利用して下さい。,
22,3,◇石◇をもらいました。,
23,3,て,
24,2,◇復活の薬◇をもらいました。,
25,2,◇聖水◇をもらいました。,
26,2,◇薬草◇をもらいました。,
27,2,チョピン 自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。,
28,2,チョピン 他には、分れつするモンスターは、HPが半分になりますが、倒した時にもらえる 経験値は変わりません。,
29,2,チョピン アイテムで投げてダメージを与えるものは石・爆弾・大きな爆弾の3つです。,
30,2,国王 どうだ ◇聖柩◇にかして何かわかつたか？,
31,2,チョピン 戦闘での経験値が倍なるアクセサリーがあるようです。名前は◇きぬのおび◇。 誰でも使えるようですね。,
32,2,◇女神のいのり◇をもらいました。,
33,2,出場者 ◇トルノ・デ・バンニ◇は強い。 ちょつとやそつとでは勝てないぞ。,
34,2,アーク ククル トッシュ 次のページ,
35,2,ポニ ゴーゲン イーガ 次のページ,
36,2,チョンガラ 次のページ やつっりやめる 外に出る,
37,2,3,
38,2,が,
39,2,◇みなぎる果実◇を手にいれた。,
40,2,◇大きい爆弾◇を手にいれた。,
41,2,◇弱りの玉◇を手にいれた。,
42,2,◇復活の薬◇を手にいれた。,
43,2,◇ちからの実◇を手にいれた。,
44,2,◇パロの実◇を手にいれた。,
45,2,◇いのちの木の実◇を手にいれた。,
46,2,◇魔力の泉◇を手にいれた。,
47,2,◇氷の守り◇を手にいれた。,
48,2,◇炎の守り◇を手にいれた。,
49,2,◇魔法のカート◇を手にいれた。,
50,2,◇しつぷうのバンダナ◇を手にいれた。,
51,2,◇スリープレスカート◇を手にいれた。,
52,2,◇アンチへモジー◇を手にいれた。,
53,2,◇鏡◇を手にいれた。,
54,2,◇サングラス◇を手にいれた。,
55,2,◇パワーリスト◇を手にいれた。,
