table_key,index,pointer_offset,string_offset,encoded_bytes,encoded_hex,korean
equipment_name,0,0x804A4,0x80224,11,E1 A2 E1 26 E2 02 9C E1 BF E2 78,불꽃의 수호
equipment_name,1,0x804A8,0x80230,11,E1 DE E2 01 E2 02 9C E1 BF E2 78,얼음의 수호
equipment_name,2,0x804AC,0x8023C,11,E1 D2 E2 59 9C E2 76 E1 81 E2 1E,안티 헤모지
equipment_name,3,0x804B0,0x80248,11,E2 37 E1 FA E2 02 9C E1 9F E2 0F,치유의 부적
equipment_name,4,0x804B4,0x80254,11,E1 A7 E1 3A 9C E2 74 E1 6E E1 52,비단 허리띠
equipment_name,5,0x804B8,0x80260,9,E1 72 E1 96 9C E2 39 E1 4B,마법 카드
equipment_name,6,0x804BC,0x8026A,14,E1 BF E1 7E 9C E1 90 E2 1E 9C E2 39 E1 4B,수면 방지 카드
equipment_name,7,0x804C0,0x80279,7,E2 5A E1 F5 9C E1 D4,파워 암
equipment_name,8,0x804C4,0x80281,13,E2 39 E2 03 E2 0E 9C E1 23 E1 5B E1 A5,카이저 글러브
equipment_name,9,0x804C8,0x8028F,11,E2 7B E1 AF E2 02 9C E2 0D E1 09,환상의 장갑
equipment_name,10,0x804CC,0x8029B,8,E1 B7 E1 23 E1 53 E1 C4,선글라스
equipment_name,11,0x804D0,0x802A4,15,E1 80 E2 1B E2 02 9C E1 49 E1 69 E1 72 E1 6E,명중의 두루마리
equipment_name,12,0x804D4,0x802B4,15,E2 55 E2 2C E2 02 9C E1 49 E1 69 E1 72 E1 6E,투척의 두루마리
equipment_name,13,0x804D8,0x802C4,9,E1 C9 E2 02 9C E2 1A E1 79,신의 주먹
equipment_name,14,0x804DC,0x802CE,15,E1 8B E2 03 E1 EB E1 61 9C E1 5D E2 03 E2 0E,바이올렛 레이저
equipment_name,15,0x804E0,0x802DE,6,E1 82 E1 0E E2 03,목걸이
equipment_name,16,0x804E4,0x802E5,4,E1 E7 E2 1A,염주
