char,virtual_code_hex,physical_index,row,column,plane,provenance,readback
가,E9 01,1240,14,16,0,v41_preserved,exact
각,E9 02,1241,14,16,1,v41_preserved,exact
간,E9 03,1242,14,16,2,v41_preserved,exact
감,E9 04,1243,14,16,3,v41_preserved,exact
갑,E9 05,1244,14,17,0,v41_preserved,exact
강,E9 06,1245,14,17,1,v41_preserved,exact
거,E9 07,1246,14,17,2,v41_preserved,exact
건,E9 08,1247,14,17,3,v41_preserved,exact
걸,E9 09,1248,14,18,0,v41_preserved,exact
검,E9 0A,1249,14,18,1,v41_preserved,exact
게,E9 0B,1250,14,18,2,v41_preserved,exact
격,E9 0C,1251,14,18,3,v41_preserved,exact
경,E9 0D,1252,14,19,0,v41_preserved,exact
계,E9 0E,1253,14,19,1,v41_preserved,exact
고,E9 0F,1254,14,19,2,v41_preserved,exact
곳,E9 10,1255,14,19,3,v41_preserved,exact
공,E9 11,1256,14,20,0,v41_preserved,exact
과,E9 12,1257,14,20,1,v41_preserved,exact
관,E9 13,1258,14,20,2,v41_preserved,exact
광,E9 14,1259,14,20,3,v41_preserved,exact
괴,E9 15,1260,15,0,0,v41_preserved,exact
구,E9 16,1261,15,0,1,v41_preserved,exact
군,E9 17,1262,15,0,2,v41_preserved,exact
굴,E9 18,1263,15,0,3,v41_preserved,exact
그,E9 19,1264,15,1,0,v41_preserved,exact
글,E9 1A,1265,15,1,1,v41_preserved,exact
기,E9 1B,1266,15,1,2,v41_preserved,exact
길,E9 1C,1267,15,1,3,v41_preserved,exact
깨,E9 1D,1268,15,2,0,v41_preserved,exact
꼭,E9 1E,1269,15,2,1,v41_preserved,exact
꽃,E9 1F,1270,15,2,2,v41_preserved,exact
나,E9 20,1271,15,2,3,v41_preserved,exact
난,E9 21,1272,15,3,0,v41_preserved,exact
날,E9 22,1273,15,3,1,v41_preserved,exact
내,E9 23,1274,15,3,2,v41_preserved,exact
너,E9 24,1275,15,3,3,v41_preserved,exact
넘,E9 25,1276,15,4,0,v41_preserved,exact
노,E9 26,1277,15,4,1,v41_preserved,exact
누,E9 27,1278,15,4,2,v41_preserved,exact
눈,E9 28,1279,15,4,3,v41_preserved,exact
느,E9 29,1280,15,5,0,v41_preserved,exact
는,E9 2A,1281,15,5,1,v41_preserved,exact
늘,E9 2B,1282,15,5,2,v41_preserved,exact
니,E9 2C,1283,15,5,3,v41_preserved,exact
다,E9 2D,1284,15,6,0,v41_preserved,exact
단,E9 2E,1285,15,6,1,v41_preserved,exact
달,E9 2F,1286,15,6,2,v41_preserved,exact
당,E9 30,1287,15,6,3,v41_preserved,exact
대,E9 31,1288,15,7,0,v41_preserved,exact
더,E9 32,1289,15,7,1,v41_preserved,exact
던,E9 33,1290,15,7,2,v41_preserved,exact
데,E9 34,1291,15,7,3,v41_preserved,exact
델,E9 35,1292,15,8,0,v41_preserved,exact
도,E9 36,1293,15,8,1,v41_preserved,exact
돌,E9 37,1294,15,8,2,v41_preserved,exact
동,E9 38,1295,15,8,3,v41_preserved,exact
되,E9 39,1296,15,9,0,v41_preserved,exact
두,E9 3A,1297,15,9,1,v41_preserved,exact
드,E9 3B,1298,15,9,2,v41_preserved,exact
든,E9 3C,1299,15,9,3,v41_preserved,exact
들,E9 3D,1300,15,10,0,v41_preserved,exact
디,E9 3E,1301,15,10,1,v41_preserved,exact
라,E9 3F,1302,15,10,2,v41_preserved,exact
람,E9 40,1303,15,10,3,v41_preserved,exact
래,E9 41,1304,15,11,0,v41_preserved,exact
러,E9 42,1305,15,11,1,v41_preserved,exact
런,E9 43,1306,15,11,2,v41_preserved,exact
레,E9 44,1307,15,11,3,v41_preserved,exact
렌,E9 45,1308,15,12,0,v41_preserved,exact
려,E9 46,1309,15,12,1,v41_preserved,exact
력,E9 47,1310,15,12,2,v41_preserved,exact
령,E9 48,1311,15,12,3,v41_preserved,exact
로,E9 49,1312,15,13,0,v41_preserved,exact
루,E9 4A,1313,15,13,1,v41_preserved,exact
류,E9 4B,1314,15,13,2,v41_preserved,exact
르,E9 4C,1315,15,13,3,v41_preserved,exact
를,E9 4D,1316,15,14,0,v41_preserved,exact
름,E9 4E,1317,15,14,1,v41_preserved,exact
리,E9 4F,1318,15,14,2,v41_preserved,exact
린,E9 50,1319,15,14,3,v41_preserved,exact
림,E9 51,1320,15,15,0,v41_preserved,exact
마,E9 52,1321,15,15,1,v41_preserved,exact
막,E9 53,1322,15,15,2,v41_preserved,exact
만,E9 54,1323,15,15,3,v41_preserved,exact
망,E9 55,1324,15,16,0,v41_preserved,exact
매,E9 56,1325,15,16,1,v41_preserved,exact
머,E9 57,1326,15,16,2,v41_preserved,exact
먹,E9 58,1327,15,16,3,v41_preserved,exact
먼,E9 59,1328,15,17,0,v41_preserved,exact
메,E9 5A,1329,15,17,1,v41_preserved,exact
며,E9 5B,1330,15,17,2,v41_preserved,exact
면,E9 5C,1331,15,17,3,v41_preserved,exact
멸,E9 5D,1332,15,18,0,v41_preserved,exact
