page,line,column,store,global_slot,virtual_table_slot,virtual_code,char,source_physical_index,target_physical_index
1,1,1,A,0,0,E9 01,가,140,3360
1,1,2,A,1,1,E9 02,각,1051,3361
1,1,3,A,2,2,E9 03,간,1231,3362
1,1,4,A,3,3,E9 04,감,985,3363
1,1,5,A,4,4,E9 05,갑,1228,3364
1,1,6,A,5,5,E9 06,강,1226,3365
1,1,7,A,6,6,E9 07,거,172,3366
1,1,8,A,7,7,E9 08,건,1049,3367
1,1,9,A,8,8,E9 09,걸,1248,3368
1,1,10,A,9,9,E9 0A,검,1249,3369
1,1,11,A,10,10,E9 0B,게,1250,3370
1,1,12,A,11,11,E9 0C,격,1251,3371
1,1,13,A,12,12,E9 0D,경,1252,3372
1,2,1,A,13,13,E9 0E,계,1253,3373
1,2,2,A,14,14,E9 0F,고,1254,3374
1,2,3,A,15,15,E9 10,곳,1255,3375
1,2,4,A,16,16,E9 11,공,1256,3376
1,2,5,A,17,17,E9 12,과,1257,3377
1,2,6,A,18,18,E9 13,관,1258,3378
1,2,7,A,19,19,E9 14,광,1259,3379
1,2,8,A,20,20,E9 15,괴,1260,3380
1,2,9,A,21,21,E9 16,구,1261,3381
1,2,10,A,22,22,E9 17,군,1262,3382
1,2,11,A,23,23,E9 18,굴,1263,3383
1,2,12,A,24,24,E9 19,그,1264,3384
1,2,13,A,25,25,E9 1A,글,1265,3385
2,1,1,A,26,26,E9 1B,기,1266,3386
2,1,2,A,27,27,E9 1C,길,1267,3387
2,1,3,A,28,28,E9 1D,깨,1268,3388
2,1,4,A,29,29,E9 1E,꼭,1269,3389
2,1,5,A,30,30,E9 1F,꽃,1270,3390
2,1,6,A,31,31,E9 20,나,1271,3391
2,1,7,A,32,32,E9 21,난,1272,3392
2,1,8,A,33,33,E9 22,날,1273,3393
2,1,9,A,34,34,E9 23,내,1274,3394
2,1,10,A,35,35,E9 24,너,1275,3395
2,1,11,A,36,36,E9 25,넘,1276,3396
2,1,12,A,37,37,E9 26,노,1277,3397
2,1,13,A,38,38,E9 27,누,1278,3398
2,2,1,A,39,39,E9 28,눈,1279,3399
2,2,2,A,40,40,E9 29,느,1280,3400
2,2,3,A,41,41,E9 2A,는,1281,3401
2,2,4,A,42,42,E9 2B,늘,944,3402
2,2,5,A,43,43,E9 2C,니,1283,3403
2,2,6,A,44,44,E9 2D,다,1284,3404
2,2,7,A,45,45,E9 2E,단,1285,3405
2,2,8,A,46,46,E9 2F,달,943,3406
2,2,9,A,47,348,EA 5F,엘,3360,3407
2,2,10,A,48,349,EA 60,염,3361,3408
2,2,11,A,49,350,EA 61,영,3362,3409
2,2,12,A,50,351,EA 62,욕,3363,3410
2,2,13,A,51,352,EA 63,월,3364,3411
3,1,1,B,52,353,EA 64,윈,3365,5292
3,1,2,B,53,354,EA 65,익,3366,5293
3,1,3,B,54,355,EA 66,잎,3367,5294
3,1,4,B,55,356,EA 67,잔,3368,5295
3,1,5,B,56,357,EA 68,젤,3369,5296
3,1,6,B,57,359,EA 6A,짓,3370,5297
3,1,7,B,58,360,EA 6B,짜,3371,5298
3,1,8,B,59,361,EA 6C,찍,3372,5299
3,1,9,B,60,362,EA 6D,참,3373,5300
3,1,10,B,61,363,EA 6E,창,3374,5301
3,1,11,B,62,364,EA 6F,책,3375,5302
3,1,12,B,63,365,EA 70,처,3376,5303
3,1,13,B,64,366,EA 71,척,3377,5304
3,2,1,B,65,367,EA 72,추,3378,5305
3,2,2,B,66,368,EA 73,축,3379,5306
3,2,3,B,67,369,EA 74,츠,3380,5307
3,2,4,B,68,370,EA 75,층,3381,5308
3,2,5,B,69,371,EA 76,칸,3382,5309
3,2,6,B,70,372,EA 77,컬,3383,5310
3,2,7,B,71,373,EA 78,켈,3384,5311
3,2,8,B,72,374,EA 79,콘,3385,5312
3,2,9,B,73,376,EA 7B,클,3386,5313
3,2,10,B,74,377,EA 7C,탄,3387,5314
3,2,11,B,75,378,EA 7D,탈,3388,5315
3,2,12,B,76,379,EA 7E,텀,3389,5316
3,2,13,B,77,380,EA 7F,테,3390,5317
4,1,1,B,78,381,EA 80,텔,3391,5318
4,1,2,B,79,382,EA 81,템,3392,5319
4,1,3,B,80,383,EA 82,톤,3393,5320
4,1,4,B,81,384,EA 83,톰,3394,5321
4,1,5,B,82,385,EA 84,퇴,3395,5322
4,1,6,B,83,386,EA 85,특,3396,5323
4,1,7,B,84,387,EA 86,티,3397,5324
4,1,8,B,85,388,EA 87,팡,3398,5325
4,1,9,B,86,389,EA 88,패,3399,5326
4,1,10,B,87,390,EA 89,팬,3400,5327
4,1,11,B,88,391,EA 8A,펀,3401,5328
4,1,12,B,89,392,EA 8B,폴,3402,5329
4,1,13,B,90,393,EA 8C,표,3403,5330
4,2,1,B,91,394,EA 8D,필,3404,5331
4,2,2,B,92,396,EA 8F,호,3405,5332
4,2,3,B,93,397,EA 90,환,3406,5333
4,2,4,B,94,398,EA 91,획,3407,5334
4,2,5,B,95,399,EA 92,효,3408,5335
4,2,6,B,96,400,EA 93,흑,3409,5336
4,2,7,B,97,401,EA 94,흡,3410,5337
4,2,8,B,98,402,EA 95,희,3411,5338
4,2,9,B,99,403,EA 96,히,5292,5339
4,2,10,B,100,404,EA 97,힐,5293,5340
4,2,11,B,101,405,EA 98,M,5294,5341
4,2,12,B,102,406,EA 99,P,5295,5342
4,2,13,B,103,408,EA 9B,V,5296,5343
