state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-112DD4E8341F03C8_1,0x1BF1C0,46,36,48,12,32705,101,66,兵
HASH-112DD4E8341F03C8_1,0x1BF1D4,46,36,48,12,32705,101,66,兵
HASH-112DD4E8341F03C8_1,0x1BF1F4,58,36,48,12,32707,103,68,여
HASH-112DD4E8341F03C8_1,0x1BF208,58,36,48,12,32707,103,68,여
HASH-112DD4E8341F03C8_1,0x1BF228,70,36,108,0,32704,36,25, 
HASH-112DD4E8341F03C8_1,0x1BF23C,70,36,108,0,32704,36,25, 
HASH-112DD4E8341F03C8_1,0x1BF25C,46,50,24,12,32704,92,5D,王
HASH-112DD4E8341F03C8_1,0x1BF270,46,50,24,12,32704,92,5D,王
HASH-112DD4E8341F03C8_1,0x1BF290,58,50,108,0,32707,39,28,진
HASH-112DD4E8341F03C8_1,0x1BF2A4,58,50,108,0,32707,39,28,진
HASH-112DD4E8341F03C8_1,0x1BF2C4,70,50,168,0,32706,58,3B,お
HASH-112DD4E8341F03C8_1,0x1BF2D8,70,50,168,0,32706,58,3B,お
HASH-112DD4E8341F03C8_1,0x1BF2F8,82,50,12,24,32705,173,AE,前
HASH-112DD4E8341F03C8_1,0x1BF30C,82,50,12,24,32705,173,AE,前
HASH-112DD4E8341F03C8_1,0x1BF32C,94,50,96,0,32706,34,23,に
HASH-112DD4E8341F03C8_1,0x1BF340,94,50,96,0,32706,34,23,に
HASH-112DD4E8341F03C8_1,0x1BF360,106,50,228,60,32705,497,DE 17,期
HASH-112DD4E8341F03C8_1,0x1BF374,106,50,228,60,32705,497,DE 17,期
HASH-112DD4E8341F03C8_1,0x1BF394,118,50,192,12,32707,151,98,아
HASH-112DD4E8341F03C8_1,0x1BF3A8,118,50,192,12,32707,151,98,아
HASH-112DD4E8341F03C8_1,0x1BF3C8,130,50,84,0,32705,29,1E,し
HASH-112DD4E8341F03C8_1,0x1BF3DC,130,50,84,0,32705,29,1E,し
HASH-112DD4E8341F03C8_1,0x1BF3FC,142,50,96,0,32704,32,21,て
HASH-112DD4E8341F03C8_1,0x1BF410,142,50,96,0,32704,32,21,て
HASH-112DD4E8341F03C8_1,0x1BF430,154,50,168,0,32706,58,3B,お
HASH-112DD4E8341F03C8_1,0x1BF444,154,50,168,0,32706,58,3B,お
HASH-112DD4E8341F03C8_1,0x1BF464,166,50,144,0,32706,50,33,ら
HASH-112DD4E8341F03C8_1,0x1BF478,166,50,144,0,32706,50,33,ら
HASH-112DD4E8341F03C8_1,0x1BF498,178,50,144,0,32705,49,32,れ
HASH-112DD4E8341F03C8_1,0x1BF4AC,178,50,144,0,32705,49,32,れ
HASH-112DD4E8341F03C8_1,0x1BF4CC,190,50,96,0,32705,33,22,る
HASH-112DD4E8341F03C8_1,0x1BF4E0,190,50,96,0,32705,33,22,る
HASH-112DD4E8341F03C8_1,0x1BF500,202,50,156,0,32706,54,37,。
HASH-112DD4E8341F03C8_1,0x1BF514,202,50,156,0,32706,54,37,。
HASH-112DD4E8341F03C8_1,0x1BF534,46,64,156,60,32704,472,DD FD,良
HASH-112DD4E8341F03C8_1,0x1BF548,46,64,156,60,32704,472,DD FD,良
HASH-112DD4E8341F03C8_1,0x1BF568,58,64,72,0,32706,26,1B,い
HASH-112DD4E8341F03C8_1,0x1BF57C,58,64,72,0,32706,26,1B,い
HASH-112DD4E8341F03C8_1,0x1BF59C,70,64,12,84,32705,593,DE 77,結
HASH-112DD4E8341F03C8_1,0x1BF5B0,70,64,12,84,32705,593,DE 77,結
HASH-112DD4E8341F03C8_1,0x1BF5D0,82,64,240,24,32706,250,DD 1F,果
HASH-112DD4E8341F03C8_1,0x1BF5E4,82,64,240,24,32706,250,DD 1F,果
HASH-112DD4E8341F03C8_1,0x1BF604,94,64,132,0,32706,46,2F,を
HASH-112DD4E8341F03C8_1,0x1BF618,94,64,132,0,32706,46,2F,を
HASH-112DD4E8341F03C8_1,0x1BF638,106,64,180,24,32704,228,DD 09,持
HASH-112DD4E8341F03C8_1,0x1BF64C,106,64,180,24,32704,228,DD 09,持
HASH-112DD4E8341F03C8_1,0x1BF66C,118,64,216,0,32706,74,4B,ち
HASH-112DD4E8341F03C8_1,0x1BF680,118,64,216,0,32706,74,4B,ち
HASH-112DD4E8341F03C8_1,0x1BF6A0,130,64,240,48,32704,416,DD C5,帰
HASH-112DD4E8341F03C8_1,0x1BF6B4,130,64,240,48,32704,416,DD C5,帰
HASH-112DD4E8341F03C8_1,0x1BF6D4,142,64,96,0,32705,33,22,る
HASH-112DD4E8341F03C8_1,0x1BF6E8,142,64,96,0,32705,33,22,る
HASH-112DD4E8341F03C8_1,0x1BF708,154,64,72,0,32707,27,1C,결
HASH-112DD4E8341F03C8_1,0x1BF71C,154,64,72,0,32707,27,1C,결
HASH-112DD4E8341F03C8_1,0x1BF73C,166,64,156,0,32704,52,35,だ
HASH-112DD4E8341F03C8_1,0x1BF750,166,64,156,0,32704,52,35,だ
HASH-112DD4E8341F03C8_1,0x1BF770,178,64,60,12,32705,105,6A,ぞ
HASH-112DD4E8341F03C8_1,0x1BF784,178,64,60,12,32705,105,6A,ぞ
HASH-112DD4E8341F03C8_1,0x1BF7A4,190,64,156,0,32706,54,37,。
HASH-112DD4E8341F03C8_1,0x1BF7B8,190,64,156,0,32706,54,37,。
HASH-112DD4E8341F03C8_1,0x1BF7D8,232,50,204,12,32707,155,9C, 
HASH-112DD4E8341F03C8_1,0x1BF7EC,232,50,204,12,32707,155,9C, 
