state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-112DD4E8341F03C8_1,30,104,104,1,ク,77,4E
HASH-112DD4E8341F03C8_1,36,46,70,3,兵여 ,101 103 36,66 | 68 | 25
HASH-112DD4E8341F03C8_1,50,46,262,18,王진お前に期아しておられる。 썼나 ,92 39 58 173 34 497 151 29 32 58 50 49 33 54 155 763 1137 155,5D | 28 | 3B | AE | 23 | DE 17 | 98 | 1E | 21 | 3B | 33 | 32 | 22 | 37 | 9C | DF 22 | E0 99 | 9C
HASH-112DD4E8341F03C8_1,64,46,190,22,良い結果を봐持.ち.帰.る 기결다だ려ぞ!。,472 26 593 250 46 997 228 1080 74 1080 416 1080 33 155 1156 27 1177 52 1005 105 956 54,DD FD | 1B | DE 77 | DD 1F | 2F | E0 0D | DD 09 | E0 60 | 4B | E0 60 | DD C5 | E0 60 | 22 | 9C | E0 AC | 1C | E0 C1 | 35 | E0 15 | 6A | DF E3 | 37
HASH-112DD4E8341F03C8_1,73,198,246,5,戦결小太鼓,98 27 355 388 460,63 | 1C | DD 88 | DD A9 | DD F1
HASH-112DD4E8341F03C8_1,80,200,224,3,다リア,119 106 65,78 | 6B | 42
HASH-112DD4E8341F03C8_1,96,56,104,5,진じめ계ら,39 73 80 31 50,28 | 4A | 51 | 20 | 33
HASH-112DD4E8341F03C8_1,105,111,111,1,이,123,7C
HASH-112DD4E8341F03C8_1,120,116,224,10,していますしています,29 32 26 38 42 29 32 26 38 42,1E | 21 | 1B | 27 | 2B | 1E | 21 | 1B | 27 | 2B
HASH-112DD4E8341F03C8_1,122,124,184,6,パ<110>사제ア城,162 110 51 95 65 242,A3 | 6F | 34 | 60 | 42 | DD 17
HASH-112DD4E8341F03C8_1,147,163,175,2,ース,48 70,31 | 47
HASH-112DD4E8341F03C8_1,166,46,262,21,"대신: 예, 생각해 두었습니다.있겠지?",1038 1179 857 155 755 955 155 988 1051 1120 155 1232 982 1079 1037 1177 1080 1186 1152 1146 1055,E0 36 | E0 C3 | DF 80 | 9C | DF 1A | DF E2 | 9C | E0 04 | E0 43 | E0 88 | 9C | E0 F8 | DF FD | E0 5F | E0 35 | E0 C1 | E0 60 | E0 CA | E0 A8 | E0 A2 | E0 47
HASH-112DD4E8341F03C8_1,180,46,256,21,을 시험하게 하라.찾게 할 생각입니다.,1147 155 1081 1216 1180 1004 155 1180 1150 1080 1210 1004 155 1165 155 988 1051 1185 1037 1177 1080,E0 A3 | 9C | E0 61 | E0 E8 | E0 C4 | E0 14 | 9C | E0 C4 | E0 A6 | E0 60 | E0 E2 | E0 14 | 9C | E0 B5 | 9C | E0 04 | E0 43 | E0 C9 | E0 35 | E0 C1 | E0 60
