state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-F27AD4691BB789AD_1,0x1BF1C0,46,98,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF1D4,46,98,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF1F4,58,98,156,132,32707,979,DF FA,운
HASH-F27AD4691BB789AD_1,0x1BF208,58,98,156,132,32707,979,DF FA,운
HASH-F27AD4691BB789AD_1,0x1BF228,70,98,108,108,32706,794,DF 41,드
HASH-F27AD4691BB789AD_1,0x1BF23C,70,98,108,108,32706,794,DF 41,드
HASH-F27AD4691BB789AD_1,0x1BF25C,82,98,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF270,82,98,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF290,88,98,180,168,32704,1236,E0 FC,출
HASH-F27AD4691BB789AD_1,0x1BF2A4,88,98,180,168,32704,1236,E0 FC,출
HASH-F27AD4691BB789AD_1,0x1BF2C4,100,98,96,156,32704,1124,E0 8C,력
HASH-F27AD4691BB789AD_1,0x1BF2D8,100,98,96,156,32704,1124,E0 8C,력
HASH-F27AD4691BB789AD_1,0x1BF2F8,166,98,96,144,32705,1041,E0 39,스
HASH-F27AD4691BB789AD_1,0x1BF30C,166,98,96,144,32705,1041,E0 39,스
HASH-F27AD4691BB789AD_1,0x1BF32C,178,98,192,96,32704,736,DF 07,테
HASH-F27AD4691BB789AD_1,0x1BF340,178,98,192,96,32704,736,DF 07,테
HASH-F27AD4691BB789AD_1,0x1BF360,190,98,36,132,32707,939,DF D2,레
HASH-F27AD4691BB789AD_1,0x1BF374,190,98,36,132,32707,939,DF D2,레
HASH-F27AD4691BB789AD_1,0x1BF394,202,98,216,144,32706,1082,E0 62,오
HASH-F27AD4691BB789AD_1,0x1BF3A8,202,98,216,144,32706,1082,E0 62,오
HASH-F27AD4691BB789AD_1,0x1BF3C8,226,98,228,132,32705,1001,E0 11,모
HASH-F27AD4691BB789AD_1,0x1BF3DC,226,98,228,132,32705,1001,E0 11,모
HASH-F27AD4691BB789AD_1,0x1BF3FC,238,98,108,144,32704,1044,E0 3C,노
HASH-F27AD4691BB789AD_1,0x1BF410,238,98,108,144,32704,1044,E0 3C,노
HASH-F27AD4691BB789AD_1,0x1BF430,46,114,84,144,32706,1038,E0 36,대
HASH-F27AD4691BB789AD_1,0x1BF444,46,114,84,144,32706,1038,E0 36,대
HASH-F27AD4691BB789AD_1,0x1BF464,58,114,120,144,32707,1051,E0 43,각
HASH-F27AD4691BB789AD_1,0x1BF478,58,114,120,144,32707,1051,E0 43,각
HASH-F27AD4691BB789AD_1,0x1BF498,70,114,192,144,32704,1072,E0 58,선
HASH-F27AD4691BB789AD_1,0x1BF4AC,70,114,192,144,32704,1072,E0 58,선
HASH-F27AD4691BB789AD_1,0x1BF4CC,82,114,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF4E0,82,114,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF500,88,114,24,168,32705,1185,E0 C9,입
HASH-F27AD4691BB789AD_1,0x1BF514,88,114,24,168,32705,1185,E0 C9,입
HASH-F27AD4691BB789AD_1,0x1BF534,100,114,96,156,32704,1124,E0 8C,력
HASH-F27AD4691BB789AD_1,0x1BF548,100,114,96,156,32704,1124,E0 8C,력
HASH-F27AD4691BB789AD_1,0x1BF568,166,114,240,144,32707,1091,E0 6B,일
HASH-F27AD4691BB789AD_1,0x1BF57C,166,114,240,144,32707,1091,E0 6B,일
HASH-F27AD4691BB789AD_1,0x1BF59C,178,114,84,156,32706,1122,E0 8A,반
HASH-F27AD4691BB789AD_1,0x1BF5B0,178,114,84,156,32706,1122,E0 8A,반
HASH-F27AD4691BB789AD_1,0x1BF5D0,226,114,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF5E4,226,114,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF604,238,114,228,144,32707,1087,E0 67,용
HASH-F27AD4691BB789AD_1,0x1BF618,238,114,228,144,32707,1087,E0 67,용
HASH-F27AD4691BB789AD_1,0x1BF638,46,130,60,168,32705,1197,E0 D5,돌
HASH-F27AD4691BB789AD_1,0x1BF64C,46,130,60,168,32705,1197,E0 D5,돌
HASH-F27AD4691BB789AD_1,0x1BF66C,58,130,144,156,32704,1140,E0 9C,아
HASH-F27AD4691BB789AD_1,0x1BF680,58,130,144,156,32704,1140,E0 9C,아
HASH-F27AD4691BB789AD_1,0x1BF6A0,70,130,0,168,32704,1176,E0 C0,가
HASH-F27AD4691BB789AD_1,0x1BF6B4,70,130,0,168,32704,1176,E0 C0,가
HASH-F27AD4691BB789AD_1,0x1BF6D4,82,130,192,156,32704,1156,E0 AC,기
HASH-F27AD4691BB789AD_1,0x1BF6E8,82,130,192,156,32704,1156,E0 AC,기
HASH-F27AD4691BB789AD_1,0x1BF708,94,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF71C,94,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF73C,100,130,0,96,32706,674,DE C8,확
HASH-F27AD4691BB789AD_1,0x1BF750,100,130,0,96,32706,674,DE C8,확
HASH-F27AD4691BB789AD_1,0x1BF770,112,130,240,144,32706,1090,E0 6A,인
HASH-F27AD4691BB789AD_1,0x1BF784,112,130,240,144,32706,1090,E0 6A,인
HASH-F27AD4691BB789AD_1,0x1BF7A4,166,130,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF7B8,166,130,168,156,32705,1149,E0 A5,사
HASH-F27AD4691BB789AD_1,0x1BF7D8,178,130,228,144,32707,1087,E0 67,용
HASH-F27AD4691BB789AD_1,0x1BF7EC,178,130,228,144,32707,1087,E0 67,용
HASH-F27AD4691BB789AD_1,0x1BF80C,190,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF820,190,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF840,196,130,120,168,32705,1217,E0 E9,안
HASH-F27AD4691BB789AD_1,0x1BF854,196,130,120,168,32705,1217,E0 E9,안
HASH-F27AD4691BB789AD_1,0x1BF874,208,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF888,208,130,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF8A8,214,130,72,156,32705,1117,E0 85,함
HASH-F27AD4691BB789AD_1,0x1BF8BC,214,130,72,156,32705,1117,E0 85,함
HASH-F27AD4691BB789AD_1,0x1BF8DC,46,146,168,156,32707,1151,E0 A7,도
HASH-F27AD4691BB789AD_1,0x1BF8F0,46,146,168,156,32707,1151,E0 A7,도
HASH-F27AD4691BB789AD_1,0x1BF910,58,146,240,96,32704,752,DF 17,움
HASH-F27AD4691BB789AD_1,0x1BF924,58,146,240,96,32704,752,DF 17,움
HASH-F27AD4691BB789AD_1,0x1BF944,70,146,240,156,32706,1174,E0 BE,말
HASH-F27AD4691BB789AD_1,0x1BF958,70,146,240,156,32706,1174,E0 BE,말
HASH-F27AD4691BB789AD_1,0x1BF978,82,146,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF98C,82,146,204,12,32707,155,9C, 
HASH-F27AD4691BB789AD_1,0x1BF9AC,88,146,108,156,32707,1131,E0 93,보
HASH-F27AD4691BB789AD_1,0x1BF9C0,88,146,108,156,32707,1131,E0 93,보
HASH-F27AD4691BB789AD_1,0x1BF9E0,100,146,192,156,32704,1156,E0 AC,기
HASH-F27AD4691BB789AD_1,0x1BF9F4,100,146,192,156,32704,1156,E0 AC,기
HASH-F27AD4691BB789AD_1,0x1BFA14,166,146,0,12,32705,85,56,出
HASH-F27AD4691BB789AD_1,0x1BFA28,166,146,0,12,32705,85,56,出
HASH-F27AD4691BB789AD_1,0x1BFA48,178,146,180,168,32707,1239,E1 00,승
HASH-F27AD4691BB789AD_1,0x1BFA5C,178,146,180,168,32707,1239,E1 00,승
HASH-F27AD4691BB789AD_1,0x1BFA7C,190,146,96,132,32704,956,DF E3,!
HASH-F27AD4691BB789AD_1,0x1BFA90,190,146,96,132,32704,956,DF E3,!
HASH-F27AD4691BB789AD_1,0x1BFAB0,202,146,96,132,32704,956,DF E3,!
HASH-F27AD4691BB789AD_1,0x1BFAC4,202,146,96,132,32704,956,DF E3,!
HASH-F27AD4691BB789AD_1,0x1BFAE4,226,146,120,20,32704,124,7D,ひ
HASH-F27AD4691BB789AD_1,0x1BFAF8,226,146,120,20,32704,124,7D,ひ
