state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-F27AD4691BB789AD_1,65,110,176,7,카이저 글러브,1576 1481 1491 155 1265 1305 1366,E2 52 | E1 F2 | E1 FC | 9C | E1 1A | E1 42 | E1 7F
HASH-F27AD4691BB789AD_1,98,46,238,12,사운드 출력스테레오모노,1149 979 794 155 1236 1124 1041 736 939 1082 1001 1044,E0 A5 | DF FA | DF 41 | 9C | E0 FC | E0 8C | E0 39 | DF 07 | DF D2 | E0 62 | E0 11 | E0 3C
HASH-F27AD4691BB789AD_1,114,46,238,10,대각선 입력일반사용,1038 1051 1072 155 1185 1124 1091 1122 1149 1087,E0 36 | E0 43 | E0 58 | 9C | E0 C9 | E0 8C | E0 6B | E0 8A | E0 A5 | E0 67
HASH-F27AD4691BB789AD_1,116,88,172,9,던지기 레벨 의1,1290 1509 1266 155 1307 1736 155 11 17,E1 33 | E2 0F | E1 1B | 9C | E1 44 | E2 F2 | 9C | 0C | 12
HASH-F27AD4691BB789AD_1,120,134,206,8, 있습니다습니다,155 1186 1079 1037 1177 1079 1037 1177,9C | E0 CA | E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-F27AD4691BB789AD_1,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-F27AD4691BB789AD_1,129,190,226,4,작합니다,1130 1118 1037 1177,E0 92 | E0 86 | E0 35 | E0 C1
HASH-F27AD4691BB789AD_1,130,46,214,13,돌아가기 확인사용 안 함,1197 1140 1176 1156 155 674 1090 1149 1087 155 1217 155 1117,E0 D5 | E0 9C | E0 C0 | E0 AC | 9C | DE C8 | E0 6A | E0 A5 | E0 67 | 9C | E0 E9 | 9C | E0 85
HASH-F27AD4691BB789AD_1,146,46,382,24,도움말 보기出승!!ひ셔장촌<24>뒤っ聖<24>뒤ト様<24>뒤,1151 752 1174 155 1131 1156 85 1239 956 956 124 1749 207 203 24 127 116 204 24 127 148 202 24 127,E0 A7 | DF 17 | E0 BE | 9C | E0 93 | E0 AC | 56 | E1 00 | DF E3 | DF E3 | 7D | E3 00 | D0 | CC | 19 | 80 | 75 | CD | 19 | 80 | 95 | CB | 19 | 80
HASH-F27AD4691BB789AD_1,214,18,102,9,"공격, 연결 열기",1182 1048 955 155 757 863 155 1162 1156,E0 C6 | E0 40 | DF E2 | 9C | DF 1C | DF 86 | 9C | E0 B2 | E0 AC
HASH-F27AD4691BB789AD_2,105,198,252,6,번 그라운드,1352 155 1264 1302 1417 1298,E1 71 | 9C | E1 19 | E1 3F | E1 B2 | E1 3B
HASH-F27AD4691BB789AD_2,109,88,196,11,용암으로 적에게 피해,1415 1757 1424 1312 155 1492 1403 1250 155 1636 1642,E1 B0 | E3 08 | E1 B9 | E1 49 | 9C | E1 FD | E1 A4 | E1 0B | 9C | E2 8E | E2 94
HASH-F27AD4691BB789AD_2,114,70,238,8,선 입력일반사용,1072 155 1185 1124 1091 1122 1149 1087,E0 58 | 9C | E0 C9 | E0 8C | E0 6B | E0 8A | E0 A5 | E0 67
HASH-F27AD4691BB789AD_2,120,152,206,6,습니다습니다,1079 1037 1177 1079 1037 1177,E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-F27AD4691BB789AD_2,122,126,174,7,    아니요,155 155 155 155 1140 1037 1086,9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-F27AD4691BB789AD_2,129,190,226,4,작합니다,1130 1118 1037 1177,E0 92 | E0 86 | E0 35 | E0 C1
HASH-F27AD4691BB789AD_2,130,46,214,13,돌아가기 확인사용 안 함,1197 1140 1176 1156 155 674 1090 1149 1087 155 1217 155 1117,E0 D5 | E0 9C | E0 C0 | E0 AC | 9C | DE C8 | E0 6A | E0 A5 | E0 67 | 9C | E0 E9 | 9C | E0 85
HASH-F27AD4691BB789AD_2,137,101,122,3, <553><363>,0 553 363,01 | DE 4F | DD 90
HASH-F27AD4691BB789AD_2,146,46,382,24,도움말 보기出승!!ひ셔장촌<24>뒤っ聖<24>뒤ト様<24>뒤,1151 752 1174 155 1131 1156 85 1239 956 956 124 1749 207 203 24 127 116 204 24 127 148 202 24 127,E0 A7 | DF 17 | E0 BE | 9C | E0 93 | E0 AC | 56 | E1 00 | DF E3 | DF E3 | 7D | E3 00 | D0 | CC | 19 | 80 | 75 | CD | 19 | 80 | 95 | CB | 19 | 80
HASH-F27AD4691BB789AD_2,214,18,138,12,롭결정 <1657>돌아가기합니다,877 863 1219 155 1657 1197 1140 1176 1156 1118 1037 1177,DF 94 | DF 86 | E0 EB | 9C | E2 A3 | E0 D5 | E0 9C | E0 C0 | E0 AC | E0 86 | E0 35 | E0 C1
