char,virtual_code_hex,old_physical_index,old_row,new_physical_index,new_row,new_column,new_plane
엘,EA 5F,2684,31,2016,24,0,0
염,EA 60,2685,31,2017,24,0,1
영,EA 61,2686,31,2018,24,0,2
욕,EA 62,2687,31,2019,24,0,3
월,EA 63,2768,32,2020,24,1,0
윈,EA 64,2769,32,2021,24,1,1
익,EA 65,2770,32,2022,24,1,2
잎,EA 66,2771,32,2023,24,1,3
잔,EA 67,2852,33,2024,24,2,0
젤,EA 68,2853,33,2025,24,2,1
짓,EA 6A,2855,33,2026,24,2,2
짜,EA 6B,3260,38,2027,24,2,3
찍,EA 6C,3261,38,2028,24,3,0
참,EA 6D,3262,38,2029,24,3,1
창,EA 6E,3263,38,2030,24,3,2
책,EA 6F,3264,38,2031,24,3,3
처,EA 70,3265,38,2032,24,4,0
척,EA 71,3266,38,2033,24,4,1
추,EA 72,3267,38,2034,24,4,2
축,EA 73,3268,38,2035,24,4,3
츠,EA 74,3269,38,2036,24,5,0
층,EA 75,3270,38,2037,24,5,1
칸,EA 76,3271,38,2038,24,5,2
컬,EA 77,3272,38,2039,24,5,3
켈,EA 78,3273,38,2040,24,6,0
콘,EA 79,3274,38,2041,24,6,1
클,EA 7B,3276,39,2042,24,6,2
탄,EA 7C,3277,39,2043,24,6,3
탈,EA 7D,3278,39,2044,24,7,0
텀,EA 7E,3279,39,2045,24,7,1
테,EA 7F,3280,39,2046,24,7,2
텔,EA 80,3281,39,2047,24,7,3
템,EA 81,3282,39,2048,24,8,0
톤,EA 82,3283,39,2049,24,8,1
톰,EA 83,3284,39,2050,24,8,2
퇴,EA 84,3285,39,2051,24,8,3
특,EA 85,3286,39,2052,24,9,0
티,EA 86,3287,39,2053,24,9,1
팡,EA 87,3288,39,2054,24,9,2
패,EA 88,3289,39,2055,24,9,3
팬,EA 89,3290,39,2056,24,10,0
펀,EA 8A,3291,39,2057,24,10,1
폴,EA 8B,3292,39,2058,24,10,2
표,EA 8C,3293,39,2059,24,10,3
필,EA 8D,3294,39,2060,24,11,0
호,EA 8F,3296,39,2061,24,11,1
환,EA 90,3297,39,2062,24,11,2
획,EA 91,3298,39,2063,24,11,3
효,EA 92,3299,39,2064,24,12,0
흑,EA 93,3300,39,2065,24,12,1
흡,EA 94,3301,39,2066,24,12,2
희,EA 95,3302,39,2067,24,12,3
히,EA 96,3303,39,2068,24,13,0
힐,EA 97,3304,39,2069,24,13,1
M,EA 98,3305,39,2070,24,13,2
P,EA 99,3306,39,2071,24,13,3
V,EA 9B,3308,39,2072,24,14,0
