state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-FE27CFD4E73EF39_4,0x1BEA5C,107,137,0,0,32704,0,01, 
HASH-FE27CFD4E73EF39_4,0x1BEA70,107,137,0,0,32704,0,01, 
HASH-FE27CFD4E73EF39_4,0x1BEA90,119,137,144,72,32705,553,DE 4F,
HASH-FE27CFD4E73EF39_4,0x1BEAA4,119,137,144,72,32705,553,DE 4F,
HASH-FE27CFD4E73EF39_4,0x1BEAC4,128,137,72,48,32707,363,DD 90,
HASH-FE27CFD4E73EF39_4,0x1BEAD8,128,137,72,48,32707,363,DD 90,
HASH-FE27CFD4E73EF39_4,0x1BECCC,82,114,204,12,32707,155,9C, 
HASH-FE27CFD4E73EF39_4,0x1BECE0,82,114,204,12,32707,155,9C, 
HASH-FE27CFD4E73EF39_4,0x1BED00,88,114,24,168,32705,1185,E0 C9,입
HASH-FE27CFD4E73EF39_4,0x1BED14,88,114,24,168,32705,1185,E0 C9,입
HASH-FE27CFD4E73EF39_4,0x1BED34,100,114,96,156,32704,1124,E0 8C,력
HASH-FE27CFD4E73EF39_4,0x1BED48,100,114,96,156,32704,1124,E0 8C,력
HASH-FE27CFD4E73EF39_4,0x1BED68,166,114,240,144,32707,1091,E0 6B,일
HASH-FE27CFD4E73EF39_4,0x1BED7C,166,114,240,144,32707,1091,E0 6B,일
HASH-FE27CFD4E73EF39_4,0x1BED9C,178,114,84,156,32706,1122,E0 8A,반
HASH-FE27CFD4E73EF39_4,0x1BEDB0,178,114,84,156,32706,1122,E0 8A,반
HASH-FE27CFD4E73EF39_4,0x1BEDD0,226,114,144,168,32706,1226,E0 F2,강
HASH-FE27CFD4E73EF39_4,0x1BEDE4,226,114,144,168,32706,1226,E0 F2,강
HASH-FE27CFD4E73EF39_4,0x1BEE04,238,114,60,156,32704,1112,E0 80,활
HASH-FE27CFD4E73EF39_4,0x1BEE18,238,114,60,156,32704,1112,E0 80,활
HASH-FE27CFD4E73EF39_4,0x1BEE38,46,130,60,168,32705,1197,E0 D5,돌
HASH-FE27CFD4E73EF39_4,0x1BEE4C,46,130,60,168,32705,1197,E0 D5,돌
HASH-FE27CFD4E73EF39_4,0x1BEE6C,58,130,144,156,32704,1140,E0 9C,아
HASH-FE27CFD4E73EF39_4,0x1BEE80,58,130,144,156,32704,1140,E0 9C,아
HASH-FE27CFD4E73EF39_4,0x1BEEA0,70,130,0,168,32704,1176,E0 C0,가
HASH-FE27CFD4E73EF39_4,0x1BEEB4,70,130,0,168,32704,1176,E0 C0,가
HASH-FE27CFD4E73EF39_4,0x1BEED4,82,130,192,156,32704,1156,E0 AC,기
HASH-FE27CFD4E73EF39_4,0x1BEEE8,82,130,192,156,32704,1156,E0 AC,기
HASH-FE27CFD4E73EF39_4,0x1BEF08,94,130,204,12,32707,155,9C, 
HASH-FE27CFD4E73EF39_4,0x1BEF1C,94,130,204,12,32707,155,9C, 
HASH-FE27CFD4E73EF39_4,0x1BEF3C,100,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BEF50,100,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BEF70,112,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BEF84,112,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BEFA4,166,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BEFB8,166,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BEFD8,178,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BEFEC,178,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BF00C,190,130,120,168,32705,1217,E0 E9,안
HASH-FE27CFD4E73EF39_4,0x1BF020,190,130,120,168,32705,1217,E0 E9,안
HASH-FE27CFD4E73EF39_4,0x1BF040,202,130,72,156,32705,1117,E0 85,함
HASH-FE27CFD4E73EF39_4,0x1BF054,202,130,72,156,32705,1117,E0 85,함
HASH-FE27CFD4E73EF39_4,0x1BF074,226,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BF088,226,130,0,96,32706,674,DE C8,확
HASH-FE27CFD4E73EF39_4,0x1BF0A8,238,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BF0BC,238,130,240,144,32706,1090,E0 6A,인
HASH-FE27CFD4E73EF39_4,0x1BF0DC,250,130,72,156,32705,1117,E0 85,함
HASH-FE27CFD4E73EF39_4,0x1BF0F0,250,130,72,156,32705,1117,E0 85,함
HASH-FE27CFD4E73EF39_4,0x1BF110,46,146,168,156,32707,1151,E0 A7,도
HASH-FE27CFD4E73EF39_4,0x1BF124,46,146,168,156,32707,1151,E0 A7,도
HASH-FE27CFD4E73EF39_4,0x1BF144,58,146,240,96,32704,752,DF 17,움
HASH-FE27CFD4E73EF39_4,0x1BF158,58,146,240,96,32704,752,DF 17,움
