state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-FE27CFD4E73EF39_4,41,252,252,1,드,1298,E1 3B
HASH-FE27CFD4E73EF39_4,104,178,238,6,시겠습니까?,1081 1152 1079 1037 818 1055,E0 61 | E0 A8 | E0 5F | E0 35 | DF 59 | E0 47
HASH-FE27CFD4E73EF39_4,109,88,202,12,운석으로 주변 적 피해,1417 1747 1424 1312 155 1504 1355 155 1492 155 1636 1642,E1 B2 | E2 FD | E1 B9 | E1 49 | 9C | E2 0A | E1 74 | 9C | E1 FD | 9C | E2 8E | E2 94
HASH-FE27CFD4E73EF39_4,114,82,238,7, 입력일반강활,155 1185 1124 1091 1122 1226 1112,9C | E0 C9 | E0 8C | E0 6B | E0 8A | E0 F2 | E0 80
HASH-FE27CFD4E73EF39_4,115,230,272,5,메<1432>오 <1444>,1329 1432 1407 155 1444,E1 5A | E1 C1 | E1 A8 | 9C | E1 CD
HASH-FE27CFD4E73EF39_4,120,164,206,5,니다습니다,1037 1177 1079 1037 1177,E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-FE27CFD4E73EF39_4,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-FE27CFD4E73EF39_4,130,46,250,14,돌아가기 확인확인안함확인함,1197 1140 1176 1156 155 674 1090 674 1090 1217 1117 674 1090 1117,E0 D5 | E0 9C | E0 C0 | E0 AC | 9C | DE C8 | E0 6A | DE C8 | E0 6A | E0 E9 | E0 85 | DE C8 | E0 6A | E0 85
HASH-FE27CFD4E73EF39_4,137,107,128,3, <553><363>,0 553 363,01 | DE 4F | DD 90
HASH-FE27CFD4E73EF39_4,146,46,256,12,도움말 보기보기안 보기,1151 752 1174 155 1131 1156 1131 1156 1217 155 1131 1156,E0 A7 | DF 17 | E0 BE | 9C | E0 93 | E0 AC | E0 93 | E0 AC | E0 E9 | 9C | E0 93 | E0 AC
HASH-FE27CFD4E73EF39_4,147,137,137,1,미,1342,E1 67
HASH-FE27CFD4E73EF39_4,166,46,82,4,ヤ뒤사 ,186 127 51 36,BB | 80 | 34 | 25
