string_offset,encoded_bytes,required_bytes_with_terminator,encoded_hex
0x81D97,25,26,E0 53 E0 A0 9C E0 CA E0 C2 9C E0 7B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x81DB1,23,24,E0 31 E0 BD DF E8 E0 C0 9C E0 5D E0 56 E0 2F DF FD E0 5F E0 35 E0 C1
0x81DC9,22,23,E0 C1 DF F8 9C E0 36 E0 56 E0 A3 9C E0 58 E0 B6 E0 86 E0 35 E0 C1
0x81DE0,22,23,E0 CB E0 E1 9C E0 31 E0 BD DF E8 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1
0x81DF7,18,19,DF 10 E0 8B E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x81E0A,18,19,E0 CB E0 E1 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x81E1D,17,18,E0 6A E0 4F E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x81F04,17,18,E7 02 DF 86 E0 EB 9C E7 03 E0 D5 E0 9C E0 C0 E0 AC
0x81F16,16,17,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87
0x81F27,16,17,E0 C6 E0 40 DF E2 9C DF 1C DF 86 9C E0 B2 E0 AC
0x81F38,15,16,E0 29 E0 36 E0 D6 9C E0 9A E0 5C E0 C4 E0 AC
0x81F48,15,16,E0 69 E0 7D DF 8C 9C E0 62 DF E9 E0 98 E0 99
0x81F58,14,15,DF 1A 9C 9C 9C 9C 9C 9C E0 9C E0 35 E0 66
0x81F67,13,14,DF B6 E0 D6 E0 68 9C E0 9F E0 32 E0 50
0x81F75,13,14,E0 0F DE F8 DF F4 E0 BD 9C DF 82 E0 98
0x81F83,13,14,E0 53 DF 06 E0 53 DF 06 9C E0 99 DF 8B
0x81F91,11,12,DE C7 E0 62 E0 98 9C E0 96 E0 AC
0x81F9D,11,12,DE E5 9C E0 29 E0 A6 DF FA DF 41
0x81FA9,11,12,DF 36 9C E0 C0 DF 14 E0 62 E0 AC
0x81FB5,11,12,E0 14 E0 6B 9C DF 9E E0 BB E0 61
0x81FC1,11,12,E0 3A DF 3A E0 9B 9C DF 1C E0 CF
0x81FCD,11,12,E0 B0 E0 AD E0 9B 9C E0 C4 DF 9F
0x81FD9,11,12,E0 C1 E0 98 9C E0 49 E0 3B E0 AC
0x81FE5,11,12,E0 C4 DF D7 E0 9B 9C DF 25 DF 05
0x81FF1,11,12,E9 61 E9 90 E9 F3 9C E9 36 E9 04
0x81FFD,10,11,DE FC E0 A5 E0 E0 DF 08 E0 7F
0x82008,10,11,E0 29 DF D2 E0 BD E0 61 E0 34
0x82013,10,11,E0 9C E0 A6 E0 A6 E0 7E E0 39
0x8201E,10,11,E0 A2 E0 9D E0 A6 DF 9F DF 2D
0x82029,10,11,E0 CC E0 EF 9C DF 0A 9C DF 31
0x82034,10,11,E0 D5 E0 9C E0 F4 E0 35 E0 C1
0x8203F,9,10,DE E2 9C DF 97 E0 98 E0 AC
0x82049,9,10,DF 41 DF 3A 9C E0 3C E0 9D
0x82053,9,10,DF 6E E0 BA 9C E0 CC E0 AC
0x8205D,9,10,E0 36 E0 56 9C DE 3C E0 89
0x82067,9,10,E0 7E DE DD 9C E0 53 E0 AC
0x82071,9,10,E0 AC DF FA 9C E0 F1 DF F8
0x8207B,9,10,E0 AC E0 86 9C E0 99 DF 8B
0x82085,9,10,E0 AD E0 EE 9C DF A0 E0 94
0x8208F,9,10,E0 CC E0 90 9C DE C7 DF 33
0x82099,9,10,E0 CC E0 AC 9C DE CB DE C9
0x81E2F,8,9,DF 0C DF F8 E0 0B DF E8
0x820A3,8,9,E0 29 DF 3A E0 E0 DE F3
0x820AC,8,9,E0 39 E0 8F E0 98 E0 9C
0x820B5,8,9,E0 4D E0 E1 E0 B2 DF A0
0x820BE,8,9,E0 98 DF 9F DF D2 E0 61
0x820C7,8,9,E0 A1 DF 6E E0 BD DF 41
0x820D0,8,9,E0 A5 E0 6B E0 BC E0 82
0x820D9,7,8,DF 6E E0 BA 9C DE F3
0x820E1,6,7,DF 10 E0 C6 DE F3
0x820E8,6,7,DF 93 E0 6A DE F3
0x820EF,6,7,DF 9D E0 11 E0 A2
0x820F6,6,7,E0 36 DE CB E0 FA
0x820FD,6,7,E0 AD E0 5A DE CB
0x82104,4,5,DE C7 DF 33
0x82109,4,5,E0 0B E0 80
0x8210E,4,5,E0 A4 E0 A5
0x82113,4,5,E0 E0 DE CB
