category,pointer_offset,korean,target,expected_hex,actual_hex,status
system,0x780E8,처음부터,0x81E2F,DF 0C DF F8 E0 0B DF E8,DF 0C DF F8 E0 0B DF E8,exact
system,0x780EC,저장 데이터가 없습니다,0x81DE0,E0 CB E0 E1 9C E0 31 E0 BD DF E8 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1,E0 CB E0 E1 9C E0 31 E0 BD DF E8 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1,exact
system,0x780F0,메모리 카드에 남은 공간이 없습니다,0x78127,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 9F 9C E0 2C E0 BF 9C E0 C6 E0 F7 E0 BD 9C E0 F1 E0 5F E0 35 E0 C1,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 9F 9C E0 2C E0 BF 9C E0 C6 E0 F7 E0 BD 9C E0 F1 E0 5F E0 35 E0 C1,exact
system,0x780F4,그대로 계속하기,0x81F38,E0 29 E0 36 E0 D6 9C E0 9A E0 5C E0 C4 E0 AC,E0 29 E0 36 E0 D6 9C E0 9A E0 5C E0 C4 E0 AC,exact
system,0x780F8,데이터가 손상되었습니다,0x81DB1,E0 31 E0 BD DF E8 E0 C0 9C E0 5D E0 56 E0 2F DF FD E0 5F E0 35 E0 C1,E0 31 E0 BD DF E8 E0 C0 9C E0 5D E0 56 E0 2F DF FD E0 5F E0 35 E0 C1,exact
system,0x781B8,불러올 데이터를 선택하세요,0x822AD,E0 0A E0 25 DE D9 9C E0 31 E0 BD DF E8 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,E0 0A E0 25 DE D9 9C E0 31 E0 BD DF E8 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
system,0x781BC,메모리 카드 없이 계속하시겠습니까?,0x781FC,E0 8F E0 11 E0 98 9C DF E9 DF 41 9C E0 F1 E0 BD 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 8F E0 11 E0 98 9C DF E9 DF 41 9C E0 F1 E0 BD 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x781C0,메모리 카드를 넣고 확인 버튼을 누르세요,0x781D4,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C E0 33 E0 7F 9C DE C8 E0 6A 9C DF BB DE CC E0 A3 9C E0 34 E0 46 E0 5B E0 66,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C E0 33 E0 7F 9C DE C8 E0 6A 9C DF BB DE CC E0 A3 9C E0 34 E0 46 E0 5B E0 66,exact
system,0x781C4,어느 카드를 사용하시겠습니까?,0x8228E,E0 A0 E0 3A 9C DF E9 DF 41 E0 AB 9C E0 A5 E0 67 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 A0 E0 3A 9C DF E9 DF 41 E0 AB 9C E0 A5 E0 67 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x781C8,메모리 카드를 초기화하시겠습니까?,0x7814A,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x781CC,메모리 카드가 가득합니다. 계속하시겠습니까?,0x7809C,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 C0 DE 5B E0 86 E0 35 E0 C1 E0 60 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 C0 DE 5B E0 86 E0 35 E0 C1 E0 60 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x781D0,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,0x82A88,E0 02 E0 A2 9C DF B2 E0 C2 9C E0 31 E0 BD DF E8 E0 AB 9C E0 A2 E0 68 DF 87 E0 99 9C E0 C1 E0 AF 9C DF E9 DF 41 E0 AB 9C E0 33 E0 DF E0 5B E0 66,E0 02 E0 A2 9C DF B2 E0 C2 9C E0 31 E0 BD DF E8 E0 AB 9C E0 A2 E0 68 DF 87 E0 99 9C E0 C1 E0 AF 9C DF E9 DF 41 E0 AB 9C E0 33 E0 DF E0 5B E0 66,exact
system,0x78220,메모리 카드를 확인하고 있습니다,0x8226E,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DE C8 E0 6A E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DE C8 E0 6A E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,exact
system,0x78224,메모리 카드를 초기화하고 있습니다,0x7816D,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,exact
system,0x78228,데이터를 저장하고 있습니다,0x822C8,E0 31 E0 BD DF E8 E0 AB 9C E0 CB E0 E1 E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,E0 31 E0 BD DF E8 E0 AB 9C E0 CB E0 E1 E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,exact
system,0x7822C,데이터를 불러오고 있습니다,0x822E3,E0 31 E0 BD DF E8 E0 AB 9C E0 0A E0 25 E0 62 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,E0 31 E0 BD DF E8 E0 AB 9C E0 0A E0 25 E0 62 E0 7F 9C E0 CA E0 5F E0 35 E0 C1,exact
system,0x82AC4,저장하시겠습니까?,0x81E0A,E0 CB E0 E1 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 CB E0 E1 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x82AC8,전투 전 장비를 정비하시겠습니까?,0x7818F,E0 CC E0 EF 9C E0 CC 9C E0 E1 E0 53 E0 AB 9C E0 EB E0 53 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,E0 CC E0 EF 9C E0 CC 9C E0 E1 E0 53 E0 AB 9C E0 EB E0 53 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x82ACC,진행하시겠습니까?,0x81DF7,DF 10 E0 8B E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,DF 10 E0 8B E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,exact
system,0x82348,대상 변경,0x8205D,E0 36 E0 56 9C DE 3C E0 89,E0 36 E0 56 9C DE 3C E0 89,exact
system,0x8234C,"공격, 연결 열기",0x81F27,E0 C6 E0 40 DF E2 9C DF 1C DF 86 9C E0 B2 E0 AC,E0 C6 E0 40 DF E2 9C DF 1C DF 86 9C E0 B2 E0 AC,exact
system,0x82350,"행동 끝, 상태 확인",0x82334,E0 8B E0 94 9C DF 52 DF E2 9C E0 56 DF 08 9C DE C8 E0 6A,E0 8B E0 94 9C DF 52 DF E2 9C E0 56 DF 08 9C DE C8 E0 6A,exact
system,0x82354,스킬을 선택하세요,0x780CA,E0 39 DF 88 E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,E0 39 DF 88 E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
system,0x82358,돌아갑니다,0x82034,E0 D5 E0 9C E0 F4 E0 35 E0 C1,E0 D5 E0 9C E0 F4 E0 35 E0 C1,exact
system,0x8235C,{결정버튼}결정 {취소버튼}돌아가기,0x81F04,E7 02 DF 86 E0 EB 9C E7 03 E0 D5 E0 9C E0 C0 E0 AC,E7 02 DF 86 E0 EB 9C E7 03 E0 D5 E0 9C E0 C0 E0 AC,exact
