state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-DA8E4FAC9960CBEF_1,0x1BF1C0,56,48,48,0,32705,17,12,1
HASH-DA8E4FAC9960CBEF_1,0x1BF1D4,56,48,48,0,32705,17,12,1
HASH-DA8E4FAC9960CBEF_1,0x1BF1F4,80,48,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF208,80,48,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF228,92,48,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF23C,92,48,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF394,140,48,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1BF3A8,140,48,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1BF430,188,48,168,144,32705,1065,E0 51, 
HASH-DA8E4FAC9960CBEF_1,0x1BF444,188,48,168,144,32705,1065,E0 51, 
HASH-DA8E4FAC9960CBEF_1,0x1BF464,200,48,144,156,32706,1142,E0 9E, 
HASH-DA8E4FAC9960CBEF_1,0x1BF478,200,48,144,156,32706,1142,E0 9E, 
HASH-DA8E4FAC9960CBEF_1,0x1BF498,212,48,132,156,32705,1137,E0 99, 
HASH-DA8E4FAC9960CBEF_1,0x1BF4AC,212,48,132,156,32705,1137,E0 99, 
HASH-DA8E4FAC9960CBEF_1,0x1BF4CC,56,64,48,0,32706,18,13,2
HASH-DA8E4FAC9960CBEF_1,0x1BF4E0,56,64,48,0,32706,18,13,2
HASH-DA8E4FAC9960CBEF_1,0x1BF500,80,64,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF514,80,64,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF534,92,64,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF548,92,64,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF6A0,140,64,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1BF6B4,140,64,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1BF73C,56,80,48,0,32707,19,14,를
HASH-DA8E4FAC9960CBEF_1,0x1BF750,56,80,48,0,32707,19,14,를
HASH-DA8E4FAC9960CBEF_1,0x1BF770,80,80,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF784,80,80,12,12,32706,90,5B,
HASH-DA8E4FAC9960CBEF_1,0x1BF7A4,92,80,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF7B8,92,80,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1BF910,140,80,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1BF924,140,80,108,0,32704,36,25, 
HASH-DA8E4FAC9960CBEF_1,0x1F04A0,32,120,204,132,32706,994,E0 0A,
HASH-DA8E4FAC9960CBEF_1,0x1F04B4,32,120,204,132,32706,994,E0 0A,
HASH-DA8E4FAC9960CBEF_1,0x1F04D4,44,120,36,144,32705,1021,E0 25, 
HASH-DA8E4FAC9960CBEF_1,0x1F04E8,44,120,36,144,32705,1021,E0 25, 
HASH-DA8E4FAC9960CBEF_1,0x1F0508,56,120,48,96,32707,691,DE D9,
HASH-DA8E4FAC9960CBEF_1,0x1F051C,56,120,48,96,32707,691,DE D9,
HASH-DA8E4FAC9960CBEF_1,0x1F053C,68,120,204,12,32707,155,9C, 
HASH-DA8E4FAC9960CBEF_1,0x1F0550,68,120,204,12,32707,155,9C, 
HASH-DA8E4FAC9960CBEF_1,0x1F0570,74,120,72,144,32705,1033,E0 31, 
HASH-DA8E4FAC9960CBEF_1,0x1F0584,74,120,72,144,32705,1033,E0 31, 
HASH-DA8E4FAC9960CBEF_1,0x1F05A4,86,120,240,156,32705,1173,E0 BD, 
HASH-DA8E4FAC9960CBEF_1,0x1F05B8,86,120,240,156,32705,1173,E0 BD, 
HASH-DA8E4FAC9960CBEF_1,0x1F05D8,98,120,108,132,32705,961,DF E8,
HASH-DA8E4FAC9960CBEF_1,0x1F05EC,98,120,108,132,32705,961,DF E8,
HASH-DA8E4FAC9960CBEF_1,0x1F060C,110,120,180,156,32707,1155,E0 AB, 
HASH-DA8E4FAC9960CBEF_1,0x1F0620,110,120,180,156,32707,1155,E0 AB, 
HASH-DA8E4FAC9960CBEF_1,0x1F0640,122,120,204,12,32707,155,9C, 
HASH-DA8E4FAC9960CBEF_1,0x1F0654,122,120,204,12,32707,155,9C, 
HASH-DA8E4FAC9960CBEF_1,0x1F0674,128,120,192,144,32704,1072,E0 58, 
HASH-DA8E4FAC9960CBEF_1,0x1F0688,128,120,192,144,32704,1072,E0 58, 
HASH-DA8E4FAC9960CBEF_1,0x1F06A8,140,120,216,156,32706,1166,E0 B6, 
HASH-DA8E4FAC9960CBEF_1,0x1F06BC,140,120,216,156,32706,1166,E0 B6, 
HASH-DA8E4FAC9960CBEF_1,0x1F06DC,152,120,12,168,32704,1180,E0 C4, 
HASH-DA8E4FAC9960CBEF_1,0x1F06F0,152,120,12,168,32704,1180,E0 C4, 
HASH-DA8E4FAC9960CBEF_1,0x1F0710,164,120,192,144,32707,1075,E0 5B, 
HASH-DA8E4FAC9960CBEF_1,0x1F0724,164,120,192,144,32707,1075,E0 5B, 
HASH-DA8E4FAC9960CBEF_1,0x1F0744,176,120,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1F0758,176,120,228,144,32706,1086,E0 66, 
HASH-DA8E4FAC9960CBEF_1,0x1F0778,182,120,204,144,32707,1079,E0 5F, 
HASH-DA8E4FAC9960CBEF_1,0x1F078C,182,120,204,144,32707,1079,E0 5F, 
HASH-DA8E4FAC9960CBEF_1,0x1F07AC,194,120,84,144,32705,1037,E0 35,
HASH-DA8E4FAC9960CBEF_1,0x1F07C0,194,120,84,144,32705,1037,E0 35,
HASH-DA8E4FAC9960CBEF_1,0x1F07E0,206,120,0,168,32705,1177,E0 C1, 
HASH-DA8E4FAC9960CBEF_1,0x1F07F4,206,120,0,168,32705,1177,E0 C1, 
HASH-DA8E4FAC9960CBEF_2,0x1BF1C0,99,80,60,180,32707,1283,E1 2C,니
HASH-DA8E4FAC9960CBEF_2,0x1BF1D4,99,80,60,180,32707,1283,E1 2C,니
