state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-DA8E4FAC9960CBEF_1,48,56,212,7,1<90>     ,17 90 1086 36 1065 1142 1137,12 | 5B | E0 66 | 25 | E0 51 | E0 9E | E0 99
HASH-DA8E4FAC9960CBEF_1,64,56,140,4,2<90>  ,18 90 1086 36,13 | 5B | E0 66 | 25
HASH-DA8E4FAC9960CBEF_1,80,56,140,4,를<90>  ,19 90 1086 36,14 | 5B | E0 66 | 25
HASH-DA8E4FAC9960CBEF_1,120,32,206,17,<994> <691>   <961>        <1037> ,994 1021 691 155 1033 1173 961 1155 155 1072 1166 1180 1075 1086 1079 1037 1177,E0 0A | E0 25 | DE D9 | 9C | E0 31 | E0 BD | DF E8 | E0 AB | 9C | E0 58 | E0 B6 | E0 C4 | E0 5B | E0 66 | E0 5F | E0 35 | E0 C1
HASH-DA8E4FAC9960CBEF_2,48,140,212,4,    ,36 1065 1142 1137,25 | E0 51 | E0 9E | E0 99
HASH-DA8E4FAC9960CBEF_2,64,56,140,4,2<90>  ,18 90 1086 36,13 | 5B | E0 66 | 25
HASH-DA8E4FAC9960CBEF_2,80,56,141,9,를<90> 니르 평 원,19 90 1086 1283 1315 155 1629 36 1420,14 | 5B | E0 66 | E1 2C | E1 4C | 9C | E2 87 | 25 | E1 B5
HASH-DA8E4FAC9960CBEF_2,120,32,206,17,  <961>  <994>      <1037>  <1037> ,1033 1173 961 1155 155 994 1021 1082 1111 155 1186 1079 1037 1177 1079 1037 1177,E0 31 | E0 BD | DF E8 | E0 AB | 9C | E0 0A | E0 25 | E0 62 | E0 7F | 9C | E0 CA | E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-DA8E4FAC9960CBEF_3,65,110,176,7,카이저 글러브,1576 1481 1491 155 1265 1305 1366,E2 52 | E1 F2 | E1 FC | 9C | E1 1A | E1 42 | E1 7F
HASH-DA8E4FAC9960CBEF_3,82,20,32,2,아크,1393 1580,E1 9A | E2 56
HASH-DA8E4FAC9960CBEF_3,104,214,238,3,<1037>飲 ,1037 818 1055,E0 35 | DF 59 | E0 47
HASH-DA8E4FAC9960CBEF_3,115,82,82,1,！,1,02
HASH-DA8E4FAC9960CBEF_3,116,88,172,9,던지기 레벨 의1,1290 1509 1266 155 1307 1736 155 11 17,E1 33 | E2 0F | E1 1B | 9C | E1 44 | E2 F2 | 9C | 0C | 12
HASH-DA8E4FAC9960CBEF_3,120,134,206,8,   <1037>  <1037> ,155 1186 1079 1037 1177 1079 1037 1177,9C | E0 CA | E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-DA8E4FAC9960CBEF_3,129,82,226,14,<863>           <1037> ,863 1219 1180 1060 155 1188 1223 1155 155 1081 1130 1118 1037 1177,DF 86 | E0 EB | E0 C4 | E0 4C | 9C | E0 CC | E0 EF | E0 AB | 9C | E0 61 | E0 92 | E0 86 | E0 35 | E0 C1
HASH-DA8E4FAC9960CBEF_3,166,46,238,19,<900> <857>  <746> <990> <1028>      <982> <956>,900 1067 857 155 1140 746 155 990 1140 1028 1175 155 1208 1176 155 1186 982 1137 956,DF AB | E0 53 | DF 80 | 9C | E0 9C | DF 11 | 9C | E0 06 | E0 9C | E0 2C | E0 BF | 9C | E0 E0 | E0 C0 | 9C | E0 CA | DF FD | E0 99 | DF E3
HASH-DA8E4FAC9960CBEF_4,65,176,176,1,브,1366,E1 7F
