pointer_offset,source_offset,new_offset,encoded_bytes,korean
0x780E8,0x7809C,0x82036,8,처음부터
0x780EC,0x780A4,0x81FF9,22,저장 데이터가 없습니다
0x780F0,0x780B0,0x78100,34,메모리 카드에 남은 공간이 없습니다
0x780F4,0x780C0,0x780CA,15,그대로 계속하기
0x780F8,0x780CC,0x822AC,23,데이터가 손상되었습니다
0x781B8,0x78100,0x81FA8,26,불러올 데이터를 선택하세요
0x781BC,0x78110,0x781FC,35,메모리 카드 없이 계속하시겠습니까?
0x781C0,0x7812C,0x781D4,39,메모리 카드를 넣고 확인 버튼을 누르세요
0x781C4,0x7814C,0x81F6B,30,어느 카드를 사용하시겠습니까?
0x781C8,0x7815C,0x78123,34,메모리 카드를 초기화하시겠습니까?
0x781CC,0x78174,0x7809C,45,메모리 카드가 가득합니다. 계속하시겠습니까?
0x781D0,0x78194,0x82A88,48,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요
0x78220,0x781D4,0x7818A,31,메모리 카드를 확인하고 있습니다
0x78224,0x781E8,0x78146,33,메모리 카드를 초기화하고 있습니다
0x78228,0x78200,0x81FC3,26,데이터를 저장하고 있습니다
0x7822C,0x78210,0x81FDE,26,데이터를 불러오고 있습니다
0x8235C,0x822AC,0x81F8A,29,"확인: 결정, 뒤로: 돌아가기"
0x82AC0,0x82A88,0x781AA,10,예  아니요
0x82AC4,0x82A90,0x82010,18,저장하시겠습니까?
0x82AC8,0x82AA0,0x78168,33,전투 전 장비를 정비하시겠습니까?
0x82ACC,0x82AB0,0x82023,18,진행하시겠습니까?
