file,offset,japanese,encoded_bytes,raw_hex,classification
COMM.DAT,0xA78,た風た風,4,1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xA80,た風た風,4,1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xA88,た風た風,4,1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xA90,た風た風,4,1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xA9C,た風た風た風た風,8,1F C1 1F C1 1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xAAC,た風た風た風た風,8,1F C1 1F C1 1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xAC4,た風た風た風た風た風た風た風た風,16,1F C1 1F C1 1F C1 1F C1 1F C1 1F C1 1F C1 1F C1,unverified_direct_candidate
COMM.DAT,0xB96,て<N:≠:16>たナたナたナたナたナたナたナたナ<CTRL:EA>,19,21 04 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C EA,unverified_direct_candidate
COMM.DAT,0x2606,かかかやてナつごれ発<N:ｌ:5>サま,13,20 20 20 40 21 7C 29 79 32 76 5B 77 27,unverified_direct_candidate
COMM.DAT,0x2670,ウ4戻がち,5,71 15 D9 2A 4B,unverified_direct_candidate
COMM.DAT,0x459A,たナたナ力,5,1F 7C 1F 7C 61,unverified_direct_candidate
COMM.DAT,0x45BA,たナたナ力,5,1F 7C 1F 7C 61,unverified_direct_candidate
COMM.DAT,0x50B0,地聞備本カ目者前ニ 参メサオオ手<CTRL:F7>聞手私聞ャャマ撃人行思風。,31,90 D3 C5 92 BC AC 7E AE D1 E0 F2 A5 78 77 8F 8F 87 F7 88 87 85 88 D6 D6 64 B1 52 74 9F C1 37,unverified_direct_candidate
COMM.DAT,0x5F15,？僧き（め前王れ兵父ピトジ<N:＄:1>,14,3C 84 44 09 51 AE 5D 32 66 B7 72 5C 7F 05,unverified_direct_candidate
COMM.DAT,0x5F34,な行な行な行な行な行な行会男<N:７:11>ュ勝ロょ回で子聖員臣場な行,28,1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 7B B3 18 AB D5 A2 73 9E 30 96 CD 8D 8B 89 1D 74,unverified_direct_candidate
COMM.DAT,0x5F54,な行な行な行な行な行な行<N:７:11>ュ勝ロょ回で子聖員臣場聖員な行,28,1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 18 AB D5 A2 73 9E 30 96 CD 8D 8B 89 CD 8D 1D 74,unverified_direct_candidate
COMM.DAT,0x5F72,て<N:≠:16>な行な行な行な行な行な行勝ロょ回で子聖員臣場聖員<N:．:2>本な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 D5 A2 73 9E 30 96 CD 8D 8B 89 CD 8D 0F 92 1D 74,unverified_direct_candidate
COMM.DAT,0x5F92,て<N:≠:16>な行な行な行な行な行な行ょ回で子聖員臣場聖員<N:．:2>本め来な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 73 9E 30 96 CD 8D 8B 89 CD 8D 0F 92 51 9A 1D 74,unverified_direct_candidate
COMM.DAT,0x5FB2,て<N:≠:16>な行な行な行な行な行な行で子聖員臣場聖員<N:．:2>本で子石回な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 30 96 CD 8D 8B 89 CD 8D 0F 92 30 96 94 9E 1D 74,unverified_direct_candidate
COMM.DAT,0x5FD2,て<N:≠:16>な行な行な行な行な行な行聖員臣場聖員<N:．:2>本で子ょ回ャフな行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 CD 8D 8B 89 CD 8D 0F 92 30 96 73 9E D6 A6 1D 74,unverified_direct_candidate
COMM.DAT,0x5FF2,て<N:≠:16>な行な行な行な行な行な行臣場聖員<N:．:2>本で子ょ回勝ロ<N:７:11>ュな行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 8B 89 CD 8D 0F 92 30 96 73 9E D5 A2 18 AB 1D 74,unverified_direct_candidate
COMM.DAT,0x6012,て<N:≠:16>な行な行な行な行な行な行聖員<N:．:2>本で子ょ回勝ロ<N:７:11>ュ会男な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 CD 8D 0F 92 30 96 73 9E D5 A2 18 AB 7B B3 1D 74,unverified_direct_candidate
COMM.DAT,0x6032,て<N:≠:16>な行な行な行な行な行な行な行な行な行な行な行な行な行な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74,unverified_direct_candidate
COMM.DAT,0x6052,て<N:≠:16>な行な行な行な行な行な行な行な行な行な行な行な行な行な行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74,unverified_direct_candidate
COMM.DAT,0x6F66,て<N:≠:16>な行な行な行な行な行な行な行て,17,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 21,unverified_direct_candidate
COMM.DAT,0x6F86,て<N:≠:16>な行な行な行な行な行な行な行て,17,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 21,unverified_direct_candidate
COMM.DAT,0x6FA6,て<N:≠:16>な行な行な行な行な行な行な行て,17,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 21,unverified_direct_candidate
COMM.DAT,0x6FC6,て<N:≠:16>な行な行な行な行な行な行な行て,17,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 21,unverified_direct_candidate
COMM.DAT,0x6FE6,て<N:≠:16>な行な行な行な行な行な行な行て,17,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 21,unverified_direct_candidate
COMM.DAT,0x7006,て<N:≠:16>な行な行な行な行な行な行な行た1ぜはねよ0人役兵ナジ<CTRL:FF>ジ,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1F 12 A7 28 4C 3D 11 52 B6 66 7C 7F FF 7F,unverified_direct_candidate
COMM.DAT,0x7026,て<N:≠:16>な行な行な行な行な行な行な行な行な行な行な行な行<CTRL:FF>ジな行,30,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 FF 7F 1D 74,unverified_direct_candidate
COMM.DAT,0x7046,て<N:≠:16>な行な行な行な行な行な行な行な行な行な行な行な行な,27,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D,unverified_direct_candidate
COMM.DAT,0x7066,て<N:≠:16>な行な行な行な行な行な行な行,16,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74,unverified_direct_candidate
COMM.DAT,0x8804,様ポウ加ぶュっ話ュ所役見軍テ<CTRL:E6>,15,CB D7 71 AA CA AB A1 B0 AB C2 B6 A0 BA DB E6,unverified_direct_candidate
COMM.DAT,0x8F35,？僧き（め前王れ兵父ピトジ<N:＄:1>,14,3C 84 44 09 51 AE 5D 32 66 B7 72 5C 7F 05,unverified_direct_candidate
COMM.DAT,0xB237,れるる話,4,32 22 22 B0,unverified_direct_candidate
COMM.DAT,0xBFF2,て<N:≠:16>たナたナたナたナたナたナたナ,16,21 04 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C,unverified_direct_candidate
COMM.DAT,0xC012,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC026,ー（む4さう炎とモち,10,31 09 B5 15 3A 26 BF 36 5F 4B,unverified_direct_candidate
COMM.DAT,0xC032,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC048,ー（む4さう炎と,8,31 09 B5 15 3A 26 BF 36,unverified_direct_candidate
COMM.DAT,0xC052,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC06A,ー（む4さう,6,31 09 B5 15 3A 26,unverified_direct_candidate
COMM.DAT,0xC072,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC0B2,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC0C6,場’，4撃 だれ年ア,10,89 08 0D 15 B1 25 35 32 DA 42,unverified_direct_candidate
COMM.DAT,0xC0D2,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC0E8,場’，4撃 だれ,8,89 08 0D 15 B1 25 35 32,unverified_direct_candidate
COMM.DAT,0xC0F2,て<N:≠:16>しメしメしメしメしメしメしメ,16,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78,unverified_direct_candidate
COMM.DAT,0xC132,て<N:≠:16>しメしメしメしメしメしメしメしメしメしメしメしメしメ<CTRL:FF>ジ,30,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 FF 7F,unverified_direct_candidate
COMM.DAT,0xC162,しメしメしメしメしメしメ<CTRL:FF>ジ,14,1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 FF 7F,unverified_direct_candidate
COMM.DAT,0xC172,て<N:≠:16>しメしメしメしメしメしメしメしメしメしメしメしメしメ<CTRL:FF>ジ,30,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 FF 7F,unverified_direct_candidate
COMM.DAT,0xC192,て<N:≠:16>しメしメしメしメしメしメしメしメしメしメしメしメしメ<CTRL:FF>ジ,30,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 FF 7F,unverified_direct_candidate
COMM.DAT,0xC1B2,て<N:≠:16>しメしメしメしメしメしメしメしメしメしメしメしメしメ<CTRL:FF>ジ,30,21 04 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 1E 78 FF 7F,unverified_direct_candidate
COMM.DAT,0xD543,ヤ軍軍年お首て,8,BB BA BA DA 3B DE DD 21,unverified_direct_candidate
COMM.DAT,0xE282,て<N:≠:16>な行な行な行な行な行な行な行な行な行な行な行な行な行な行そ,31,21 04 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 1D 74 41,unverified_direct_candidate
COMM.DAT,0xE2E3,か今今今か ,6,20 C8 C8 C8 20 01,unverified_direct_candidate
COMM.DAT,0xE30B,か今今今か”,6,20 C8 C8 C8 20 03,unverified_direct_candidate
COMM.DAT,0xE563,か今今今かな,6,20 C8 C8 C8 20 1D,unverified_direct_candidate
COMM.DAT,0xE663,か今今今かは,6,20 C8 C8 C8 20 28,unverified_direct_candidate
COMM.DAT,0xE6A3,か今今今かす,6,20 C8 C8 C8 20 2B,unverified_direct_candidate
COMM.DAT,0xE7A3,か今今今かと,6,20 C8 C8 C8 20 36,unverified_direct_candidate
COMM.DAT,0xE7E3,か今今今かり,6,20 C8 C8 C8 20 39,unverified_direct_candidate
COMM.DAT,0xE8E3,か今今今かき,6,20 C8 C8 C8 20 44,unverified_direct_candidate
COMM.DAT,0xE923,か今今今かス,6,20 C8 C8 C8 20 47,unverified_direct_candidate
COMM.DAT,0xEA23,か今今今か人,6,20 C8 C8 C8 20 52,unverified_direct_candidate
COMM.DAT,0xEB6B,か今今今かシ,6,20 C8 C8 C8 20 60,unverified_direct_candidate
COMM.DAT,0xEBAB,か今今今か戦,6,20 C8 C8 C8 20 63,unverified_direct_candidate
COMM.DAT,0xECAB,か今今今か何,6,20 C8 C8 C8 20 6E,unverified_direct_candidate
COMM.DAT,0xF786,様風<N:＄:1>参ッ石ッ石そす,10,CB C1 05 A5 82 94 82 94 41 8C,unverified_direct_candidate
COMM.DAT,0x10042,たナたナたナたナたナたナたナたナ,16,1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C,unverified_direct_candidate
COMM.DAT,0x10082,老は命・地だどくこな勝 軍れリそ撃王出何場のちん0アたナへリ,30,A8 28 CC 2C 90 35 54 3E 2E 1D D5 25 BA 32 6B 41 B1 5D 56 6E 89 1C 4B 2D 11 42 1F 7C 5A 6B,unverified_direct_candidate
COMM.DAT,0x100C2,たナたナたナたナたナたナたナたナ,16,1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C,unverified_direct_candidate
COMM.DAT,0x100D4,俺聞加自目のバ3分<N:ﾉ:6>ばリたナたナたナたナたナたナたナたナたナたナたナたナたナたナたナたナパ,45,AD 88 AA A4 AC 1C AF 14 B2 10 58 6B 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C A3,unverified_direct_candidate
COMM.DAT,0x1028D,ジ命ニ敵時ニ 2 我あ,12,7F CC D1 BD CF D1 DF CF 13 25 BE 3F,unverified_direct_candidate
COMM.DAT,0x1090E,発<N:ク:12>敵場大ン地加’下が,11,76 80 BD 89 50 34 90 AA 08 70 2A,unverified_direct_candidate
COMM.DAT,0x10932,備発どで聞 フょ,8,C5 76 54 30 88 01 C9 73,unverified_direct_candidate
COMM.DAT,0x10F42,0つ達場聞,5,11 45 83 89 88,unverified_direct_candidate
COMM.DAT,0x10F9C,0び来0”0聞下決シもか0びへか<N:．:2>シ”気追,22,11 99 9A 11 03 11 88 70 9D 60 38 20 11 99 8A 20 0F 60 03 A9 DE 60,unverified_direct_candidate
COMM.DAT,0x11ABA,待か！シサめわ,7,98 20 02 60 77 51 43,unverified_direct_candidate
COMM.DAT,0x11AEE,ろ発ろ0ウっサ長か<N:X:20>下,11,55 76 55 11 71 75 77 D4 20 06 70,unverified_direct_candidate
COMM.DAT,0x1234A,時命敵時不,6,CF CC BD CF DD 71,unverified_direct_candidate
COMM.DAT,0x124FC,ふいむ兵そ,5,97 1B B5 66 41,unverified_direct_candidate
COMM.DAT,0x1265A,ろ発発発サ出ジ00（,10,55 76 76 76 77 56 7F 11 11 09,unverified_direct_candidate
COMM.DAT,0x12949,士 ど4シピ”）思にた員<N:＄:1>思大,15,68 01 54 15 60 72 03 0A 9F 23 1F 8D 05 9F 50,unverified_direct_candidate
COMM.DAT,0x13A41,サ入場見<N:＄:1>兵父っろラや<N:＄:1>か！ウるデサ,18,77 86 89 A0 05 66 B7 75 55 57 40 05 20 02 71 22 81 77,unverified_direct_candidate
COMM.DAT,0x14012,バ待と力らめ下か<N:ｌ:6>者,10,AF 98 36 61 33 51 70 20 0C 7E,unverified_direct_candidate
COMM.DAT,0x14C35,聞聞攻 メ,5,88 88 D0 25 78,unverified_direct_candidate
COMM.DAT,0x155AA,会ナリむむはヤる（世 言へむ<N:ﾉ:6>,15,7B 7C 6B B5 B5 28 BB 22 09 CE 01 91 5A B5 10,unverified_direct_candidate
COMM.DAT,0x15AD1,待ウっ待手’兵令<N:ъ:14>大兵0る地4,16,98 71 75 98 87 08 66 DE 52 1A 50 66 11 22 90 15,unverified_direct_candidate
COMM.DAT,0x15E7C,・サっ ろ,5,2C 77 75 01 55,unverified_direct_candidate
COMM.DAT,0x162EF,デび加時テ時<N:ク:12>,7,81 99 AA CF DB CF 80,unverified_direct_candidate
COMM.DAT,0x162FB,0出私待ぞサ倍風命いカ<CTRL:FF>,13,11 56 85 98 6A 77 DF 17 C1 CC 1B BC FF,unverified_direct_candidate
COMM.DAT,0x16364,聞せ炎兵サ0役のい<N:ク:12>！ー階思,15,88 59 BF 66 77 11 B6 1C 1B 80 02 31 DD B2 9F,unverified_direct_candidate
COMM.DAT,0x1659C,4ろ る聞（備,7,15 55 25 22 88 09 C5,unverified_direct_candidate
COMM.DAT,0x16758,んやデ気せ私そ！見炎場私<N:｣:11>0発ダ一3,18,2D 40 81 A9 59 85 41 02 A0 BF 89 85 65 11 76 67 8E 14,unverified_direct_candidate
COMM.DAT,0x172F7,大”ト我長で地0っ力4や。,13,50 03 95 BE D4 30 90 11 75 61 15 40 37,unverified_direct_candidate
COMM.DAT,0x173D8,地場ろモ’,5,90 89 55 5F 08,unverified_direct_candidate
COMM.DAT,0x173DE,言へ場し方見ロ下炎下,10,91 8A 89 1E C4 A0 A2 70 BF 70,unverified_direct_candidate
COMM.DAT,0x17D14,つれる支,5,29 32 22 DE 10,unverified_direct_candidate
COMM.DAT,0x18894,聞加）者山戻，<N:ク:12>”ナかウ力大 待’回デン発出サ出国<N:＄:1> ,27,88 AA 0A 7E 9B D9 0D 80 03 7C 20 71 61 50 01 98 08 9E 81 34 76 56 77 56 5E 05 01,unverified_direct_candidate
COMM.DAT,0x191BC,あ兵ササ出聞気は,8,3F 66 77 77 56 88 A9 28,unverified_direct_candidate
COMM.DAT,0x193AD,気<CTRL:F6>男参場私 0発ダ聞よれ来’サ,17,A9 F6 B3 A5 89 85 DF 65 11 76 67 88 3D 32 9A 08 77,unverified_direct_candidate
COMM.DAT,0x19AD0,ろ0めいふ,5,55 11 51 1B 97,unverified_direct_candidate
COMM.DAT,0x19D0F,び4デ！ご私,6,99 15 81 02 79 85,unverified_direct_candidate
COMM.DAT,0x1AA6F,聞霊め聞気聞へ 攻,9,88 4F 51 88 A9 D3 8A 01 D0,unverified_direct_candidate
COMM.DAT,0x1ABDC,王ダク3兵40”,8,5D 67 4E 14 66 15 11 03,unverified_direct_candidate
COMM.DAT,0x1AD3D,シダサジ兵ササえ101,11,60 67 77 7F 66 77 77 46 12 11 12,unverified_direct_candidate
COMM.DAT,0x1B6EE,シ出聞聞ージれら撃0発ササ人<N:≠:16>父 <N:ｌ:5>む地,20,60 56 88 88 31 7F 32 33 B1 11 76 77 77 52 04 B7 01 5B B5 90,unverified_direct_candidate
COMM.DAT,0x1C4DF,びび0”男き父,7,99 99 11 03 B3 44 B7,unverified_direct_candidate
COMM.DAT,0x1C63B,大ろ ジ下下,6,50 55 01 7F 70 70,unverified_direct_candidate
COMM.DAT,0x1C7CB,えてろ4！ 本員てバ,11,46 21 55 15 02 E0 33 92 8D 21 AF,unverified_direct_candidate
COMM.DAT,0x1C810,ウ前0気来,5,71 AE 11 A9 9A,unverified_direct_candidate
COMM.DAT,0x1C8A6,シダ発見,4,60 67 76 A0,unverified_direct_candidate
COMM.DAT,0x1CB2B,デ聞デ場,4,81 88 81 89,unverified_direct_candidate
COMM.DAT,0x1ECDF,かシき他,5,20 60 44 DE 08,unverified_direct_candidate
COMM.DAT,0x1ECF1,のシき他,5,1C 60 44 DE 08,unverified_direct_candidate
COMM.DAT,0x1F426,つ見入自正老’俺入石今待が決<CTRL:E5>げま参’トつっぜ自今老（俺じ撃たナたナたナたナたナたナたナたナたナたナたナたナたナたナたナたナパ,63,45 A0 86 A4 C7 A8 08 AD 86 94 C8 98 2A 9D E5 9C 27 A5 08 95 29 A1 A7 A4 C8 A8 09 AD 4A B1 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C 1F 7C A3,unverified_direct_candidate
COMM.DAT,0x1FA54,大ろおろナバ<N:ﾉ:6>の大ろ時”す,13,50 55 3B 55 7C AF 10 1C 50 55 CF 03 2B,unverified_direct_candidate
COMM.DAT,0x1FC85,ウ4兵出 を,6,71 15 66 56 01 2F,unverified_direct_candidate
COMM.DAT,0x203F6,兵出者役大<N:X:20>兵ダ大,9,66 56 7E B6 50 06 66 67 50,unverified_direct_candidate
COMM.DAT,0x2107A,命男動<N:ｌ:6>たが下ゃ,8,CC B3 DC 0C 1F 2A 70 48,unverified_direct_candidate
COMM.DAT,0x21424,ろのじ年地で<N:．:2>水炎,9,55 1C 4A DA 90 30 0F B8 BF,unverified_direct_candidate
COMM.DAT,0x21BB4,命ラろ兵出れわジ<CTRL:FF>ンタダ待,13,CC 57 55 66 56 32 43 7F FF 34 62 67 98,unverified_direct_candidate
COMM.DAT,0x22686,大参テ加加や,6,50 A5 DB AA AA 40,unverified_direct_candidate
COMM.DAT,0x22848,発バ様ぶで,5,76 AF CB CA 30,unverified_direct_candidate
COMM.DAT,0x22C6F,命動そ<N:ｃ:9>時攻伐近,10,CC DC 41 17 CF D0 DD CD DE 44,unverified_direct_candidate
COMM.DAT,0x22EC8,シラ発サか,5,60 57 76 77 20,unverified_direct_candidate
COMM.DAT,0x22F4C,わ画”ろ4風動シ,9,43 DE 7F 03 55 15 C1 DC 60,unverified_direct_candidate
COMM.DAT,0x2308F,サ出シ兵ラ気ろ<N:ク:12>”で,10,77 56 60 66 57 A9 55 80 03 30,unverified_direct_candidate
COMM.DAT,0x23989,こつ4力めごで兵（,9,2E 45 15 61 51 79 30 66 09,unverified_direct_candidate
COMM.DAT,0x243B5,後の風カ,4,C3 1C C1 BC,unverified_direct_candidate
COMM.DAT,0x249F2,下聖れにフシ,6,70 CD 32 23 A6 60,unverified_direct_candidate
COMM.DAT,0x24F06,パカた風,4,A3 BC 1F C1,unverified_direct_candidate
COMM.DAT,0x2515C,の風00 命会,7,1C C1 11 11 01 CC 7B,unverified_direct_candidate
COMM.DAT,0x2525F,命兵ろ0 で,6,CC 66 55 11 25 30,unverified_direct_candidate
COMM.DAT,0x25B16,下出へ地,4,70 56 5A 90,unverified_direct_candidate
COMM.DAT,0x26080,ろ備ャ命精や世炎動命聖トろ兵<N:ク:12>！,16,55 C5 D6 CC 4D 40 CE BF DC CC CD 5C 55 66 80 02,unverified_direct_candidate
COMM.DAT,0x261B8,ろ私すか命炎命000風待下”命ヤ聞・シ！待思’下！聞動<N:ﾉ:6>,28,55 85 2B 20 CC BF CC 11 11 11 C1 98 70 03 CC BB 88 2C 60 02 98 9F 08 70 02 88 DC 10,unverified_direct_candidate
COMM.DAT,0x26280,・兵兵0風0,7,DF 61 66 66 11 C1 11,unverified_direct_candidate
COMM.DAT,0x26D20,方1ジアき1方マ,8,C4 12 7F 42 44 12 C4 64,unverified_direct_candidate
COMM.DAT,0x26DDA,兵<N:リ:12>発っ出すで,7,66 6F 76 75 56 2B 30,unverified_direct_candidate
