source,file,bytes,scope,method,result
v33_patch_zip,1/S1011.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1013.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1021.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1022.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1023.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1031.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1041.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1051.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1061.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1071.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,1/S1072.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2011.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2012.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2013.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2021.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2031.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2033.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2041.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2042.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,21/S2045.DAT,305152,battle_tutorial_ui,24-row tutorial E2/E6 control-preservation readback,audited
v33_patch_zip,22/S2046.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
v33_patch_zip,22/S2051.DAT,305152,story_or_event_script,excluded by non-story audit request,excluded
