pointer_offset,source_offset,category,label,japanese,encoded_bytes,patched_pointer_changed,patched_payload_changed,residual_japanese,raw_hex,confirmed_text_pool
0x10,0x5AFBC,unclassified_pointer,,い<N:ク:12>！？<CTRL:E8>入ア、か<N:ク:12>”？方<CTRL:E3>戦、,16,False,False,True,1B 80 02 3C E8 86 42 24 20 80 03 3C C4 E3 63 24,False
0x18,0x800,unclassified_pointer,,ルょ出力タ霊下<N:｣:11>何ゃ<N:｣:11>力マかさか<N:｣:11>ピピ<N:リ:12>ピ）,22,False,False,True,53 73 56 61 62 4F 70 65 6E 48 65 61 64 20 3A 20 65 72 72 6F 72 0A,False
0xA88,0x1831C,unclassified_pointer,,ょ知<N:≠:16><N:ｌ:6>てか,6,False,False,True,73 C6 04 0C 21 20,False
0xA8C,0x182FC,unclassified_pointer,,。ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,37 CA 04 0C 21 20,False
0xA90,0x182FC,unclassified_pointer,,。ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,37 CA 04 0C 21 20,False
0xA94,0x182FC,unclassified_pointer,,。ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,37 CA 04 0C 21 20,False
0xA98,0x1830C,unclassified_pointer,,士ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,68 CA 04 0C 21 20,False
0xA9C,0x1830C,unclassified_pointer,,士ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,68 CA 04 0C 21 20,False
0xAA0,0x1830C,unclassified_pointer,,士ぶ<N:≠:16><N:ｌ:6>てか,6,False,False,True,68 CA 04 0C 21 20,False
0xAF8,0x3E1D0,unclassified_pointer,,てかや！ち戦<N:＄:1><N:ｌ:6>てはか！り戦<N:＄:1>’,16,False,False,True,21 20 40 02 4B 63 05 0C 21 28 20 02 39 63 05 08,False
0xB00,0x3E244,unclassified_pointer,,あ戦<N:＄:1>’,4,False,False,True,3F 63 05 08,False
0xB04,0x3E24C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！り戦<N:＄:1>’,12,False,False,True,D8 6A 05 0C 21 20 20 02 39 63 05 08,False
0xB08,0x3E25C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！り戦<N:＄:1>’！,13,False,False,True,D8 6A 05 0C 21 20 20 02 39 63 05 08 02,False
0xB0C,0x3E2CC,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB10,0x3E2E8,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB14,0x3E26C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！山,9,False,False,True,D8 6A 05 0C 21 20 20 02 9B,False
0xB1C,0x3E304,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！き,9,False,False,True,D8 6A 05 0C 21 20 20 02 44,False
0xB20,0x3E318,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！き,9,False,False,True,D8 6A 05 0C 21 20 20 02 44,False
0xB24,0x3E32C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！り戦<N:＄:1>’,12,False,False,True,D8 6A 05 0C 21 20 20 02 39 63 05 08,False
0xB28,0x3E33C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB2C,0x3E358,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！り戦<N:＄:1>’！,13,False,False,True,D8 6A 05 0C 21 20 20 02 39 63 05 08 02,False
0xB30,0x3E368,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！！,9,False,False,True,D8 6A 05 0C 21 20 20 02 02,False
0xB34,0x3E384,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！り戦<N:＄:1>’<N:≠:16>,13,False,False,True,D8 6A 05 0C 21 20 20 02 39 63 05 08 04,False
0xB38,0x3E394,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！<N:≠:16>,9,False,False,True,D8 6A 05 0C 21 20 20 02 04,False
0xB3C,0x3E3B0,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB40,0x3E3C8,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB44,0x3E3E8,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB48,0x3E400,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！<N:≠:16>,9,False,False,True,D8 6A 05 0C 21 20 20 02 04,False
0xB4C,0x3E420,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！,8,False,False,True,D8 6A 05 0C 21 20 20 02,False
0xB50,0x3E438,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！’,9,False,False,True,D8 6A 05 0C 21 20 20 02 08,False
0xB54,0x3E458,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！き,9,False,False,True,D8 6A 05 0C 21 20 20 02 44,False
0xB58,0x3E47C,unclassified_pointer,,ムぞ<N:＄:1><N:ｌ:6>てかか！き,9,False,False,True,D8 6A 05 0C 21 20 20 02 44,False
0xB64,0x3E4D8,unclassified_pointer,,てかや！男戦<N:＄:1><N:ｌ:6>てはか！<N:≠:16>,13,False,False,True,21 20 40 02 B3 63 05 0C 21 28 20 02 04,False
0xB6C,0x3FC64,unclassified_pointer,,か<N:ク:12>”？軍<CTRL:E2>戦、,8,False,False,True,20 80 03 3C BA E2 63 24,False
0xB70,0x3FC90,unclassified_pointer,,か<N:ク:12>！？軍<CTRL:E2>ア僧,8,False,False,True,20 80 02 3C BA E2 42 84,False
0xB74,0x3FCC8,unclassified_pointer,,か<N:ク:12>！？軍<CTRL:E2>ア僧,8,False,False,True,20 80 02 3C BA E2 42 84,False
0xB78,0x3FD00,unclassified_pointer,,か<N:ク:12>”？軍<CTRL:E2>戦僧,8,False,False,True,20 80 03 3C BA E2 63 84,False
0xB7C,0x3FD40,unclassified_pointer,,一ョ<N:＄:1><N:ｌ:6>,4,False,False,True,8E 69 05 0C,False
0xB84,0x3FDC0,unclassified_pointer,,地ョ<N:＄:1><N:ｌ:6>,4,False,False,True,90 69 05 0C,False
0xB88,0x40460,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？シ男僧、オチ<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 60 B3 84 24 8F 6C 05 0C,False
0xB8C,0x40478,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？自男僧、オチ<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C A4 B3 84 24 8F 6C 05 0C,False
0xB90,0x40490,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？<CTRL:E8>男僧、オチ<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C E8 B3 84 24 8F 6C 05 0C,False
0xB94,0x404A8,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？ゃベ僧、オチ<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 48 B4 84 24 8F 6C 05 0C,False
0xB98,0x404C0,unclassified_pointer,,ラみ<N:＄:1><N:ｌ:6>,4,False,False,True,57 6D 05 0C,False
0xB9C,0x404D0,unclassified_pointer,,軍み<N:＄:1><N:ｌ:6>,4,False,False,True,BA 6D 05 0C,False
0xBA4,0x404F0,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？<N:７:11>上僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 18 B9 84 24 FD 6D 05 0C,False
0xBA8,0x40508,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？ト上僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 5C B9 84 24 FD 6D 05 0C,False
0xBAC,0x40520,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？士軍僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 68 BA 84 24 FD 6D 05 0C,False
0xBB0,0x40538,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？げ軍僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 9C BA 84 24 FD 6D 05 0C,False
0xBB4,0x40550,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？<CTRL:E8>軍僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C E8 BA 84 24 FD 6D 05 0C,False
0xBB8,0x40568,unclassified_pointer,,<N:ｃ:12><N:ク:12><N:≠:16>？ンヤ僧、<CTRL:FD>み<N:＄:1><N:ｌ:6>,12,False,False,True,16 80 04 3C 34 BB 84 24 FD 6D 05 0C,False
