file,body_offset,row,row_offset,capacity,slot,disk_id,skip,encoded_bytes,text
21/S2045.DAT,0x4922E,1,0,5,9,0x8A,3,4,초핀
21/S2045.DAT,0x4922E,2,7,14,10,0x8B,12,19,전투 중 자기 차례에
21/S2045.DAT,0x4922E,3,23,12,11,0x8C,10,18,시작 버튼을 누르면
21/S2045.DAT,0x4922E,4,37,13,12,0x8D,11,15,상태를 확인해요
31/S3014.DAT,0x48252,1,0,5,9,0x8A,3,4,초핀
31/S3014.DAT,0x48252,2,7,14,10,0x8B,12,19,전투 중 자기 차례에
31/S3014.DAT,0x48252,3,23,12,11,0x8C,10,18,시작 버튼을 누르면
31/S3014.DAT,0x48252,4,37,13,12,0x8D,11,15,상태를 확인해요
5/S5013.DAT,0x4921A,1,0,5,9,0x8A,3,4,초핀
5/S5013.DAT,0x4921A,2,7,14,10,0x8B,12,19,전투 중 자기 차례에
5/S5013.DAT,0x4921A,3,23,12,11,0x8C,10,18,시작 버튼을 누르면
5/S5013.DAT,0x4921A,4,37,13,12,0x8D,11,15,상태를 확인해요
6/S6014.DAT,0x491C6,1,0,5,9,0x8A,3,4,초핀
6/S6014.DAT,0x491C6,2,7,14,10,0x8B,12,19,전투 중 자기 차례에
6/S6014.DAT,0x491C6,3,23,12,11,0x8C,10,18,시작 버튼을 누르면
6/S6014.DAT,0x491C6,4,37,13,12,0x8D,11,15,상태를 확인해요
7/S7012.DAT,0x48CBE,1,0,5,9,0x8A,3,4,초핀
7/S7012.DAT,0x48CBE,2,7,14,10,0x8B,12,19,전투 중 자기 차례에
7/S7012.DAT,0x48CBE,3,23,12,11,0x8C,10,18,시작 버튼을 누르면
7/S7012.DAT,0x48CBE,4,37,13,12,0x8D,11,15,상태를 확인해요
8/S8013.DAT,0x47CAC,1,0,5,6,0x87,3,4,초핀
8/S8013.DAT,0x47CAC,2,7,14,7,0x88,12,19,전투 중 자기 차례에
8/S8013.DAT,0x47CAC,3,23,12,8,0x89,10,18,시작 버튼을 누르면
8/S8013.DAT,0x47CAC,4,37,13,9,0x8A,11,15,상태를 확인해요
