table_key,table_label,index,pointer_offset,string_offset,encoded_length,slot_size,free_bytes_in_slot,japanese
equipment_name,장비 이름,0,0x804A4,0x80224,5,8,2,炎の守り
equipment_name,장비 이름,1,0x804A8,0x8022C,6,8,1,氷の守り
equipment_name,장비 이름,2,0x804AC,0x80234,8,12,3,アンチへモジー
equipment_name,장비 이름,3,0x804B0,0x80240,8,12,3,いやしのお守り
equipment_name,장비 이름,4,0x804B4,0x8024C,6,8,1,きぬのおび
equipment_name,장비 이름,5,0x804B8,0x80254,8,12,3,魔法のカート
equipment_name,장비 이름,6,0x804BC,0x80260,10,12,1,スリー<N:フ:11><N:リ:12>スカート
equipment_name,장비 이름,7,0x804C0,0x8026C,7,8,0,パワーアーム
equipment_name,장비 이름,8,0x804C4,0x80274,9,12,2,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ
equipment_name,장비 이름,9,0x804C8,0x80280,5,8,2,幻のこて
equipment_name,장비 이름,10,0x804CC,0x80288,5,8,2,サン<N:ク:12>ラス
equipment_name,장비 이름,11,0x804D0,0x80290,9,12,2,当て方の絵巻
equipment_name,장비 이름,12,0x804D4,0x8029C,10,12,1,ぶん投げの絵巻
equipment_name,장비 이름,13,0x804D8,0x802A8,6,8,1,神のこぶし
equipment_name,장비 이름,14,0x804DC,0x802B0,10,12,1,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー
equipment_name,장비 이름,15,0x804E0,0x802BC,6,8,1,<N:ネ:13>ック<N:リ:12>ス
equipment_name,장비 이름,16,0x804E4,0x802C4,4,8,3,じ<N:ぃ:20>す
equipment_name,장비 이름,17,0x804E8,0x802CC,7,8,0,長老のはちまき
equipment_name,장비 이름,18,0x804EC,0x802D4,10,12,1,しつ<N:ぷ:23>うのバンダナ
equipment_name,장비 이름,19,0x804F0,0x802E0,9,12,2,<N:ハ:12><N:｣:11>パーフーツ
equipment_name,장비 이름,20,0x804F4,0x802EC,8,12,3,まにあわせのくつ
equipment_name,장비 이름,21,0x804F8,0x802F8,6,8,1,フ<N:リ:12>ス<N:リ:12>ット
equipment_name,장비 이름,22,0x804FC,0x80300,6,8,1,フ<N:リ:12>ス<N:リ:12>ット
equipment_name,장비 이름,23,0x80500,0x80308,9,12,2,技のフ<N:リ:12>ス<N:リ:12>ット
equipment_name,장비 이름,24,0x80504,0x80314,8,12,3,女神のいのり
equipment_name,장비 이름,25,0x80508,0x80320,7,8,0,パワーリスト
equipment_name,장비 이름,26,0x8050C,0x80328,8,12,3,デ<N:ｲ:6>ールの<N:牙:4>
equipment_name,장비 이름,27,0x80510,0x80334,7,8,0,幻獣の<N:牙:4>
equipment_name,장비 이름,28,0x80514,0x8033C,9,12,2,しおかぜの調ベ
equipment_name,장비 이름,29,0x80518,0x80348,4,8,3,<N:貝:2>がら
equipment_name,장비 이름,30,0x8051C,0x80350,8,12,3,一角獣の角
equipment_name,장비 이름,31,0x80520,0x8035C,8,12,3,<N:悲:5>劇のめがね
equipment_name,장비 이름,32,0x80524,0x80368,2,4,1,鏡
equipment_name,장비 이름,33,0x80528,0x8036C,9,12,2,古代の<N:ｴ:24>びわ
equipment_name,장비 이름,34,0x8052C,0x80378,7,8,0,幻の<N:ｴ:24>びわ
equipment_name,장비 이름,35,0x80530,0x80380,9,12,2,魔導の<N:ｴ:24>びわ
equipment_name,장비 이름,36,0x80534,0x8038C,9,12,2,おもちゃの<N:ｴ:24>びわ
equipment_name,장비 이름,37,0x80538,0x80398,9,12,2,<N:毒:1>よけの<N:ｴ:24>びわ
equipment_name,장비 이름,38,0x8053C,0x803A4,5,8,2,幻の盾
equipment_name,장비 이름,39,0x80540,0x803AC,6,8,1,戦士の守り
equipment_name,장비 이름,40,0x80544,0x803B4,5,8,2,長老の盾
equipment_name,장비 이름,41,0x80548,0x803BC,6,8,1,強力な<N:杖:1>
equipment_name,장비 이름,42,0x8054C,0x803C4,9,12,2,じごくのスニー<N:フ:11>
equipment_name,장비 이름,43,0x80550,0x803D0,5,8,2,王様の像
equipment_name,장비 이름,44,0x80554,0x803D8,5,8,2,たかの像
equipment_name,장비 이름,45,0x80558,0x803E0,6,8,1,まがいの像
equipment_name,장비 이름,46,0x8055C,0x803E8,4,8,3,たん剣
