source file,offset,decoded japanese
1/S1011.DAT,0x47AD2,"・・ふう<CTRL:E4:3D>
何も起こらなかつたじゃない。"
1/S1013.DAT,0x47B2E,"アークデーモン 
今度こそ、◇聖柩◇の封印を
解く気のようだな
勇者よ!"
1/S1013.DAT,0x47BF8,"アークデーモン 
◇聖柩◇はサルバシオの滝に
置いてある。"
1/S1021.DAT,0x4785C,"アイテムがあります。
◇薬草◇をみつけました。"
1/S1021.DAT,0x47914,"アイテムがあります。
◇石◇をみつけました。"
1/S1021.DAT,0x47962,ここにあつた◇石◇はもうひろいました。
1/S1021.DAT,0x47A82,"アイテムがあります。
◇魔法のカート◇をみつけました。"
1/S1021.DAT,0x47DE4,◇カイザーグローフ◇をもらいました。
1/S1021.DAT,0x47E30,◇復活の薬◇をもらいました。
1/S1021.DAT,0x47E7A,◇回復果物◇をもらいました。
1/S1021.DAT,0x47EC8,◇聖水◇をもらいました。
1/S1022.DAT,0x47B24,◇しつぷうのバンダナ◇をもらいました。
1/S1022.DAT,0x47B70,◇復活の薬◇をもらいました。
1/S1022.DAT,0x47BB8,◇聖水◇をもらいました。
1/S1023.DAT,0x4790C,◇薬草◇をもらいました。
1/S1023.DAT,0x47952,"アークの母 
父さんの置き手紙があるけどよむかい？
<CTRL:E5:03>ベつにいい。
<CTRL:E5:03>よむ。"
1/S1023.DAT,0x47AB0,"<CTRL:E5:03>強くなるためには
<CTRL:E5:03>作戦をたてるには
<CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ"
1/S1023.DAT,0x47CB8,"森や洞窟などでは、思わぬところから
敵がきてやられるこがある。"
1/S1023.DAT,0x47D0E,自分のターンの時に、LRボタンを同時におしてフリーカーソルにして、
1/S1023.DAT,0x48036,"分れつするモンスターは、
HPが半分になるが、倒した時にもらえる経験値は変わらない。"
1/S1023.DAT,0x48358,◇ちからの実◇をもらいました。
1/S1023.DAT,0x4839E,◇パロの実◇をもらいました。
1/S1023.DAT,0x483E4,◇いのちの木の実◇をもらいました。
1/S1041.DAT,0x47F2E,"山の精霊 
すつとここで◇聖柩◇(せいひつ)を
封印(ふういん)する
炎を見守つて来ました。"
1/S1041.DAT,0x48226,"山の精霊 
◇聖柩◇の力を
手に入れるこによつて・・。"
1/S1061.DAT,0x479AA,"スメリアは
  和の力をもつて働く国。
ワイト家は和するための
  糸をつむぎおる家。"
1/S1061.DAT,0x47A12,"ワイト家の娘は
  強きささえとなるよこ糸。
世落ちる時、
  火のぼるいきおいのたて糸現れ、"
