state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-FAFC77B9D472EFCF_1,0x1BECAC,94,64,0,0,32704,0,01, 
HASH-FAFC77B9D472EFCF_1,0x1BECE0,106,64,0,0,32704,0,01, 
HASH-FAFC77B9D472EFCF_1,0x1BED14,118,64,60,168,32705,1197,E0 D5,돌
HASH-FAFC77B9D472EFCF_1,0x1BED48,130,64,144,156,32704,1140,E0 9C,아
HASH-FAFC77B9D472EFCF_1,0x1BED7C,142,64,156,168,32707,1231,E0 F7,간
HASH-FAFC77B9D472EFCF_1,0x1BEDB0,154,64,0,168,32705,1177,E0 C1,다
HASH-FAFC77B9D472EFCF_1,0x1BEE4C,140,64,108,0,32704,36,25, 
HASH-FAFC77B9D472EFCF_1,0x1BEEE8,188,64,96,144,32705,1041,E0 39,스
HASH-FAFC77B9D472EFCF_1,0x1BEF1C,200,64,96,156,32707,1127,E0 8F,메
HASH-FAFC77B9D472EFCF_1,0x1BEF50,212,64,132,156,32704,1136,E0 98,리
HASH-FAFC77B9D472EFCF_1,0x1BEF70,224,64,144,156,32704,1140,E0 9C,아
HASH-FAFC77B9D472EFCF_1,0x1BEF84,224,64,144,156,32704,1140,E0 9C,아
HASH-FAFC77B9D472EFCF_1,0x1BEFA4,56,80,48,0,32707,19,14,를
HASH-FAFC77B9D472EFCF_1,0x1BEFB8,56,80,48,0,32707,19,14,를
HASH-FAFC77B9D472EFCF_1,0x1BEFD8,80,80,132,60,32706,466,DD F7,
HASH-FAFC77B9D472EFCF_1,0x1BEFEC,80,80,132,60,32706,466,DD F7,
HASH-FAFC77B9D472EFCF_1,0x1BF144,140,80,108,0,32704,36,25, 
HASH-FAFC77B9D472EFCF_1,0x1BF158,140,80,108,0,32704,36,25, 
HASH-FAFC77B9D472EFCF_1,0x1BF1E0,188,80,168,144,32705,1065,E0 51,밀
HASH-FAFC77B9D472EFCF_1,0x1BF1F4,188,80,168,144,32705,1065,E0 51,밀
