pointer,original_target,known,original_links,current_pointer,current_text,unknown,error,status
0x78088,0x78078,True,"[[""card_label:1"", 0]]",0x80192878,카드 1,,,CATALOGED
0x7808C,0x78080,True,"[[""card_label:2"", 0]]",0x80192880,카드 2,,,CATALOGED
0x780E8,0x7809C,True,"[[""ui_pointer:780E8"", 0]]",0x8019AF3E,처음부터,,,CATALOGED
0x780EC,0x780A4,True,"[[""ui_pointer:780EC"", 0]]",0x8019C712,저장 데이터가 없습니다,,,CATALOGED
0x780F0,0x780B0,True,"[[""ui_pointer:780F0"", 0]]",0x8019B472,메모리 카드에 남은 공간이 없습니다,,,CATALOGED
0x780F4,0x780C0,True,"[[""ui_pointer:780F4"", 0]]",0x8019AB9D,그대로 계속하기,,,CATALOGED
0x780F8,0x780CC,True,"[[""ui_pointer:780F8"", 0]]",0x8019C7DE,데이터가 손상되었습니다,,,CATALOGED
0x781B8,0x78100,True,"[[""ui_pointer:781B8"", 0]]",0x8019B60E,불러올 데이터를 선택하세요,,,CATALOGED
0x781BC,0x78110,True,"[[""ui_pointer:781BC"", 0]]",0x8019C514,메모리 카드 없이 계속하시겠습니까?,,,CATALOGED
0x781C0,0x7812C,True,"[[""ui_pointer:781C0"", 0]]",0x8019B3D2,메모리 카드를 넣고 확인 버튼을 누르세요,,,CATALOGED
0x781C4,0x7814C,True,"[[""ui_pointer:781C4"", 0]]",0x8019B51C,어느 카드를 사용하시겠습니까?,,,CATALOGED
0x781C8,0x7815C,True,"[[""ui_pointer:781C8"", 0]]",0x8019C5B2,메모리 카드를 초기화하시겠습니까?,,,CATALOGED
0x781CC,0x78174,True,"[[""ui_pointer:781CC"", 0]]",0x8019B394,메모리 카드가 가득합니다. 계속하시겠습니까?,,,CATALOGED
0x781D0,0x78194,True,"[[""ui_pointer:781D0"", 0]]",0x8019B3B3,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,,,CATALOGED
0x78220,0x781D4,True,"[[""ui_pointer:78220"", 0]]",0x8019C5DD,메모리 카드를 확인하고 있습니다,,,CATALOGED
0x78224,0x781E8,True,"[[""ui_pointer:78224"", 0]]",0x8019C59C,메모리 카드를 초기화하고 있습니다,,,CATALOGED
0x78228,0x78200,True,"[[""ui_pointer:78228"", 0]]",0x8019B804,데이터를 저장하고 있습니다,,,CATALOGED
0x7822C,0x78210,True,"[[""ui_pointer:7822C"", 0]]",0x8019B7F4,데이터를 불러오고 있습니다,,,CATALOGED
0x804A4,0x80224,True,"[[""equipment_name:0"", 0]]",0x8019BAE2,불꽃의 수호,,,CATALOGED
0x804A8,0x8022C,True,"[[""equipment_name:1"", 0]]",0x8019BE35,얼음의 수호,,,CATALOGED
