canonical_row,confidence,current_choice_count,current_expanded_hex,current_korean,current_unknown,end,expansion_error,file,finding,id,offset,original_choice_count,original_hex,original_japanese,scope,sources,status
83,high,2,14dd5d07dd02a1e6010967040ca1dd3dddfba1dd790436a1de820ddd12d1e601e503dd3bdd3a09a1a1e601e503de820601,어머니: |아버지가 남긴 편지를 읽을래?|<CTRL:E503>괜찮아  |<CTRL:E503>읽는다,,293249,,1/S1023.DAT,,1/S1023.DAT:47952,293202,2,42314e1cdd0e25e601b73a2d1cdeca4487de0f2a3f2249543db5201b3ce601e503dd3545231b1b37e601e5033db537,"アークの母 
父さんの置き手紙があるけどよむかい？
<CTRL:E5:03>ベつにいい。
<CTRL:E5:03>よむ。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
86,high,4,e503dd282b043c3aa1a1a1e601e503dd644f0da18c3d3c3ae601e503dd3c2ba1dd81dd0124a14aa1a1a1a1a1e601e503018d,<CTRL:E503>강해지려면   |<CTRL:E503>작전을 세우려면|<CTRL:E503>피해 줄이기 1     |<CTRL:E503>다음,,293607,,1/S1023.DAT,,1/S1023.DAT:47AB0,293552,4,e503dd193e1d221f512328e601e503ddef632f1f21222328e601e503bd20336778317f2fdd68491d1b1f51232812e503dd2a1cddf7317f,"<CTRL:E5:03>強くなるためには
<CTRL:E5:03>作戦をたてるには
<CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
87,high,3,e503dd3c2ba1dd81dd0124a10ba1a1a1a1a1e601e5034fdd39a12c51a1e601e5031538a1de8224a1,<CTRL:E503>피해 줄이기 2     |<CTRL:E503>전투 요령 |<CTRL:E503>그만 읽기 ,,293720,,1/S1023.DAT,,1/S1023.DAT:47B30,293680,3,e503bd20336778317f2fdd68491d1b1f51232813e50326273e63262328e601e5033db51c40512237,"<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには
<CTRL:E5:03>よむのやめる。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
273,medium,4,e502defa4b23defadefadefa66e600e502285ddefadefadefa66e600e5028616200fa1e600e502a1302646a1e600,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>,,294279,,21/S2041.DAT,,21/S2041.DAT:47D5A,294234,4,e502ddd27d32de46de04dd3ab4e600e5028997de46de04dd3ab4e600e502da252a4d2de600e502383156752de6,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
275,medium,4,e502a13a4b2332defae600e502defa5a2c178032defae600e5029d1a305e17defa32defae600e502e93105defa17defae600,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294405,,21/S2041.DAT,,21/S2041.DAT:47DD4,294356,4,e5024a7e7d32b0dd18e600e502dd37448b27d2b0dd18e600e502a6676f4c27ddcbb0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
276,medium,4,e502234d4d1ca132defae600e502234bdd05175e8332defae600e502defa17defa5a32defae600e502e93105defa17defae600,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294494,,21/S2041.DAT,,21/S2041.DAT:47E2C,294444,4,e502325454514ab0dd18e600e502327ddd39274cd1b0dd18e600e502ddcc27dd8544b0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
277,medium,2,e502134d17dd21defa32defae600e502e93105defa17defae600,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294559,,21/S2041.DAT,,21/S2041.DAT:47E86,294534,2,e502285427dd68df4ab0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
278,high,3,e5030e142e14a1ded80da1dd893b2cdd03a1a1a1a1a1a1e601e503ddad01a1a1a1a1e601e503dd8904a1780601a1e601,<CTRL:E503>에어리어 맵을 열까요?      |<CTRL:E503>연다    |<CTRL:E503>열지 않는다 |,,294702,,21/S2041.DAT,,21/S2041.DAT:47EFE,294654,3,e503dd236b42de4fde83dd902f8f31dd55341e272b203ce601e5038f31dd55342b22e601e5038f31dd55341e1d1be601,"<CTRL:E5:03>エリアMAPをオープンしますか？
<CTRL:E5:03>オープンする
<CTRL:E5:03>オープンしない
",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
283,high,3,e5046ddf300349a9e601e50490dd4aa1283e03a17114212121a1a1a1e601e50409dd7ca1dd143d06a1dd370da1ddce8f21,<CTRL:E504>물론이야!|<CTRL:E504>조금 자신이 없어...   |<CTRL:E504>아직 싸우는 법을 몰라.,,295308,,21/S2041.DAT,,21/S2041.DAT:48160,295264,3,e504384b552d02e601e5044b732936a4dd272a1d1b1ddf61df6137e601e5042735631bc42a4320331d1b4037,"<CTRL:E5:04>もちろん!
<CTRL:E5:04>ちょつと自信がないな・・。
<CTRL:E5:04>まだ戦い方がわからないや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
290,high,3,e504dd282b0406a1dd29dd37a1a1a1e601e5044fdd39a12c51a1a1a1a1a1a1a1e601e5041538a1a1a1a1a1a1a1,<CTRL:E504>강해지는 방법   |<CTRL:E504>전투 요령       |<CTRL:E504>그만       ,,296117,,21/S2041.DAT,,21/S2041.DAT:48488,296072,3,e50454262b3258dd193e1d32221c3ce601e5046e20631b1cd1df01283f221c3ce601e50440297539241b1b4037,"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
