callsite,target,kind,same_call_word,scope
0x8012d2c0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d368,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d3d4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d400,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d41c,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d438,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d484,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d4a4,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d4c0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d50c,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d528,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d554,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d590,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d5fc,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8012d6e4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80155814,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156444,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015645c,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801564c8,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801564f0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015652c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015655c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156584,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801565b4,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801565e4,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156614,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156674,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801566d0,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156730,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156790,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801567c0,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801567f0,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156820,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156850,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801568a0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801568e0,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015691c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015695c,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801569f4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156ae0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156b10,0x8015642c,numeric_ui_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80156f90,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80157e8c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80157ec0,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80157ef0,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80157f14,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80157f2c,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015eaac,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
