row,file,offset,length,changed,original_hex,current_hex,status
1,1/S1011.DAT,0x478aa,35,True,38 26 14 11 11 11 da 38 de c1 46 dd 9b 49 21 1b 22 4d 4f 09 59 1b 32 1b 0a 1c 9b e6 01 60 8f 34 1c bf 37,e2 8f dd e7 a1 dd a5 dd 7e a1 dd 7f e9 2a e6 01 e9 93 dd 5c e9 bd a1 dd 13 dd 8c dd 41 dd 41 dd 41 a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
2,1/S1011.DAT,0x47902,23,True,1b 29 1f 1b e6 01 2e 1c bf 23 54 2d 1d dd e2 dd 94 2a df 61 df 61 3c,e2 8d dd 8c e9 bd a1 e9 bd dd 2f e9 2a dd 41 dd 41 dd 41 dd 03 a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
3,1/S1011.DAT,0x47954,21,True,41 2d 1d 2e 36 e6 01 a9 23 1e 21 1b 22 89 dd ac 4a 48 1d 1b 02,e2 8e e9 0d a1 de 57 a1 e9 01 e9 02 a1 e9 9a dd 51 de 6e a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
4,1/S1011.DAT,0x4799e,42,True,da 2a dd 92 49 32 58 e6 01 a3 6f 34 60 42 dd 17 20 33 01 b5 20 46 2a 9a 22 41 32 2a 43 2a 8e dd 9c 1c 3b 44 21 df 61 df 61 37,e2 8a ea 0c de 44 a1 dd 6c dd b0 e9 93 e9 9a a1 dd 17 e9 a4 e9 88 e6 01 dd 61 a1 e9 07 e9 4f e9 42 a1 e9 ac dd 41 dd 41 dd 41,OUTSIDE_TARGETED_OPCODE_PREDICATE
5,1/S1011.DAT,0x479fc,36,True,41 1e 21 e6 01 dd 2f 1c de 76 2f 7d 3e dd 70 1c de 01 36 1e 21 e6 01 5d 96 36 de 77 df 40 3a 59 33 32 22 37,e2 8c a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
6,1/S1011.DAT,0x47a54,12,True,41 2d 1d 1c 28 24 79 51 2d 35 43 37,15 dd 2a a1 dd 16 a1 de 7d 14 21 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
7,1/S1011.DAT,0x47ad2,26,True,df 61 df 61 97 dd 57 e4 3d e6 01 6e 38 dd c4 2e 33 1d 20 29 1f 4a 48 1d 1b 37,21 21 21 dd 8d 3d 21 a1 09 5f a1 6b 33 a1 6b 14 1e 04 a1 78 dd 2d dd bc 09 21,OUTSIDE_TARGETED_OPCODE_PREDICATE
8,1/S1011.DAT,0x47b3e,49,True,3d 3e 6a 01 60 8f 34 1c bf 2f dd 28 1e 1f 02 e6 01 14 11 11 11 da 38 1c d4 44 23 43 1f 39 e6 01 43 32 2f dd 0f 4a dd 5d 51 1e bf 2f df 61 df 61 37,e2 8b dd 5c e9 bd a1 dd 13 e9 bb a1 de c1 e9 16 e9 20 de 6e e6 01 de fa dd e7 a1 dd a5 dd 1b a1 dd 61 a1 e9 02 ea 2b a1 dd 13 dd 41 dd 41 dd 41 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
9,1/S1011.DAT,0x47bb2,5,True,df 61 df 61 3c,21 21 21 d1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
10,1/S1013.DAT,0x478ea,36,True,df 61 df 61 2b dd 35 21 28 e6 01 2e 1c 60 8f 34 1c bf 2f dd 28 1e 1f e6 01 3f 1c cf 20 33 dd 5b 27 29 1f 37,e2 8d e6 01 45 0d 95 a1 0c 47 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
11,1/S1013.DAT,0x47948,34,True,35 20 33 01 2e 1c bf 2f e6 01 38 26 8e dd 20 dd 28 2b 36 e6 01 dd 79 43 29 21 1e 27 26 a9 2a 2b 22 37,e2 8c e6 01 45 0d 95 a1 0c 47 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
12,1/S1013.DAT,0x479ac,10,True,e4 3d 4e 4e 53 df 61 df 61 37,dd 0c dd 0c dd 42 21 21 21 a1,OUTSIDE_TARGETED_OPCODE_PREDICATE
