offset,original,current,classification
0x78078,BC,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78079,31,38,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7807A,95,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7807B,12,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7807C,00,4A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78080,BC,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78081,31,38,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78082,95,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78083,13,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78084,00,0B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78090,12,DF,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78091,00,EA,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78094,13,DF,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78095,00,EB,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78098,14,DF,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78099,00,EC,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x7809C,28,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7809D,4A,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7809E,51,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7809F,20,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A0,33,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A1,00,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A2,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A3,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A4,DD,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A5,60,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A6,31,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A7,C9,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A8,3A,02,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780A9,32,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AA,21,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AB,1B,02,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AC,27,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AD,59,5B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AE,2D,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780AF,00,D9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B0,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B1,31,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B2,95,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B3,23,2D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B4,3F,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B5,44,60,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B6,2A,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B7,3F,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B8,39,A7,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780B9,27,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BA,59,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BB,2D,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BC,00,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BD,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BE,00,93,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780BF,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C0,2E,0A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C1,1C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C2,27,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C3,27,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C4,45,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C5,DD,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C6,F9,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C7,49,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780C8,22,47,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CA,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CB,00,90,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CC,81,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CD,31,88,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CE,62,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780CF,2A,BB,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D0,2E,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D1,43,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D2,32,FC,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D3,21,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D4,1B,33,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D5,27,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D6,2B,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D7,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x780D8,DF,1D,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x780D9,60,E9,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x780DA,00,AF,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x780E8,9C,3E,CATALOG_POINTER
0x780E9,28,AF,CATALOG_POINTER
0x780EC,A4,12,CATALOG_POINTER
0x780ED,28,C7,CATALOG_POINTER
0x780F0,B0,72,CATALOG_POINTER
0x780F1,28,B4,CATALOG_POINTER
0x780F4,C0,9D,CATALOG_POINTER
0x780F5,28,AB,CATALOG_POINTER
0x780F8,CC,DE,CATALOG_POINTER
0x780F9,28,C7,CATALOG_POINTER
0x780FC,D8,F1,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x780FD,28,B1,OUTSIDE_CATALOG_REVIEW_REQUIRED
0x78100,81,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78101,31,CB,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78102,62,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78103,2F,CD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78104,46,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78105,33,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78106,2D,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78107,30,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78108,3E,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78109,35,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810A,3A,77,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810B,1B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810C,00,2A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810D,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810E,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7810F,00,8C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78110,78,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78111,5F,F8,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78112,6B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78113,31,A4,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78114,BC,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78115,31,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78116,95,90,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78117,2F,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78118,45,88,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78119,20,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811A,43,BB,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811B,8C,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811C,23,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811D,DD,83,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811E,4D,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7811F,31,BE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78120,D8,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78121,2F,D9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78122,45,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78123,DD,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78124,F9,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78125,49,2D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78126,27,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78127,2B,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78128,20,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78129,3C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812A,00,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812B,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812C,78,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812D,5F,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812E,6B,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7812F,31,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78130,BC,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78131,31,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78132,95,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78133,2F,A4,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78134,DD,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78135,60,E1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78136,82,8D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78137,5C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78138,1E,BA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78139,21,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813A,E7,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813B,02,92,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813C,DD,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813D,A1,C5,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813E,62,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7813F,34,C3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78140,2F,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78141,3B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78142,1E,A3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78143,21,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78144,3E,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78145,35,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78146,3A,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78147,1B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78148,00,2D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814A,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814B,00,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814C,54,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814D,4B,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814E,33,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7814F,1C,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78150,BC,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78151,31,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78152,95,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78153,2F,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78154,45,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78155,20,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78156,1B,4D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78157,27,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78158,2B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78159,20,E3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815A,3C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815B,00,1B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815C,78,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815D,5F,FE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815E,6B,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7815F,31,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78160,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78161,31,93,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78162,95,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78163,2F,0A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78164,A6,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78165,DE,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78166,B4,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78167,31,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78168,64,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78169,82,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816A,5C,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816B,1E,47,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816C,27,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816D,2B,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816E,20,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7816F,3C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78170,00,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78171,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78172,00,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78173,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78174,78,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78175,5F,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78176,6B,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78177,31,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78178,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78179,31,4D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817A,95,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817B,2A,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817C,1B,E3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817D,29,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817E,75,1B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7817F,1B,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78180,30,FE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78181,2B,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78182,2A,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78183,DD,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78184,4D,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78185,31,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78186,D8,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78187,2F,04,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78188,45,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78189,DD,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818A,F9,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818B,49,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818C,27,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818D,2B,2D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818E,20,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7818F,3C,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78190,00,CA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78191,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78192,00,C8,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78193,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78194,1B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78195,33,CA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78196,1D,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78197,1B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78198,A6,C7,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819A,4E,7C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819B,65,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819C,53,4D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819D,2F,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819E,49,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x7819F,2B,CD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A0,20,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A1,24,7C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A2,DD,EA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A3,35,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A4,45,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A5,1C,93,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A6,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A7,31,0A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A8,95,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781A9,2F,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AA,DD,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AB,60,2C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AC,82,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AD,5C,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AE,1E,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781AF,21,47,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B0,3E,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B1,35,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B2,3A,51,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B3,1B,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B4,00,9E,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B5,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B6,00,99,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781B8,00,0E,CATALOG_POINTER
0x781B9,29,B6,CATALOG_POINTER
0x781BC,10,14,CATALOG_POINTER
0x781BD,29,C5,CATALOG_POINTER
0x781C0,2C,D2,CATALOG_POINTER
0x781C1,29,B3,CATALOG_POINTER
0x781C4,4C,1C,CATALOG_POINTER
0x781C5,29,B5,CATALOG_POINTER
0x781C8,5C,B2,CATALOG_POINTER
0x781C9,29,C5,CATALOG_POINTER
0x781CC,74,94,CATALOG_POINTER
0x781CD,29,B3,CATALOG_POINTER
0x781D0,94,B3,CATALOG_POINTER
0x781D1,29,B3,CATALOG_POINTER
0x781D4,78,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D5,5F,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D6,6B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D7,31,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D8,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D9,31,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DA,95,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DB,2F,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DC,6C,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DE,5D,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DF,82,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E0,4E,4D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E1,1E,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E2,21,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E3,1B,27,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E4,27,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E5,2B,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E6,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
