id,status,severity,original_japanese,current_korean,pointer_offset,finding,evidence,next_action,review_source
equipment_name:0,PASS_SEMANTIC,NONE,炎の守り,불꽃의 수호,0x804A4,Flame protection: meaning preserved.,Original COMM glyph sheet original_ui_02.png row19; pointer0x804A4; original raw=BF 1C DD 1E 39; actual current=불꽃의 수호,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:1,PASS_SEMANTIC,NONE,氷の守り,얼음의 수호,0x804A8,Ice protection: meaning preserved.,Original COMM glyph sheet original_ui_02.png row20; pointer0x804A8; original raw=DF 14 1C DD 1E 39; actual current=얼음의 수호,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:2,PASS_SEMANTIC,NONE,アンチへモジー,안티 헤모지,0x804AC,Anti-Hemoji: name and prevention concept preserved.,Original COMM glyph sheet original_ui_02.png row21; pointer0x804AC; original raw=42 34 6C DD 3B 5F 7F 31; actual current=안티 헤모지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:3,PASS_SEMANTIC,NONE,いやしのお守り,치유의 부적,0x804B0,Healing charm: meaning preserved.,Original COMM glyph sheet original_ui_02.png row22; pointer0x804B0; original raw=1B 40 1E 1C 3B DD 1E 39; actual current=치유의 부적,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:4,PASS_SEMANTIC,NONE,きぬのおび,비단 허리띠,0x804B4,Silk belt: meaning preserved.,Original COMM glyph sheet original_ui_02.png row23; pointer0x804B4; original raw=44 DD 4F 1C 3B 99; actual current=비단 허리띠,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:5,PASS_SEMANTIC,NONE,魔法のカート,마법 카드,0x804B8,"Magic card: meaning preserved. Final BC3195 matches native memory-card label exactly; source is CARD, not GUARD.",Original COMM glyph sheet original_ui_02.png row24; pointer0x804B8; original raw=DD 1B DD 51 1C BC 31 95; actual current=마법 카드,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:6,ACCEPTABLE_ABBREVIATION,NONE,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,0x804BC,"Sleepless card: functional translation as sleep-prevention card is acceptable. BC3195 is CARD, not GUARD.",Original COMM glyph sheet original_ui_02.png row25; pointer0x804BC; original raw=47 6B 31 DD 55 6F 47 BC 31 95; actual current=수면 방지 카드,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:7,PASS_SEMANTIC,NONE,パワーアーム,파워 암,0x804C0,Power arm: transliteration preserved.,Original COMM glyph sheet original_ui_02.png row26; pointer0x804C0; original raw=A3 DD A0 31 42 31 D8; actual current=파워 암,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:8,PASS_SEMANTIC,NONE,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,0x804C4,Kaiser glove: transliteration preserved.,Original COMM glyph sheet original_ui_02.png row27; pointer0x804C4; original raw=BC 65 DD C8 31 80 A2 31 C9; actual current=카이저 글러브,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:9,ACCEPTABLE_ABBREVIATION,NONE,幻のこて,환상의 장갑,0x804C8,Phantom gauntlet: glove is a close functional rendering of kote.,Original COMM glyph sheet original_ui_02.png row28; pointer0x804C8; original raw=DD F2 1C 2E 21; actual current=환상의 장갑,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:10,PASS_SEMANTIC,NONE,サン<N:ク:12>ラス,선글라스,0x804CC,Sunglasses: meaning preserved.,Original COMM glyph sheet original_ui_02.png row29; pointer0x804CC; original raw=77 34 80 57 47; actual current=선글라스,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:11,ACCEPTABLE_ABBREVIATION,NONE,当て方の絵巻,명중의 두루마리,0x804D0,Scroll of how to hit: accuracy-scroll abbreviation preserves meaning.,Original COMM glyph sheet original_ui_02.png row30; pointer0x804D0; original raw=DD 42 21 C4 1C DE F7 DE F6; actual current=명중의 두루마리,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:12,ACCEPTABLE_ABBREVIATION,NONE,ぶん投げの絵巻,투척의 두루마리,0x804D4,Hurling scroll: throwing-scroll abbreviation supported by its explicit enhanced-throw description.,Original COMM glyph sheet original_ui_02.png row31; pointer0x804D4; original raw=CA 2D DE 04 9C 1C DE F7 DE F6; actual current=투척의 두루마리,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:13,PASS_SEMANTIC,NONE,神のこぶし,신의 주먹,0x804D8,God's fist: meaning preserved.,Original COMM glyph sheet original_ui_02.png row32; pointer0x804D8; original raw=DD 2F 1C 2E CA 1E; actual current=신의 주먹,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:14,CONFIRMED_DEFECT,LOW,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,바이올렛 레이저,0x804DC,"Source Violet Racer (ree-saa) has unvoiced SA, but current Korean says Laser (reijeo).",Original COMM glyph sheet original_ui_03.png row33; pointer0x804DC; original raw=AF 65 8F 6F 82 5C 6F 31 77 31; actual current=바이올렛 레이저,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:15,PASS_SEMANTIC,NONE,<N:ネ:13>ック<N:リ:12>ス,목걸이,0x804E0,Necklace: meaning preserved.,Original COMM glyph sheet original_ui_03.png row34; pointer0x804E0; original raw=DD C6 82 4E 6F 47; actual current=목걸이,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:16,PASS_SEMANTIC,NONE,じ<N:ぃ:20>す,염주,0x804E4,Juzu: correctly translated as prayer beads.,Original COMM glyph sheet original_ui_03.png row35; pointer0x804E4; original raw=4A DE 20 8C; actual current=염주,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:17,PASS_SEMANTIC,NONE,長老のはちまき,장로의 머리띠,0x804E8,Elder's headband: meaning preserved.,Original COMM glyph sheet original_ui_03.png row36; pointer0x804E8; original raw=D4 A8 1C 28 4B 27 44; actual current=장로의 머리띠,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:18,PASS_SEMANTIC,NONE,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,0x804EC,Gale bandana: meaning preserved.,Original COMM glyph sheet original_ui_03.png row37; pointer0x804EC; original raw=1E 29 DE B5 26 1C AF 34 67 7C; actual current=질풍의 반다나,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:19,PASS_SEMANTIC,NONE,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 부츠,0x804F0,Hyper boots: transliteration preserved.,Original COMM glyph sheet original_ui_03.png row38; pointer0x804F0; original raw=DD A2 65 A3 31 C9 31 DF 01; actual current=하이퍼 부츠,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:20,PASS_SEMANTIC,NONE,まにあわせのくつ,임시 신발,0x804F4,Makeshift shoes: meaning preserved.,Original COMM glyph sheet original_ui_03.png row39; pointer0x804F4; original raw=27 23 3F 43 59 1C 3E 45; actual current=임시 신발,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
