state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-29EFD29BD74A5AE5_5,0x1BF1C0,20,82,144,192,32705,1393,E1 9A,아
HASH-29EFD29BD74A5AE5_5,0x1BF1D4,20,82,144,192,32705,1393,E1 9A,아
HASH-29EFD29BD74A5AE5_5,0x1BF1F4,32,82,204,216,32704,1580,E2 56,크
HASH-29EFD29BD74A5AE5_5,0x1BF208,32,82,204,216,32704,1580,E2 56,크
HASH-29EFD29BD74A5AE5_5,0x1BFEC0,46,166,48,24,32706,186,BB,ヤ
HASH-29EFD29BD74A5AE5_5,0x1BFED4,46,166,48,24,32706,186,BB,ヤ
HASH-29EFD29BD74A5AE5_5,0x1BFEF4,58,166,120,12,32707,127,80,뒤
HASH-29EFD29BD74A5AE5_5,0x1BFF08,58,166,120,12,32707,127,80,뒤
HASH-29EFD29BD74A5AE5_5,0x1BFF28,70,166,144,0,32707,51,34,사
HASH-29EFD29BD74A5AE5_5,0x1BFF3C,70,166,144,0,32707,51,34,사
HASH-29EFD29BD74A5AE5_5,0x1BFF5C,82,166,108,0,32704,36,25, 
HASH-29EFD29BD74A5AE5_5,0x1BFF70,82,166,108,0,32704,36,25, 
HASH-29EFD29BD74A5AE5_5,0x1BFF90,46,180,192,0,32704,64,41,そ
HASH-29EFD29BD74A5AE5_5,0x1BFFA4,46,180,192,0,32704,64,41,そ
HASH-29EFD29BD74A5AE5_5,0x1BFFC4,58,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1BFFD8,58,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1BFFF8,70,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1C000C,70,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1C002C,82,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1C0040,82,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1C0060,94,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1C0074,94,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1C0094,106,180,168,36,32706,310,DD 5B,始
HASH-29EFD29BD74A5AE5_5,0x1C00A8,106,180,168,36,32706,310,DD 5B,始
HASH-29EFD29BD74A5AE5_5,0x1C00C8,118,180,24,72,32705,513,DE 27,末
HASH-29EFD29BD74A5AE5_5,0x1C00DC,118,180,24,72,32705,513,DE 27,末
HASH-29EFD29BD74A5AE5_5,0x1C00FC,130,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1C0110,130,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1C0130,142,180,0,12,32704,84,55,ろ
HASH-29EFD29BD74A5AE5_5,0x1C0144,142,180,0,12,32704,84,55,ろ
HASH-29EFD29BD74A5AE5_5,0x1C0164,154,180,156,0,32706,54,37,。
HASH-29EFD29BD74A5AE5_5,0x1C0178,154,180,156,0,32706,54,37,。
HASH-29EFD29BD74A5AE5_5,0x1C0198,166,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1C01AC,166,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1C01CC,178,180,108,0,32706,38,27,ま
HASH-29EFD29BD74A5AE5_5,0x1C01E0,178,180,108,0,32706,38,27,ま
HASH-29EFD29BD74A5AE5_5,0x1C0200,190,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1C0214,190,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1C0234,202,180,72,60,32706,446,DD E3,案
HASH-29EFD29BD74A5AE5_5,0x1C0248,202,180,72,60,32706,446,DD E3,案
HASH-29EFD29BD74A5AE5_5,0x1C0268,214,180,36,48,32704,348,DD 81,内
HASH-29EFD29BD74A5AE5_5,0x1C027C,214,180,36,48,32704,348,DD 81,内
HASH-29EFD29BD74A5AE5_5,0x1C029C,226,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1C02B0,226,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1C02D0,238,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1C02E4,238,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1C0304,250,180,180,0,32707,63,40,량
HASH-29EFD29BD74A5AE5_5,0x1C0318,250,180,180,0,32707,63,40,량
HASH-29EFD29BD74A5AE5_5,0x1C0338,262,180,144,0,32705,49,32,れ
HASH-29EFD29BD74A5AE5_5,0x1C034C,262,180,144,0,32705,49,32,れ
HASH-29EFD29BD74A5AE5_5,0x1C036C,154,194,84,0,32707,31,20,계
HASH-29EFD29BD74A5AE5_5,0x1C0380,154,194,84,0,32707,31,20,계
HASH-29EFD29BD74A5AE5_5,0x1C03A0,166,194,156,0,32707,55,38,말
