state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-29EFD29BD74A5AE5_5,0x1BE9C0,20,82,144,192,32705,1393,E1 9A,아
HASH-29EFD29BD74A5AE5_5,0x1BE9D4,20,82,144,192,32705,1393,E1 9A,아
HASH-29EFD29BD74A5AE5_5,0x1BE9F4,32,82,204,216,32704,1580,E2 56,크
HASH-29EFD29BD74A5AE5_5,0x1BEA08,32,82,204,216,32704,1580,E2 56,크
HASH-29EFD29BD74A5AE5_5,0x1BF6C0,46,166,48,24,32706,186,BB,ヤ
HASH-29EFD29BD74A5AE5_5,0x1BF6D4,46,166,48,24,32706,186,BB,ヤ
HASH-29EFD29BD74A5AE5_5,0x1BF6F4,58,166,120,12,32707,127,80,뒤
HASH-29EFD29BD74A5AE5_5,0x1BF708,58,166,120,12,32707,127,80,뒤
HASH-29EFD29BD74A5AE5_5,0x1BF728,70,166,144,0,32707,51,34,사
HASH-29EFD29BD74A5AE5_5,0x1BF73C,70,166,144,0,32707,51,34,사
HASH-29EFD29BD74A5AE5_5,0x1BF75C,82,166,108,0,32704,36,25, 
HASH-29EFD29BD74A5AE5_5,0x1BF770,82,166,108,0,32704,36,25, 
HASH-29EFD29BD74A5AE5_5,0x1BF790,46,180,192,0,32704,64,41,そ
HASH-29EFD29BD74A5AE5_5,0x1BF7A4,46,180,192,0,32704,64,41,そ
HASH-29EFD29BD74A5AE5_5,0x1BF7C4,58,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1BF7D8,58,180,84,0,32705,29,1E,し
HASH-29EFD29BD74A5AE5_5,0x1BF7F8,70,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1BF80C,70,180,96,0,32704,32,21,て
HASH-29EFD29BD74A5AE5_5,0x1BF82C,82,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1BF840,82,180,192,24,32707,235,DD 10,森
HASH-29EFD29BD74A5AE5_5,0x1BF860,94,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1BF874,94,180,132,0,32707,47,30,도
HASH-29EFD29BD74A5AE5_5,0x1BF894,106,180,168,36,32706,310,DD 5B,始
