state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-29EFD29BD74A5AE5_5,82,20,32,2,아크,1393 1580,E1 9A | E2 56
HASH-29EFD29BD74A5AE5_5,89,108,150,5,작은 폭장,1487 1425 155 1631 207,E1 F8 | E1 BA | 9C | E2 89 | D0
HASH-29EFD29BD74A5AE5_5,104,106,202,9,진행하시겠습니까?,745 1123 1180 1081 1152 1079 1037 818 1055,DF 10 | E0 8B | E0 C4 | E0 61 | E0 A8 | E0 5F | E0 35 | DF 59 | E0 47
HASH-29EFD29BD74A5AE5_5,116,38,172,9,레벨 1 상승소1,1307 1736 155 17 155 1372 1385 1379 17,E1 44 | E2 F2 | 9C | 12 | 9C | E1 85 | E1 92 | E1 8C | 12
HASH-29EFD29BD74A5AE5_5,120,134,206,8, 있습니다습니다,155 1186 1079 1037 1177 1079 1037 1177,9C | E0 CA | E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-29EFD29BD74A5AE5_5,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-29EFD29BD74A5AE5_5,129,190,226,4,작합니다,1130 1118 1037 1177,E0 92 | E0 86 | E0 35 | E0 C1
HASH-29EFD29BD74A5AE5_5,166,46,82,4,ヤ뒤사 ,186 127 51 36,BB | 80 | 34 | 25
HASH-29EFD29BD74A5AE5_5,180,46,262,22,そして森도始末しろ니。다森.ま도案内して량れ,64 29 32 235 47 310 513 29 84 1037 54 1177 235 1080 38 47 446 348 29 32 63 49,41 | 1E | 21 | DD 10 | 30 | DD 5B | DE 27 | 1E | 55 | E0 35 | 37 | E0 C1 | DD 10 | E0 60 | 27 | 30 | DD E3 | DD 81 | 1E | 21 | 40 | 32
HASH-29EFD29BD74A5AE5_5,194,154,214,6,계말しれん。,31 55 29 49 44 54,20 | 38 | 1E | 32 | 2D | 37
HASH-29EFD29BD74A5AE5_6,82,20,32,2,아크,1393 1580,E1 9A | E2 56
HASH-29EFD29BD74A5AE5_6,104,106,202,9,진행하시겠습니까?,745 1123 1180 1081 1152 1079 1037 818 1055,DF 10 | E0 8B | E0 C4 | E0 61 | E0 A8 | E0 5F | E0 35 | DF 59 | E0 47
HASH-29EFD29BD74A5AE5_6,116,38,172,9,레벨 1 상승소1,1307 1736 155 17 155 1372 1385 1379 17,E1 44 | E2 F2 | 9C | 12 | 9C | E1 85 | E1 92 | E1 8C | 12
HASH-29EFD29BD74A5AE5_6,120,134,206,8, 있습니다습니다,155 1186 1079 1037 1177 1079 1037 1177,9C | E0 CA | E0 5F | E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-29EFD29BD74A5AE5_6,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-29EFD29BD74A5AE5_6,129,190,226,4,작합니다,1130 1118 1037 1177,E0 92 | E0 86 | E0 35 | E0 C1
HASH-29EFD29BD74A5AE5_6,149,88,130,5,마력의 때,1321 1310 1480 155 187,E1 52 | E1 47 | E1 F1 | 9C | BC
HASH-29EFD29BD74A5AE5_6,166,46,82,4,ヤ뒤사 ,186 127 51 36,BB | 80 | 34 | 25
HASH-29EFD29BD74A5AE5_6,180,46,262,22,そして森도始末しろ니。다森.ま도案内して량れ,64 29 32 235 47 310 513 29 84 1037 54 1177 235 1080 38 47 446 348 29 32 63 49,41 | 1E | 21 | DD 10 | 30 | DD 5B | DE 27 | 1E | 55 | E0 35 | 37 | E0 C1 | DD 10 | E0 60 | 27 | 30 | DD E3 | DD 81 | 1E | 21 | 40 | 32
HASH-29EFD29BD74A5AE5_6,194,154,214,6,계말しれん。,31 55 29 49 44 54,20 | 38 | 1E | 32 | 2D | 37
