enabled,file,payload_start,text,notes
1,1/S1041.DAT,0x479BA,아크|여기까지다,house portrait block 1 high-slot-only
1,1/S1041.DAT,0x47A56,아크|뒤는 혼자 가라,house portrait block 2 high-slot-only
1,1/S1041.DAT,0x47ABE,아크|마을로 가라,house portrait block 3 high-slot-only
1,1/S1041.DAT,0x47B12,아크|조심하거라,house portrait block 4 high-slot-only
1,1/S1041.DAT,0x47BB8,아크|마을로 돌아가라,house portrait block 5 high-slot-only
1,1/S1041.DAT,0x47E68,아크,house portrait short block high-slot-only
1,1/S1041.DAT,0x47EE2,아크|조심하라,house portrait block 6 high-slot-only
1,1/S1041.DAT,0x47F2E,아크|혼자 가라,house portrait block 7 high-slot-only
1,1/S1041.DAT,0x47F9E,아크|마을로 가라,house portrait block 8 high-slot-only
1,1/S1041.DAT,0x48058,아크|여기까지다,house portrait block 9 high-slot-only
1,1/S1041.DAT,0x480F6,아크|뒤는 혼자 가라,house portrait block 10 high-slot-only
1,1/S1041.DAT,0x48178,아크|조심하거라,house portrait block 11 high-slot-only
1,1/S1041.DAT,0x481D2,아크|마을로 돌아가라,house portrait block 12 high-slot-only
1,1/S1041.DAT,0x48226,아크|혼자 가라,house portrait block 13 high-slot-only
1,1/S1041.DAT,0x482BC,아크|조심하라,house portrait block 14 high-slot-only
1,1/S1041.DAT,0x48326,아크|마을로 가라,house portrait block 15 high-slot-only
1,1/S1041.DAT,0x48378,아크|여기까지다,house portrait block 16 high-slot-only
1,1/S1041.DAT,0x48428,아크|조심하거라,house portrait block 17 high-slot-only
1,1/S1041.DAT,0x48498,아크|마을로 가라,house portrait block 18 high-slot-only
