enabled,file,payload_start,text,notes
1,1/S1021.DAT,0x479AA,아크|조심하라,remaining house/snow control_0000 block 1 high-slot-only
1,1/S1021.DAT,0x47B34,아크|마을로 가라,remaining house/snow control_0000 block 2 high-slot-only
1,1/S1021.DAT,0x47BD8,아크,remaining house/snow control_0000 block 3 high-slot-only
1,1/S1021.DAT,0x47D46,아크|돌아가라,remaining house/snow control_0000 block 4 high-slot-only
1,1/S1021.DAT,0x48A4E,아크|조심하라,remaining house/snow control_0000 block 5 high-slot-only
1,1/S1021.DAT,0x48AC6,아크|마을로 가라,remaining house/snow control_0000 block 6 high-slot-only
1,1/S1021.DAT,0x48B14,아크|혼자 가라,remaining house/snow control_0000 block 7 high-slot-only
1,1/S1021.DAT,0x48C34,아크|여기까지다,remaining house/snow control_0000 block 8 high-slot-only
1,1/S1021.DAT,0x48C88,아크|가라,remaining house/snow control_0000 block 9 high-slot-only
1,1/S1021.DAT,0x48CF8,아크|조심하라,remaining house/snow control_0000 block 10 high-slot-only
