source file,offset,japanese,korean
1/S1023.DAT,0x47B30,"<CTRL:E5>""敵からダメージを受けないためには2<CTRL:E5>""うまく戦うには
<CTRL:E5>""よむのやめる。","<CTRL:E5>""피해 줄이기 2<CTRL:E5>""전투 요령
<CTRL:E5>""그만 읽기"
1/S1031.DAT,0x4782A,る<CTRL:00>の<CTRL:00>%,
1/S1032.DAT,0x4782E,る<CTRL:00>し<CTRL:00>%,
1/S1041.DAT,0x4782E,る<CTRL:00>し<CTRL:00>%,
1/S1041.DAT,0x485CC,"$<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>'<CTRL:00>地<CTRL:FF>""<CTRL:00>%<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
1/S1041.DAT,0x48600,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
1/S1041.DAT,0x48616,"！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
1/S1041.DAT,0x4864A,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
1/S1041.DAT,0x48660,"！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
1/S1041.DAT,0x48694,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",
