source file,offset,japanese,korean,review_note
6/S6013.DAT,0x4813E,"何じゃ？","뭐냐?",고겐 계열의 짧은 노인 말투를 따름
6/S6054.DAT,0x46088,"ラマダ僧 \nこれはこれは。\nトールマスターバスターのかたがた。","라마다 승: 이런, 이런. 돌 마스터 버스터 분들이시군요.",돌 마스터 버스터 기존 표기를 따름
6/S6054.DAT,0x46136,"ラマダ僧 \nこれはこれは。\nフリージーバスターのかたがた。","라마다 승: 이런, 이런. 프리지 버스터 분들이시군요.",프리지 버스터 기존 표기를 따름
6/S6054.DAT,0x4618A,"ラマダ僧 \nこれはこれは。\n野生へモジーバスターのかたがた。","라마다 승: 이런, 이런. 야생 헤모지 버스터 분들이시군요.",야생 헤모지 버스터 기존 표기를 따름
6/S6054.DAT,0x46290,"ラマダ僧 \nこれはこれは。\n道化師バスターのかたがた。","라마다 승: 이런, 이런. 광대 버스터 분들이시군요.",광대 버스터 기존 표기를 따름
7/S7011.DAT,0x48158,"わかつてるんだか\nわかつてないんだか\n区別がつかない所が\n困るのよね。","알고 있는 건지 모르는 건지 구별이 안 가는 게 곤란하단 말이지.",구어체 유지
7/S7012.DAT,0x47D90,"チョピン \n何が知りたいですか？","초핀: 무엇을 알고 싶으십니까?",초핀의 기존 경어체를 따름
7/S7031.DAT,0x47928,"ロクトール \nポニさんはよくがんばつてくれましたのでこれもさしあげましょう。","록토르: 포니 님께서 정말 열심히 해 주셨으니 이것도 드리겠습니다.",같은 대회 구간의 포니 님 표기를 따름
7/S7032.DAT,0x4786E,"ロクトール \nお集まりのみなさん。","록토르: 모이신 여러분.",행 자체가 발표 도입부인 점을 보존
8/S8011.DAT,0x4801A,"男 \nスメリアのアークさんですね。","남자: 스메리아의 아크 씨시군요.",일반 화자의 기존 아크 씨 표기를 따름
8/S8011.DAT,0x4809E,"男 \n私は、この国に古くから住んで\nすつと水の精霊様を守つている\nサリュ族の者です。","남자: 저는 이 나라에 오래전부터 살면서 줄곧 물의 정령님을 지키고 있는 사류족 사람입니다.",사류족 기존 표기를 따름
8/S8012.DAT,0x48340,"あの城にはびこつている\nヤツ等を一掃するチャンスだ。\n俺はのつたぜ！","저 성에 들끓는 녀석들을 일소할 기회야. 난 끼겠어!",乗る의 동참 의미와 남성 구어체를 보존
B/SB071.DAT,0x47E54,"先に進めば\nもう戻れなくなるかもしれない。","앞으로 나아가면 더는 돌아올 수 없게 될지도 모른다.",경고문 의미를 보존
B/SB072.DAT,0x480F6,"兵士 \nありました。","병사: 찾았습니다.",병사의 기존 경어체를 따름
B/SB072.DAT,0x48134,"大臣 \nよし、こいつらを引き立てろ！","대신: 좋다, 이놈들을 끌고 가라!",연행 명령의 의미를 보존
B/SB072.DAT,0x482CC,"大臣 \n勇者とて、母親の命は大切だろう。","대신: 용사라고 해도 어머니의 목숨은 소중하겠지.",용사 기존 표기를 따름
B/SB072.DAT,0x48320,"大臣 \nはつはつはつはつはつ。","대신: 하하하하하.",웃음소리를 자연스러운 한글로 옮김
D/SD031.DAT,0x48A5A,"石を手に入れた！","돌을 손에 넣었다!",石의 구속 용어 돌을 따름
D/SD031.DAT,0x48AA4,"石を手に入れた！","돌을 손에 넣었다!",동일 원문 번역 통일
