glyph index,candidate from index + 32,atlas row,atlas column,bitplane,classification,decision,basis,bitmap evidence
0, ,0,0,0,ASCII rule valid (blank space), ,"original COMM.IMG 12x12 bitplane is blank, matching ASCII space",01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
1,!,0,0,1,ASCII rule valid,!,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
2,"""",0,0,2,ASCII rule valid,"""",original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
3,#,0,0,3,ASCII rule valid,#,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
4,$,0,1,0,ASCII rule valid,$,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
5,%,0,1,1,ASCII rule valid,%,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
6,&,0,1,2,ASCII rule valid,&,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
7,',0,1,3,ASCII rule valid,',original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
8,(,0,2,0,ASCII rule valid,(,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
9,),0,2,1,ASCII rule valid,),original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
10,*,0,2,2,ASCII rule valid,*,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
11,+,0,2,3,ASCII rule valid,+,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
12,",",0,3,0,ASCII rule valid,",",original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
13,-,0,3,1,ASCII rule valid,-,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
14,.,0,3,2,ASCII rule valid,.,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
15,/,0,3,3,ASCII rule valid,/,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
16,0,0,4,0,ASCII rule valid,0,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
17,1,0,4,1,ASCII rule valid,1,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
18,2,0,4,2,ASCII rule valid,2,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
