file,offset,mode,slot,disk_id,skip,bytes,capacity,korean
1/S1013.DAT,0x479AC,inline,,,,9,10,쿠쿠루...
1/S1021.DAT,0x47D8A,inline,,,,33,36,어머니: 아크... 이것도 가져가렴.
1/S1021.DAT,0x47F0E,inline,,,,16,21,어머니: 아크...
1/S1021.DAT,0x48250,inline,,,,33,35,어머니: 네 아버지는... 죽었단다.
1/S1021.DAT,0x48360,inline,,,,44,50,괴물이 아버지를 죽였다면 내가 원수를 갚겠어!
1/S1021.DAT,0x48420,inline,,,,16,17,어머니: 아크...
1/S1021.DAT,0x48496,inline,,,,7,9,엄마...
1/S1022.DAT,0x478DC,inline,,,,12,16,어머니: ...
1/S1022.DAT,0x47A62,inline,,,,44,46,어머니: 몸조심하렴. 힘들면 언제든 돌아오고.
1/S1022.DAT,0x47ACA,inline,,,,33,36,어머니: 아크... 이것도 가져가렴.
1/S1022.DAT,0x47C68,inline,,,,16,17,어머니: 아크...
1/S1041.DAT,0x47CD2,inline,,,,7,10,제길...
1/S1072.DAT,0x47996,inline,,,,20,23,촌장: 돌아왔구나...
1/S1072.DAT,0x47C24,inline,,,,49,55,"그날 밤, 시온산에는 십 년 만의 눈보라가 몰아쳤다."
21/S2011.DAT,0x47AF6,inline,,,,16,16,이봐! 기다려 줘!
21/S2013.DAT,0x47B6A,inline,,,,20,21,나는... 야마모토다!!
21/S2013.DAT,0x47C00,inline,,,,17,19,"어엇, 어어어어..."
21/S2014.DAT,0x47AC0,inline,,,,9,10,뭘까...?
21/S2014.DAT,0x47B4E,inline,,,,19,19,죄인? 눈이 고왔어.
21/S2022.DAT,0x47A1E,inline,,,,26,28,강행 돌파할 수밖에 없잖아!
21/S2042.DAT,0x47FF0,inline,,,,43,53,초핀: 더 도와드릴까요?|괜찮아|하나만 더
21/S2042.DAT,0x4811E,inline,,,,30,45,|강해지는 법|전투 요령|그만
21/S2045.DAT,0x4758E,inline,,,,18,28,|출발|그만|정보
21/S2045.DAT,0x47914,inline,,,,18,28,|출발|그만|정보
21/S2045.DAT,0x47C32,inline,,,,20,32,|출발|그만|정보 2
21/S2045.DAT,0x47CDA,inline,,,,25,31,|출발|그만|유용한 정보
21/S2045.DAT,0x47F1C,inline,,,,32,48,|아이템 정보|방향과 반격|그만
21/S2045.DAT,0x4834A,inline,,,,32,37,|전투 요령 2|유용한 정보|그만
21/S2045.DAT,0x483B6,inline,,,,38,54,|몬스터 상성|경험치|성장 조언|그만
21/S2045.DAT,0x48972,inline,,,,51,58,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
21/S2045.DAT,0x48F94,inline,,,,37,42,|포코의 악기|투기장|키토우올|그만
21/S2045.DAT,0x49006,inline,,,,46,47,|스톤 서클|링 위치 설정|소환수|다음 페이지
21/S2045.DAT,0x490F0,inline,,,,52,56,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만
22/S2046.DAT,0x48146,inline,,,,28,32,호오... 이런... 그거 좋구먼!
22/S2046.DAT,0x483A0,inline,,,,27,27,"아이고, 실례를 범했습니다!!"
22/S2046.DAT,0x4844A,inline,,,,17,17,"이야, 큰일이구먼!"
22/S2046.DAT,0x48686,inline,,,,27,29,"영감, 말해 주게, 말해 주게."
22/S2046.DAT,0x48BCE,inline,,,,4,6,어?
22/S2046.DAT,0x48D82,inline,,,,4,5,뭐?
22/S2046.DAT,0x49102,inline,,,,12,15,|출발|그만
22/S2047.DAT,0x48146,inline,,,,6,6,고마워
22/S2047.DAT,0x4818E,inline,,,,21,22,"흥, 정 없는 놈들이군."
22/S2052.DAT,0x479BC,inline,,,,34,39,포코: 그 일은 제가... 그러니까...
22/S2055.DAT,0x4794A,inline,,,,3,3,예.
22/S2055.DAT,0x480B0,inline,,,,11,12,감사합니다.
22/S2056.DAT,0x479F0,inline,,,,3,3,네.
22/S205C.DAT,0x47F32,inline,,,,50,50,수메리아 왕: 형에게... 한마디 사과하고 싶었다....
23/S2071.DAT,0x47BDC,inline,,,,5,8,큭...
23/S2081.DAT,0x47A2E,inline,,,,38,39,거울: 그자가 용자라면 대비는 있겠지?
31/S3013.DAT,0x47FF6,inline,,,,38,47,|물론이야|조금 더 있을래|더 알려 줘
31/S3013.DAT,0x48236,inline,,,,41,57,|강해지는 법|전투 요령|다른 정보|그만
31/S3014.DAT,0x4658E,inline,,,,18,28,|출발|그만|정보
31/S3014.DAT,0x4691A,inline,,,,18,28,|출발|그만|정보
31/S3014.DAT,0x46C48,inline,,,,20,32,|출발|그만|정보 2
31/S3014.DAT,0x46CF0,inline,,,,25,31,|출발|그만|유용한 정보
31/S3014.DAT,0x46F3C,inline,,,,32,48,|아이템 정보|방향과 반격|그만
31/S3014.DAT,0x4736E,inline,,,,32,37,|전투 요령 2|유용한 정보|그만
31/S3014.DAT,0x473DA,inline,,,,38,54,|몬스터 상성|경험치|성장 조언|그만
31/S3014.DAT,0x47996,inline,,,,51,58,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
31/S3014.DAT,0x47FB8,inline,,,,37,42,|포코의 악기|투기장|키토우올|그만
31/S3014.DAT,0x4802A,inline,,,,46,47,|스톤 서클|링 위치 설정|소환수|다음 페이지
31/S3014.DAT,0x48114,inline,,,,52,56,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만
31/S3022.DAT,0x48AE4,inline,,,,13,13,그렇군. 가자.
31/S3023.DAT,0x47D22,inline,,,,17,18,스메리아가 그립다
31/S3023.DAT,0x47D6C,inline,,,,21,23,병사|벌써 겁먹었나?
31/S3023.DAT,0x47DB6,inline,,,,20,21,병사|너희론 무리다!
31/S3023.DAT,0x47F10,inline,,,,27,28,병사|장군 허가 없인 못 타.
31/S3023.DAT,0x48326,inline,,,,6,6,고마워
31/S3023.DAT,0x48426,inline,,,,27,29,남자|이젠 괴물 소굴입니다.
31/S3023.DAT,0x486CA,inline,,,,6,7,나가?
31/S3023.DAT,0x4870A,inline,,,,14,18,|나간다|그만
31/S3024.DAT,0x45D18,inline,,,,15,17,이젠 텅 비었어.
31/S3024.DAT,0x45D64,inline,,,,6,6,또왔네
31/S3024.DAT,0x45DF0,inline,,,,14,17,늘 한가하구먼.
31/S3024.DAT,0x45E3C,inline,,,,14,16,여긴 그대로군.
