행번호,파일,오프셋,칸,칸 바이트,빈 슬롯,원문,지금 화면,출처,수정제안,제안 바이트,상태
1,21/S2041.DAT,0x47DD4,3,10,57,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
2,21/S2041.DAT,0x47E2C,3,10,57,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
3,21/S2041.DAT,0x47E86,1,10,57,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
4,21/S2042.DAT,0x47DD4,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
5,21/S2042.DAT,0x47E2C,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
6,21/S2042.DAT,0x47E86,1,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
7,21/S2043.DAT,0x47DD4,3,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
8,21/S2043.DAT,0x47E2C,3,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
9,21/S2043.DAT,0x47E86,1,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
10,21/S2044.DAT,0x47DD4,3,10,58,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
11,21/S2044.DAT,0x47E2C,3,10,58,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
12,21/S2044.DAT,0x47E86,1,10,58,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
13,21/S2045.DAT,0x46DD4,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
14,21/S2045.DAT,0x46E2C,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
15,21/S2045.DAT,0x46E86,1,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
16,22/S2046.DAT,0x47DD4,3,10,35,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
17,22/S2046.DAT,0x47E2C,3,10,35,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
18,22/S2046.DAT,0x47E86,1,10,35,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
19,22/S2047.DAT,0x47DD4,3,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
20,22/S2047.DAT,0x47E2C,3,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
21,22/S2047.DAT,0x47E86,1,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
22,31/S3011.DAT,0x47DD4,3,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
23,31/S3011.DAT,0x47E2C,3,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
24,31/S3011.DAT,0x47E86,1,10,78,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
25,31/S3012.DAT,0x47DD4,3,10,63,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
26,31/S3012.DAT,0x47E2C,3,10,63,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
27,31/S3012.DAT,0x47E86,1,10,63,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
28,31/S3013.DAT,0x47DD4,3,10,64,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
29,31/S3013.DAT,0x47E2C,3,10,64,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
30,31/S3013.DAT,0x47E86,1,10,64,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
31,31/S3014.DAT,0x45DD4,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
32,31/S3014.DAT,0x45E2C,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
33,31/S3014.DAT,0x45E86,1,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
34,5/S5011.DAT,0x47DD4,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
35,5/S5011.DAT,0x47E2C,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
36,5/S5011.DAT,0x47E86,1,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
37,5/S5012.DAT,0x47DD4,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
38,5/S5012.DAT,0x47E2C,3,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
39,5/S5012.DAT,0x47E86,1,10,68,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
40,5/S5013.DAT,0x46DD4,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
41,5/S5013.DAT,0x46E2C,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
42,5/S5013.DAT,0x46E86,1,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
43,6/S6011.DAT,0x47DD4,3,10,77,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
44,6/S6011.DAT,0x47E2C,3,10,77,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
45,6/S6011.DAT,0x47E86,1,10,77,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
46,6/S6012.DAT,0x47DD4,3,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
47,6/S6012.DAT,0x47E2C,3,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
48,6/S6012.DAT,0x47E86,1,10,73,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
49,6/S6013.DAT,0x47DD4,3,10,66,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
50,6/S6013.DAT,0x47E2C,3,10,66,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
51,6/S6013.DAT,0x47E86,1,10,66,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
52,6/S6014.DAT,0x46DD4,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
53,6/S6014.DAT,0x46E2C,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
