source file,before CTRL00 rows,before all rows,before complete rows,after all rows
B/SB071.DAT,72,76,3,4
B/SB072.DAT,69,84,9,15
31/S3024.DAT,34,103,61,69
4/S4032.DAT,33,43,8,10
4/S4033.DAT,33,67,22,34
4/S4034.DAT,33,63,22,30
4/S4035.DAT,33,59,21,26
4/S4036.DAT,33,57,22,24
31/S3021.DAT,32,32,0,0
31/S3022.DAT,32,68,30,36
31/S3023.DAT,32,58,22,26
7/S7028.DAT,31,81,24,50
7/S7021.DAT,30,61,9,31
7/S7022.DAT,30,59,10,29
7/S7023.DAT,30,61,10,31
7/S7024.DAT,30,62,11,32
7/S7025.DAT,30,63,12,33
7/S7026.DAT,30,71,18,41
F/SF021.DAT,30,51,14,21
5/S5031.DAT,27,28,0,1
32/S3051.DAT,24,27,3,3
B/SB081.DAT,24,24,0,0
E2/SE026.DAT,24,24,0,0
E2/SE027.DAT,24,24,0,0
E3/SE035.DAT,24,24,0,0
E3/SE036.DAT,24,24,0,0
6/S6041.DAT,23,37,8,14
7/S7027.DAT,23,50,22,27
8/S8051.DAT,23,30,5,7
C1/SC041.DAT,23,30,0,7
D/SD071.DAT,23,29,3,6
E5/SE05A.DAT,23,52,1,29
23/S2061.DAT,22,39,13,17
8/S8031.DAT,22,34,9,12
F/SF0C1.DAT,22,22,0,0
1/S1051.DAT,21,21,0,0
21/S2021.DAT,21,33,10,12
4/S4011.DAT,21,49,23,28
4/S4051.DAT,21,21,0,0
6/S6021.DAT,21,25,1,4
9/S9021.DAT,21,23,1,2
9/S9031.DAT,21,25,2,4
B/SB011.DAT,21,21,0,0
C1/SC011.DAT,21,29,1,8
C1/SC021.DAT,21,28,0,7
C1/SC031.DAT,21,28,0,7
C1/SC051.DAT,21,28,0,7
C1/SC061.DAT,21,28,0,7
C1/SC081.DAT,21,28,0,7
C1/SC091.DAT,21,28,0,7
C2/SC0A1.DAT,21,28,0,7
C2/SC0B1.DAT,21,21,0,0
C2/SC0B2.DAT,21,21,0,0
C2/SC0B3.DAT,21,21,0,0
C2/SC0B4.DAT,21,21,0,0
C2/SC0B5.DAT,21,21,0,0
C2/SC0C1.DAT,21,28,3,7
E1/SE011.DAT,21,21,0,0
E1/SE012.DAT,21,21,0,0
E1/SE013.DAT,21,21,0,0
E1/SE014.DAT,21,21,0,0
E1/SE015.DAT,21,21,0,0
E1/SE016.DAT,21,21,0,0
E1/SE017.DAT,21,21,0,0
E1/SE018.DAT,21,21,0,0
E1/SE019.DAT,21,21,0,0
E1/SE01A.DAT,21,21,0,0
E2/SE021.DAT,21,21,0,0
E2/SE022.DAT,21,21,0,0
E2/SE023.DAT,21,21,0,0
E2/SE024.DAT,21,21,0,0
E2/SE025.DAT,21,21,0,0
E2/SE028.DAT,21,21,0,0
E2/SE029.DAT,21,21,0,0
E2/SE02A.DAT,21,21,0,0
E3/SE031.DAT,21,21,0,0
E3/SE032.DAT,21,21,0,0
E3/SE033.DAT,21,21,0,0
E3/SE034.DAT,21,21,0,0
E3/SE037.DAT,21,21,0,0
E3/SE038.DAT,21,21,0,0
E3/SE039.DAT,21,21,0,0
E3/SE03A.DAT,21,21,0,0
E4/SE041.DAT,21,21,0,0
E4/SE042.DAT,21,21,0,0
E4/SE043.DAT,21,21,0,0
E4/SE044.DAT,21,21,0,0
E4/SE045.DAT,21,21,0,0
E4/SE046.DAT,21,21,0,0
E4/SE047.DAT,21,21,0,0
E4/SE048.DAT,21,21,0,0
E4/SE049.DAT,21,21,0,0
E4/SE04A.DAT,21,21,0,0
E5/SE051.DAT,21,21,0,0
E5/SE052.DAT,21,21,0,0
E5/SE053.DAT,21,21,0,0
E5/SE054.DAT,21,21,0,0
E5/SE055.DAT,21,21,0,0
E5/SE056.DAT,21,21,0,0
E5/SE057.DAT,21,21,0,0
E5/SE058.DAT,21,21,0,0
E5/SE059.DAT,21,21,0,0
F/SF011.DAT,21,21,0,0
F/SF031.DAT,21,25,2,4
B/SB031.DAT,20,25,4,24
22/S2046.DAT,17,73,31,60
31/S3011.DAT,16,19,3,7
6/S6011.DAT,16,20,3,8
COMM.DAT,16,24,8,4
