file,offset,slot,bytes,tokens,hangul_ratio,known,decoded
1/S1011.DAT,0x45400,8,12,6,16,0,뭐····?
1/S1011.DAT,0x45480,9,49,41,65,0,새해가 오면 팔렌시아 성에서 나를 데리러 와. 그게 우리 일족의 ··이야.
1/S1011.DAT,0x45500,10,65,48,60,0,용케도 시온의 불꽃을 ·구나! ·천 년이라는 긴 세· 동안 나를 가두어 온 불꽃을...
1/S1011.DAT,0x45580,11,47,37,67,0,그리고 신의 피를 이은 일족의 ·이라는 이유로 왕자와 결·해야 해.
1/S1011.DAT,0x45600,12,33,26,57,0,대체 이 불꽃에는 어· 의미가 있는 거지...?
1/S1011.DAT,0x45680,13,24,21,66,0,그런 걸 신경 쓰고 있을 때가 아니야!
1/S1011.DAT,0x45700,14,39,29,65,0,"·천 년이나 계속 타오르는 정령의 산, 시온의 불꽃."
1/S1011.DAT,0x45780,15,37,23,34,0,...후·. 로활 ·번 ·루·· ·았잖로.
1/S1011.DAT,0x45800,16,13,8,25,0,·· 늘 ·루.
1/S1011.DAT,0x47826,80,3,3,0,0,.!·
1/S1011.DAT,0x4783B,80,2,2,0,0,·(
1/S1011.DAT,0x47855,80,2,2,0,0,·!
1/S1011.DAT,0x47863,80,2,2,0,0,.!
1/S1011.DAT,0x47870,80,3,2,0,0,··
1/S1011.DAT,0x47876,80,2,2,0,0,·!
1/S1011.DAT,0x4787C,80,3,3,0,0,·!·
1/S1011.DAT,0x4788E,81,3,3,0,0, !·
1/S1011.DAT,0x478AA,81,35,18,38,1,천 년째 타··온· 불꽃···  
1/S1011.DAT,0x47902,82,23,12,16,1,꽃· ·미····?  
1/S1011.DAT,0x47938,82,3,3,0,0,·!·
1/S1011.DAT,0x47954,82,21,12,8,1,· · ·· ·냐·  
1/S1011.DAT,0x4799E,83,42,21,23,1,·엔 팔렌·· 성··날 ··· ····
1/S1011.DAT,0x479FC,83,4,2,0,1,  
1/S1011.DAT,0x47A00,84,32,32,0,0,                                
1/S1011.DAT,0x47A48,84,3,3,0,0,···
1/S1011.DAT,0x47A54,84,12,9,44,1,그런 건 ·어. 
1/S1011.DAT,0x47A86,85,3,3,0,0,6!·
1/S1011.DAT,0x47A8C,85,3,3,0,0,·!·
1/S1011.DAT,0x47AAE,85,3,3,0,0,·!·
1/S1011.DAT,0x47AC6,85,3,3,33,0,스··
1/S1011.DAT,0x47AD2,85,26,23,60,1,...후우. 아무 일도 일어나지 않았잖아.
1/S1011.DAT,0x47B0A,86,3,3,0,0,.!·
1/S1011.DAT,0x47B34,86,3,3,33,0,려··
1/S1011.DAT,0x47B3E,86,49,26,30,1,온· 불· ·····천 년간 날 ·둔 불··· 
1/S1011.DAT,0x47B96,87,3,3,0,0,·!·
1/S1011.DAT,0x47BA6,87,3,3,0,0,···
1/S1011.DAT,0x47BB2,87,5,2,0,1,? 
1/S1011.DAT,0x47BF4,87,3,3,0,0,·!·
1/S1011.DAT,0x47C0F,88,4,3,0,0,··(
1/S1011.DAT,0x47C17,88,4,3,0,0,···
1/S1011.DAT,0x47C26,88,3,3,33,0,회··
1/S1011.DAT,0x47C36,88,3,2,0,0,··
1/S1011.DAT,0x47C77,88,2,2,0,0,··
1/S1011.DAT,0x47C8D,89,2,2,0,0,·!
1/S1011.DAT,0x47C99,89,2,2,0,0,·!
1/S1011.DAT,0x47CA5,89,2,2,0,0,·!
1/S1011.DAT,0x47CB1,89,2,2,0,0,·!
1/S1011.DAT,0x47CBD,89,2,2,0,0,·!
1/S1011.DAT,0x47CC9,89,2,2,0,0,·!
1/S1011.DAT,0x47CD5,89,2,2,0,0,·(
1/S1011.DAT,0x497FD,143,3,3,33,0,만0·
1/S1011.DAT,0x49800,144,5,3,33,0,리··
1/S1011.DAT,0x49806,144,6,6,50,0,분거·버··
1/S1011.DAT,0x49812,144,2,2,100,0,분가
1/S1011.DAT,0x4981A,144,3,2,0,0,·7
1/S1011.DAT,0x4981E,144,3,3,33,0,리··
1/S1011.DAT,0x49828,144,8,8,12,0,1··?·자 ·
1/S1011.DAT,0x49831,144,3,3,33,0,버··
1/S1011.DAT,0x49838,144,9,8,25,0,·0·는자0··
1/S1011.DAT,0x49844,144,4,4,50,0,조자0·
1/S1011.DAT,0x4984C,144,4,4,0,0,"·0,·"
1/S1011.DAT,0x4985C,144,2,2,0,0,··
1/S1011.DAT,0x49874,144,4,4,0,0,"·2,·"
1/S1011.DAT,0x49884,145,2,2,0,0,··
1/S1011.DAT,0x4989C,145,4,4,0,0,"·4,·"
1/S1011.DAT,0x498C4,145,4,4,0,0,"·6,·"
1/S1011.DAT,0x498D4,145,2,2,0,0,·!
1/S1011.DAT,0x498EC,145,16,16,37,0,·우0·해우0· 우0·겠우0·
1/S1011.DAT,0x49905,146,15,12,0,0,"······(,··0·"
1/S1011.DAT,0x4991E,146,2,2,0,0,··
1/S1011.DAT,0x49930,146,16,13,0,0,"·······(,··0·"
1/S1011.DAT,0x4994A,146,2,2,0,0,··
1/S1011.DAT,0x4995C,146,17,14,0,0,"·······(,··0··"
1/S1011.DAT,0x49984,147,8,8,25,0,·자0··자0·
1/S1011.DAT,0x4998D,147,3,3,33,0,자0·
1/S1011.DAT,0x499A4,147,8,8,37,0,내자0· 자0·
1/S1013.DAT,0x45480,9,48,37,70,0,"아크 데몬: 이번에야말로 성궤의 봉인을 풀 생각인가 보군, 용사여!"
1/S1013.DAT,0x45500,10,72,42,35,0,로· 프·: ·놈써 · 행씩· 죽족송· 삼천 ·· 결··둔 ·루· · 괜·.
1/S1013.DAT,0x45580,11,39,30,63,0,그래서 이 불꽃을 다시 ·면 모든 게 끝날 것만 같아.
1/S1013.DAT,0x45600,12,38,28,71,0,모든 것은 시온산의 불꽃을 ·던 그날부터 시작됐어.
1/S1013.DAT,0x45680,13,47,27,25,0,로· 프·: ··· ·런바·· ·포· ·족 괜·.
1/S1013.DAT,0x45700,14,18,16,62,0,너와 헤어지고 싶지 않아...
1/S1013.DAT,0x45780,15,13,9,66,0,"쿠쿠루, 부탁해."
1/S1013.DAT,0x45800,16,33,19,21,0,로· 프·: ···둔 ··써 ··.
1/S1013.DAT,0x4782B,80,2,2,0,0,··
1/S1013.DAT,0x47836,80,2,2,0,0,··
1/S1013.DAT,0x47839,80,2,2,0,0,··
1/S1013.DAT,0x47847,80,2,2,0,0,.·
1/S1013.DAT,0x4785E,80,3,2,0,0,··
1/S1013.DAT,0x47864,80,3,2,0,0,··
1/S1013.DAT,0x4786A,80,3,2,0,0,··
1/S1013.DAT,0x47870,80,3,2,0,0,··
1/S1013.DAT,0x47877,80,2,2,0,0,··
1/S1013.DAT,0x47884,81,3,2,0,0,··
1/S1013.DAT,0x4789C,81,3,3,33,0,면!·
1/S1013.DAT,0x478A2,81,3,3,33,0,는!·
1/S1013.DAT,0x478B0,81,3,3,33,0,지!·
1/S1013.DAT,0x478EA,81,22,18,22,1,마을· 가내            
1/S1013.DAT,0x47900,82,14,14,0,0,              
1/S1013.DAT,0x4792C,82,3,3,33,0,터!·
1/S1013.DAT,0x47948,82,34,30,13,1,마을· 가내                        
1/S1013.DAT,0x47990,83,3,3,33,0,보!·
1/S1013.DAT,0x479AC,83,10,7,42,1,쿠쿠루... 
1/S1013.DAT,0x479DC,83,3,3,0,0,8··
1/S1013.DAT,0x479EA,83,3,3,0,0,···
1/S1013.DAT,0x479F8,83,3,3,33,0,수!·
1/S1013.DAT,0x47A00,84,3,3,0,0,···
1/S1013.DAT,0x47A10,84,3,3,0,0,···
1/S1013.DAT,0x47A1C,84,14,10,20,1,가내        
1/S1013.DAT,0x47A50,84,3,3,33,0,으!·
1/S1013.DAT,0x47A58,84,3,3,0,0,···
1/S1013.DAT,0x47A5E,84,3,3,0,0,2··
1/S1013.DAT,0x47A6C,84,3,3,0,0,···
1/S1013.DAT,0x47A84,85,3,3,0,0,···
1/S1013.DAT,0x47A90,85,8,5,40,1,있··원·
1/S1013.DAT,0x47ABE,85,3,3,0,0,···
1/S1013.DAT,0x47ACC,85,3,3,33,0,왕!·
1/S1013.DAT,0x47AD2,85,3,3,0,0,·!·
1/S1013.DAT,0x47AE0,85,3,3,33,0,무!·
1/S1013.DAT,0x47AE6,85,3,3,33,0,려!·
1/S1013.DAT,0x47AEE,85,3,3,33,0,만··
1/S1013.DAT,0x47AF4,85,3,3,33,0,돌!·
1/S1013.DAT,0x47B0C,86,3,2,0,0,··
1/S1013.DAT,0x47B24,86,3,3,33,0,요··
1/S1013.DAT,0x47B2E,86,45,41,9,1,마을· 가내                                   
1/S1013.DAT,0x47B84,87,3,3,33,0,위··
