char,code_hex,slot_note
신,08,low-slot S1072 verified
의,0C,low-slot S1072 verified
피,10,low-slot S1072 verified
를,14,low-slot S1072 verified
은,18,low-slot S1072 verified
결,1C,low-slot S1072 verified
계,20,low-slot S1072 verified
킨,24,low-slot S1072 verified
진,28,low-slot S1072 verified
땅,2C,low-slot S1072 verified
도,30,low-slot S1072 verified
사,34,low-slot S1072 verified
말,38,low-slot S1072 verified
괄,3C,low-slot S1072 verified
량,40,low-slot S1072 verified
덕,44,low-slot S1072 verified
분,48,low-slot S1072 verified
에,4C,low-slot S1072 verified
드,50,low-slot S1072 verified
디,54,low-slot S1072 verified
어,58,low-slot S1072 verified
나,5C,low-slot S1072 verified
제,60,low-slot S1072 verified
끝,64,low-slot S1072 verified
여,68,stable high-slot
기,6C,stable high-slot
까,70,stable high-slot
지,74,stable high-slot
다,78,stable high-slot
이,7C,stable high-slot
뒤,80,stable high-slot
는,84,stable high-slot
혼,88,stable high-slot
자,8C,stable high-slot
가,90,stable high-slot
라,94,stable high-slot
아,98,stable high-slot
 ,9C,space/filler
크,A0,stable high-slot
조,A4,stable high-slot
심,A8,stable high-slot
하,AC,stable high-slot
거,B0,stable high-slot
돌,B4,stable high-slot
올,B8,stable high-slot
때,BC,stable high-slot
리,C0,stable high-slot
겠,C4,stable high-slot
예,C8,stable high-slot
촌,CC,stable high-slot
장,D0,stable high-slot
마,D4,stable high-slot
을,D8,stable high-slot
로,DC,stable high-slot
