char,code_hex,slot_note
…,E008,unused extended story code
것,E013,unused extended story code
게,E014,unused extended story code
겨,E016,unused extended story code
군,E0C5,unused extended story code; reassigned after cumulative zero-use proof
공,E0C6,unused extended story code; moved out of confirmed cursor rectangle
과,E0C7,unused extended story code; moved out of confirmed cursor rectangle
괴,E0C8,unused extended story code; moved out of confirmed cursor rectangle
구,E024,unused extended story code
국,E026,unused extended story code
궤,E028,unused extended story code
그,E029,unused extended story code
긴,E02A,unused extended story code
께,E02B,unused extended story code
남,E02C,unused extended story code
냐,E02E,unused extended story code
너,E032,unused extended story code
넣,E033,unused extended story code
누,E034,unused extended story code
니,E035,unused extended story code
대,E036,unused extended story code
스,E039,unused extended story code; reassigned after cumulative zero-use proof
들,E03B,unused extended story code
딸,E0B7,unused extended story code; moved out of battle cursor cells
떠,E0B8,unused extended story code; moved out of battle cursor cells
떻,E0B9,unused extended story code; moved out of battle cursor cells
람,E0BA,unused extended story code; moved out of battle cursor cells
래,E0BB,unused extended story code; moved out of battle cursor cells
런,E0BC,unused extended story code; moved out of battle cursor cells
루,E044,unused extended story code
류,E045,unused extended story code
르,E046,unused extended story code
린,E048,unused extended story code
만,E049,unused extended story code
망,E04A,unused extended story code
맡,E04B,unused extended story code
면,E04C,unused extended story code
멸,E04D,unused extended story code
명,E04E,unused extended story code
물,E04F,unused extended story code
미,E050,unused extended story code
밀,E051,unused extended story code
본,E052,unused extended story code
비,E053,unused extended story code
빌,E054,unused extended story code
산,E055,unused extended story code
상,E056,unused extended story code
서,E057,unused extended story code
선,E058,unused extended story code
설,E059,unused extended story code
성,E05A,unused extended story code
세,E05B,unused extended story code
속,E05C,unused extended story code
손,E05D,unused extended story code
숲,E05E,unused extended story code
습,E05F,unused extended story code
시,E061,unused extended story code
오,E062,unused extended story code
온,E063,unused extended story code
와,E064,unused extended story code
왕,E065,unused extended story code
요,E066,unused extended story code
용,E067,unused extended story code
우,E068,unused extended story code
위,E069,unused extended story code
인,E06A,unused extended story code
일,E06B,unused extended story code
입,E0C9,unused extended story code; moved out of confirmed cursor rectangle
