행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
4,1/S1011.DAT,0x4799E,슬롯 부족 / 창 넘침,"年が明ければ
パレンシア城から むかえが来るそれがわが一族のおきて・・。",해가 바뀌면 팔렌시아 성에서 마중이 올 거야. 그게 우리 일족의 규율이야...,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.
83,1/S1023.DAT,0x47952,선택지(E5),"アークの母 
父さんの置き手紙があるけどよむかい？
<CTRL:E5:03>ベつにいい。
<CTRL:E5:03>よむ。",어머니:|편지를 읽을까?|아니오|읽는다,어머니: 아버지가 남긴 편지가 있는데 읽어 볼래?|괜찮아|읽는다,어머니: 아버지가 남긴 편지가 있는데 읽어 볼래?|괜찮아|읽는다
86,1/S1023.DAT,0x47AB0,선택지(E5),"<CTRL:E5:03>強くなるためには
<CTRL:E5:03>作戦をたてるには
<CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ",강해지는 법|작전 세우기|피해 감소 <DEF6>|다음,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지
87,1/S1023.DAT,0x47B30,선택지(E5),"<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには
<CTRL:E5:03>よむのやめる。",피해 감소 <DFDF>|전투 요령|그만 읽기,"<CTRL: E5>""피해 줄이기 2<CTRL:E5>""전투 요령
<CTRL:E5>""그만 읽기","<CTRL: E5>""피해 줄이기 2<CTRL:E5>""전투 요령
<CTRL:E5>""그만 읽기"
92,1/S1023.DAT,0x47D0E,글자없음: R,自分のターンの時に、LRボタンを同時におしてフリーカーソルにして、,자기 차례에 두 버튼을 함께 눌러 자유 커서로 바꿔라<E060>,"자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,","자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,"
159,1/S1061.DAT,0x47DEC,글자없음: 엮,"私には分かる。<CTRL:E4:15>
あなたはたて糸で<CTRL:E4:15>
私のしたがう道なのよ。","나는 알 수 있어. 너는 날실이고, 내가 따라야 할 길이야.","난 알아. 당신은 내 운명에 감기는 실이며, 내가 걸어가야 할 길이야.","난 알아. 당신은 내 운명에 감기는 실이며, 내가 걸어가야 할 길이야."
200,21/S2013.DAT,0x47BDA,슬롯 부족 / 창 넘침,"兵士 
さつさとどけろ!!",(일본어 그대로),병사: 어서 비켜라!!,병사: 어서 비켜라!!
218,21/S2014.DAT,0x47B4E,글자없음: 맑,"罪人？
きれいな目をしていたわよ。",죄인? 눈이 고왔어.,죄인이라고? 눈빛은 좋던데.,죄인이라고? 눈빛은 좋던데.
283,21/S2041.DAT,0x48160,선택지(E5),"<CTRL:E5:04>もちろん!
<CTRL:E5:04>ちょつと自信がないな・・。
<CTRL:E5:04>まだ戦い方がわからないや。",물론이지<DFE3>|조금 불안해|싸울 줄 몰라,"<CTRL: E5>#물론이야!
<CTRL:E5>#조금 자신이 없어...
<CTRL:E5>#아직 싸우는 법을 몰라.","<CTRL: E5>#물론이야!
<CTRL:E5>#조금 자신이 없어...
<CTRL:E5>#아직 싸우는 법을 몰라."
288,21/S2041.DAT,0x483D4,슬롯 부족 / 창 넘침,"乗員 
いえ・・なにも。",<E0FF>무원: 아뇨<E060><E060><E060> 아무것도 아닙니다<E060>,승무원: 아뇨 아무것도 아닙니다.,승무원: 아뇨 아무것도 아닙니다.
290,21/S2041.DAT,0x48488,선택지(E5),"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",강해지는 방법|전투 요령|그만둘래,"<CTRL: E5>#강해지는 방법
<CTRL:E5>#전투 요령
<CTRL:E5>#그만","<CTRL: E5>#강해지는 방법
<CTRL:E5>#전투 요령
<CTRL:E5>#그만"
