category,japanese,korean_reference,note,source_page
item,ねばねば,끈끈이,민첩성을 떨어뜨린다,4
item,やる気ゼリー,원기 젤리,헤모지 상태 회복,4
item,みなぎる果実,충만 과실,레벨을 올려 준다,4
item,回復果物,회복 과실,HP 60 회복,4
item,しびれるりんご,마비 사과,마비시킨다,4
item,石,돌,던져서 타격,4
item,レコの草,레코의 풀,방어력 상승,4
item,薬草,약초,HP 20 회복,4
item,毒薬,독약,중독시킨다,4
item,ルヴの薬,루우의 약,마비 회복,4
item,すばやさの薬,민첩성의 약,일시적 민첩성 상승,4
item,小さい爆弾,작은 폭탄,폭발해서 타격,4
item,大きい爆弾,큰 폭탄,큰 폭발로 타격,4
item,万能薬,만능약,석화 이외 모든 이상 상태 회복,4
item,聖水,성수,독을 해독,4
item,復活の薬,부활의 약,전투불능 캐릭터 부활,4
item,攻撃瓶,공격 항아리,일시적 공격력 상승,4
item,眠りの玉,잠드는 구슬,잠들게 한다,4
item,弱り玉,약함의 구슬,일시적 공격력·방어력 저하,4
item,ちからの実,힘의 열매,공격력 상승,4
item,パロの実,파로의 열매,민첩성 상승,4
item,いのちの木の実,생명나무의 열매,HP 최대치 상승,4
item,魔力の葉,마력의 잎,마력 상승,4
item,魔力の泉,마력의 샘,MP 최대치 상승,4
item,目つぶしの草,모래 풀,공격 명중률 저하,4
item,若い葉,젊음의 잎,일시적 방어력 상승,4
item,石解けハリ,석해 침,석화(STONED) 회복,4
item,痛烈なハリ,통렬한 침,SILENCE 회복,4
accessory,炎の守り,불꽃의 수호,화염계 공격에 강해짐,10
accessory,氷の守り,얼음의 수호,빙계 공격에 강해짐,10
accessory,アンチヘモジー,안티헤모지,헤모지 상태 방지,10
accessory,いやしの守り,치료의 수호,장비한 캐릭터 HP 회복량 증가,10
accessory,名手のおび,명주 허리띠,획득 경험치 2배,10
accessory,魔法のカード,마법의 카드,마력 10% 상승,10
accessory,スリープレスカード,슬리프리스 카드,잠들지 않게 됨,10
accessory,パワーアーム,파워 암,방어력 30% 상승,10
accessory,ガイガーグローブ,가이거 글로브,던지기 레벨 1 상승,10
accessory,幻のこて,환상의 손끝,공격력 50% 상승,10
accessory,サングラス,선글래스,DARKNESS 방지,10
accessory,堂で方の護符,적중의 책,공격 명중률 상승,10
accessory,遠くへ投げの護符,투척의 책,던지기 레벨 상승,10
accessory,神のこぶし,신의 주먹,특정 적에게 강해짐,10
accessory,バイオレットレーサー,바이올렛 레이저,공격이 반드시 명중,10
accessory,ネックレス,네클리스,레벨업 시 MAX HP 증가율이 커짐,10
accessory,じゅず,염주,마력 30% 상승,10
accessory,長老のはちまき,장로의 머리띠,공격 명중률 상승,10
accessory,しぶりのバンダナ,질풍의 스카프,민첩성 10% 상승,10
