file,offset,score,speaker,ours,reference,reference_speaker,episode,japanese
1/S1011.DAT,0x478AA,0.05,,"3천 년이나 계속 타오르는 정령의 산, 시온의 불꽃.",,,,もう3000年も燃え続けている精霊(せいれい)の山 / シオンの炎。
1/S1011.DAT,0x47902,0.17,,대체 이 불꽃에는 어떤 의미가 있는 거지...?,,,,いつたい / この炎にどんな意味が・・？
1/S1011.DAT,0x47954,0.14,,그런 걸 신경 쓰고 있을 때가 아니야!,,,,そんなこと / 気にしている場合じゃない!
1/S1011.DAT,0x4799E,0.14,,해가 바뀌면 팔렌시아 성에서 마중이 올 거야. 그게 우리 일족의 규율이야...,,,,年が明ければ / パレンシア城から むかえが来るそれがわが一族のおきて・・。
1/S1011.DAT,0x479FC,0.14,,그리고 신의 피를 이은 백성의 딸로서 왕자와 결혼하게 되는 거야.,,,,そして / 神の血をひく民の娘として / 王子と結婚させられる。
1/S1011.DAT,0x47A54,0.08,,그런 건 사양이야.,,,,そんなのは、ごめんだわ。
1/S1011.DAT,0x47AD2,0.12,,...후우. 아무 일도 일어나지 않았잖아.,,,,・・ふう<CTRL:E4:3D> / 何も起こらなかつたじゃない。
1/S1011.DAT,0x47B3E,0.06,,잘도 시온의 불꽃을 껐구나! 3천 년이라는 긴 시간 동안 나를 가두어 둔 불꽃을...,,,,よくぞ シオンの炎を消した! / 3000年もの長きにわたり / われを封じ込めし炎を・・。
1/S1013.DAT,0x478EA,0.12,,모든 것은 시온산의 불꽃을 껐던 그날부터 시작됐어.,,,,・・すベては / このシオンの炎を消した / あの時から始まつた。
1/S1013.DAT,0x47948,0.08,,그래서 이 불꽃을 다시 끄면 모든 게 끝날 것만 같아.,,,,だから この炎を / もう一度消すと / 終わつてしまう気がする。
1/S1013.DAT,0x479AC,0.40,,쿠쿠루...,"쿠쿠루, 괜찮아?",아크,5,<CTRL:E4:3D>ククル・・。
1/S1013.DAT,0x47A1C,0.09,,너와 헤어지고 싶지 않아...,,,,<CTRL:E4:3D>連れたくない・・。
1/S1013.DAT,0x47A90,0.25,,"쿠쿠루, 부탁해.","쿠쿠루, 괜찮아?",아크,5,ククル、頼む。
