source file,offset,japanese,korean,source of the translation (existing / new)
1/S1011.DAT,0x478AA,"もう3000年も燃え続けている精霊（せいれい）の山
シオンの炎。",,
1/S1011.DAT,0x47902,"いつたい
この炎にどんな意味が・・？",,
1/S1011.DAT,0x47954,"そんなこと
気にしている場合じゃない！",,
1/S1011.DAT,0x4799E,"年が明ければ
パレンシア城から むかえが来るそれがわが一族のおきて・・。",,
1/S1011.DAT,0x479FC,"そして
神の血をひく民の娘として
王子と結婚させられる。",,
1/S1011.DAT,0x47A54,そんなのは、ごめんだわ。,,
1/S1011.DAT,0x47AD2,"・・ふ<G:306><CTRL:E4>よ
何も起こらなかつたじゃない。",,
1/S1011.DAT,0x47B3E,"よくぞ シオンの炎を消した！
3000年もの長きにわたり
われを封じ込めし炎を・・。",,
1/S1011.DAT,0x47BB2,・・？,,
1/S1013.DAT,0x478EA,"・・すベては
このシオンの炎を消した
あの時から始まつた。",모든 것은 시온산의 불꽃을 껐던 그날부터 시작됐어.,existing
1/S1013.DAT,0x47948,"だから この炎を
もう一度消すと
終わつてしまう気がする。",그래서 이 불꽃을 다시 끄면 모든 게 끝날 것만 같아.,existing
1/S1013.DAT,0x479AC,<CTRL:E4>よククル・・。,쿠쿠루...,existing
1/S1013.DAT,0x47A1C,<CTRL:E4>よ連れたくない・・。,너와 헤어지고 싶지 않아...,existing
1/S1013.DAT,0x47A90,ククル、頼む。,"쿠쿠루, 부탁해.",existing
1/S1013.DAT,0x47B2E,"アークデーモン 
今度こそ、z聖柩yの封印を
解く気のようだな
勇者よ！","아크 데몬: 이번에야말로 성궤의 봉인을 풀 생각이구나, 용사여!",existing
1/S1013.DAT,0x47B8E,"アークデーモン 
貴様を俺の手で殺すこによつて
俺は初めて3000年の呪いから
解放される。",아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 벗어날 수 있다.,existing
1/S1013.DAT,0x47BF8,"アークデーモン 
z聖柩yはサルバシオの<G:523>に
<G:676>いてある。",아크 데몬: 성궤는 사르바시오 폭포에 있다.,existing
1/S1013.DAT,0x47C4C,"アークデーモン 
貴様とは そこで決着をつけよう。",아크 데몬: 그곳에서 결판을 내자.,existing
1/S1021.DAT,0x4785C,"アイテムがあります。
z薬草yをみつけました。",아이템이 있다. 약초를 찾았다.,existing
1/S1021.DAT,0x478AC,ここにあつたものはもうひろいました。,여기 있던 것은 이미 주웠다.,existing
1/S1021.DAT,0x47914,"アイテムがあります。
z石yをみつけました。",아이템이 있다. 돌을 찾았다.,existing
1/S1021.DAT,0x47962,ここにあつたz石yはもうひろいました。,여기 있던 돌은 이미 주웠다.,existing
1/S1021.DAT,0x479AA,"これをぶつければ、
少しくらいの敵だつたら
倒せるかもしれないな。",이걸 던지면 웬만한 적은 쓰러뜨릴 수 있겠어.,existing
1/S1021.DAT,0x47A26,"アークの母 
あ！",어머니: 아!,existing
1/S1021.DAT,0x47A82,"アイテムがあります。
z魔法のカートyをみつけました。",아이템이 있다. 마법 카드를 찾았다.,existing
1/S1021.DAT,0x47AD6,"アークの母 
それをもつていつても、
何もいいことはないかも
しれないわよ。",어머니: 그걸 가져가도 별로 좋은 일은 없을 텐데.,existing
1/S1021.DAT,0x47B34,"そんなことないだろ。<CTRL:E4>つ
じゃ、もつていくよ。",그렇진 않을 거야. 그럼 가져갈게.,existing
1/S1021.DAT,0x47B7E,"アークの母 
せつかくあげたんだから、
ちゃんとそうびしてつかうのよ。",어머니: 모처럼 준 거니까 꼭 장비해서 쓰렴.,existing
1/S1021.DAT,0x47BD8,わかつたよ。,알았어.,existing
1/S1021.DAT,0x47C38,父のかたみのよろいと剣をみつけました。,아버지의 유품인 갑옷과 검을 찾았다.,existing
1/S1021.DAT,0x47CDE,"アークの母 
お父さんのよろいと剣はおくの部屋の
はこの中よ。",어머니: 아버지의 갑옷과 검은 안쪽 방 상자에 있어.,existing
1/S1021.DAT,0x47D46,母さん、心配しないで・・。,"엄마, 걱정하지 마...",existing
1/S1021.DAT,0x47D8A,"アークの母 
・・・アーク<CTRL:E4>よ
これをもつていきなさい。<CTRL:E4>よ",어머니: 아크... 이것도 가져가렴.,existing
1/S1021.DAT,0x47DE4,zカイザーグローフyをもらいました。,카이저 글러브를 받았다.,existing
1/S1021.DAT,0x47E30,z<G:263>活の薬yをもらいました。,부활의 약을 받았다.,existing
1/S1021.DAT,0x47E7A,z回<G:263>果物yをもらいました。,회복 열매를 받았다.,existing
1/S1021.DAT,0x47EC8,z聖水yをもらいました。,성수를 받았다.,existing
1/S1021.DAT,0x47F0E,"アークの母 
アーク<CTRL:E4>4・<CTRL:E4>4・<CTRL:E4>4・",어머니: 아크...,existing
1/S1021.DAT,0x4807A,"父さんのかたみのよろいと剣
この中にあるのは
分かつているんだけど。",아버지의 갑옷과 검이 여기 있는 건 알고 있지만...,existing
1/S1021.DAT,0x480D6,カベが かかつてるなんて・・。,자물쇠가 잠겨 있다니...,existing
1/S1021.DAT,0x48148,・・！,...!,existing
1/S1021.DAT,0x48196,"母さん<CTRL:E4>*、
あの日も、今夜みたいにすごい
ふぶきだつたんだよね？","엄마, 그날 밤도 오늘처럼 눈보라가 심했지?",existing
