파일,행번호,오프셋,줄일바이트,제자리칸,현재,원문
C2/SC0B6.DAT,2505,0x46572,1,18,넘치는 과실을 손에 넣었다.,<G:90>みなぎる果実<G:89>を手にいれた。
C2/SC0B6.DAT,2506,0x465B6,1,25,20번째 승리를 목표로 힘내 주십시오.,20回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2508,0x4664C,1,25,20번째 승리를 목표로 힘내 주십시오.,20回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2510,0x466E2,1,25,20번째 승리를 목표로 힘내 주십시오.,20回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2512,0x46778,1,25,20번째 승리를 목표로 힘내 주십시오.,20回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2516,0x468FA,1,15,힘의 열매를 손에 넣었다.,<G:90>ちからの実<G:89>を手にいれた。
C2/SC0B6.DAT,2517,0x4693C,1,25,40번째 승리를 목표로 힘내 주십시오.,40回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2519,0x469D0,1,25,40번째 승리를 목표로 힘내 주십시오.,40回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2521,0x46A68,1,25,40번째 승리를 목표로 힘내 주십시오.,40回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2522,0x46ABC,1,15,마력의 샘을 손에 넣었다.,<G:90>魔力の泉<G:89>を手にいれた。
C2/SC0B6.DAT,2523,0x46AFE,1,25,40번째 승리를 목표로 힘내 주십시오.,40回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2527,0x46C84,1,15,얼음의 수호를 손에 넣었다.,<G:90>氷の守り<G:89>を手にいれた。
C2/SC0B6.DAT,2528,0x46CC6,1,25,80번째 승리를 목표로 힘내 주십시오.,80回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2530,0x46D5A,1,25,80번째 승리를 목표로 힘내 주십시오.,80回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2531,0x46DAE,1,17,마법의 카트를 손에 넣었다.,<G:90>魔法のカート<G:89>を手にいれた。
C2/SC0B6.DAT,2532,0x46DF2,1,25,80번째 승리를 목표로 힘내 주십시오.,80回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2534,0x46E8C,1,25,80번째 승리를 목표로 힘내 주십시오.,80回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2539,0x47054,1,26,120번째 승리를 목표로 힘내 주십시오.,120回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2541,0x470EC,1,26,120번째 승리를 목표로 힘내 주십시오.,120回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2542,0x47140,1,11,거울을 손에 넣었다.,<G:90>鏡<G:89>を手にいれた。
C2/SC0B6.DAT,2543,0x4717E,1,26,120번째 승리를 목표로 힘내 주십시오.,120回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2545,0x47212,1,26,120번째 승리를 목표로 힘내 주십시오.,120回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2549,0x47360,1,17,디르의 어금니를 손에 넣었다.,<G:90>ディールの牙<G:89>を手にいれた。
C2/SC0B6.DAT,2550,0x473A4,1,26,160번째 승리를 목표로 힘내 주십시오.,160回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2555,0x4756C,1,26,200번째 승리를 목표로 힘내 주십시오.,200回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2557,0x47604,1,26,200번째 승리를 목표로 힘내 주십시오.,200回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2559,0x4769C,1,26,200번째 승리를 목표로 힘내 주십시오.,200回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2561,0x47730,1,26,200번째 승리를 목표로 힘내 주십시오.,200回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2566,0x478BC,1,27,1000번째 승리를 목표로 힘내 주십시오.,1000回目の勝利を目指して / がんばつて下さい。
C2/SC0B6.DAT,2570,0x47A12,1,18,넘치는 과실을 손에 넣었다.,<G:90>みなぎる果実<G:89>を手にいれた。
C2/SC0B6.DAT,2574,0x47B2C,1,15,힘의 열매를 손에 넣었다.,<G:90>ちからの実<G:89>を手にいれた。
C2/SC0B6.DAT,2577,0x47BFE,1,15,마력의 샘을 손에 넣었다.,<G:90>魔力の泉<G:89>を手にいれた。
C2/SC0B6.DAT,2578,0x47C44,1,15,얼음의 수호를 손에 넣었다.,<G:90>氷の守り<G:89>を手にいれた。
C2/SC0B6.DAT,2580,0x47CCE,1,17,마법의 카트를 손에 넣었다.,<G:90>魔法のカート<G:89>を手にいれた。
C2/SC0B6.DAT,2584,0x47DF2,1,11,거울을 손에 넣었다.,<G:90>鏡<G:89>を手にいれた。
C2/SC0B6.DAT,2479,0x45C78,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2482,0x45D8C,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2483,0x45DE8,2,25,20회까지 앞으로  회입니다. 힘내 주십시오.,20回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2485,0x45E8A,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2486,0x45EE6,2,25,40회까지 앞으로  회입니다. 힘내 주십시오.,40回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2488,0x45F88,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
