행번호,파일,오프셋,원문,현재,제안,현재바이트,제자리칸,제안바이트,결과
376,21/S2045.DAT,0x47F94,チョピン  / アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수능력은 커서로고르고 있을때 L이나R 버튼을 누르면그 효과를볼수 있습니다.",79,72,72,들어감
398,21/S2045.DAT,0x48810,チョピン  / すベての人が攻撃に向いているわけでは / ありません。,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀:모든 사람이 공격에 알맞은 것은 아닙니다.,36,35,35,들어감
401,21/S2045.DAT,0x48926,落ちこぼれとは誰のことじゃ？,낙오자라니 누구를 말하는 게냐?,,22,16,,공백만으로는 부족 — 문장을 줄여야 함
406,21/S2045.DAT,0x48B10,そうじゃ、おまえらの力で宝を / どんどん手に入れるんじゃ!,"그래, 너희 힘으로 보물을 척척 손에 넣는 거다!","그래,너희 힘으로 보물을 척척손에 넣는 거다!",32,30,30,들어감
408,21/S2045.DAT,0x48BC0,まかせる訳ないでしょ!,맡길 리가 없잖아!,맡길리가 없잖아!,13,12,12,들어감
413,21/S2045.DAT,0x48D6E,やさしいのう。,친절하기도 하군.,,11,8,,공백만으로는 부족 — 문장을 줄여야 함
417,21/S2045.DAT,0x48EC0,チョピン  / どれについてお話ししましょう？,초핀: 어느 것에 관해 말씀드릴까요?,,27,22,,공백만으로는 부족 — 문장을 줄여야 함
423,21/S2045.DAT,0x4916A,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀:고겐님이 동료가된뒤에 오르카스 언덕의스톤 서클에가 보셨습니까?,56,50,50,들어감
771,31/S3014.DAT,0x46FB4,チョピン  / アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수능력은 커서로고르고 있을때 L이나R 버튼을 누르면그 효과를볼수 있습니다.",79,72,72,들어감
774,31/S3014.DAT,0x47108,チョピン  / アイテム投げは反撃されないので / 強い敵でも安全な攻撃手段です。,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,,59,45,,공백만으로는 부족 — 문장을 줄여야 함
775,31/S3014.DAT,0x47174,チョピン  / 敵に攻撃した場合に、反撃をされ、 / ダメージを受けることがあります。,"초핀: 적을 공격했을 때 반격을 받아, 피해를 입을 때가 있습니다.","초핀: 적을 공격했을 때반격을 받아, 피해를 입을때가 있습니다.",46,44,44,들어감
776,31/S3014.DAT,0x471D2,チョピン  / これを避けるためには、 / 敵の後ろかよこに / 回り込んで攻撃することです。,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아 들어가 공격하면 됩니다.,초핀: 이를 피하려면 적의뒤나 옆으로 돌아 들어가 공격하면 됩니다.,47,46,46,들어감
777,31/S3014.DAT,0x47232,チョピン  / 逆に、自分が攻撃される時になるベく、 / 正面からになるようにしむけると / 敵に反撃しやすくなります。,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,초핀:반대로 자신이공격받을 때는되도록 정면을 향하게하면 적에게 반격하기 쉬워집니다.,65,61,61,들어감
778,31/S3014.DAT,0x472A2,チョピン  / 特しゅ攻撃もアイテムを投げるのと同じく絶対に敵の反撃を受けない攻撃手段です。,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,,74,54,,공백만으로는 부족 — 문장을 줄여야 함
779,31/S3014.DAT,0x47324,チョピン  / 何が知りたいですか？,초핀: 무엇을 알고 싶으십니까?,,22,17,,공백만으로는 부족 — 문장을 줄여야 함
782,31/S3014.DAT,0x4745A,チョピン  / こちらの攻撃がモンスターにきかないのはレベルの違い以外に、相しょうが悪い / 場合があります。,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,초핀:이쪽의공격이몬스터에게 통하지않는것은레벨차이외에상성이나쁜경우가있기때문입니다.,73,60,60,들어감
784,31/S3014.DAT,0x4752A,チョピン  / 他には、飛んでいるモンスターには、 / 風の魔法がよくきくとかもあります。,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,초핀: 날아다니는 몬스터에게는 바람 마법이 잘 통하는경우도 있습니다.,53,47,47,들어감
785,31/S3014.DAT,0x4758C,チョピン  / 戦いは頭を使わなきゃいけません。 / 力だけじゃだめなんですよ。,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,초핀: 싸움은머리를 써야 합니다. 힘만으로는안되는법입니다.,50,40,40,들어감
786,31/S3014.DAT,0x475E8,言つてくれるぜ。,잘도 말하는군.,잘도말하는군.,9,8,8,들어감
787,31/S3014.DAT,0x4762E,チョピン  / 強い相手を選んで戦うと、それだけ多くの経験をつめます。,초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,초핀: 강한 상대와 싸우면 많은 경험치를 쌓을수 있습니다.,43,40,40,들어감
792,31/S3014.DAT,0x477D6,チョピン  / 仲聞がふえてくると、戦闘での役わりに / よりレベルにさが出てきます。,초핀: 동료가 늘어나면 전투에서의 역할에 따라 레벨 차이가 더 생기게 됩니다.,,58,43,,공백만으로는 부족 — 문장을 줄여야 함
793,31/S3014.DAT,0x47834,チョピン  / すベての人が攻撃に向いているわけでは / ありません。,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀:모든 사람이 공격에 알맞은 것은 아닙니다.,36,35,35,들어감
794,31/S3014.DAT,0x4788A,チョピン  / キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,,59,48,,공백만으로는 부족 — 문장을 줄여야 함
796,31/S3014.DAT,0x4794A,落ちこぼれとは誰のことじゃ？,낙오자라니 누구를 말하는 게냐?,,22,16,,공백만으로는 부족 — 문장을 줄여야 함
798,31/S3014.DAT,0x47A1A,チョピン  / アララトスの遺跡ダンジョンは / 相当に階層が深いようです。,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적던전은 층이상당히 많은것 같습니다.,45,43,43,들어감
799,31/S3014.DAT,0x47A78,チョピン  / なかには、モンスターに守られた、 / あそこにしかないアクセサリーもあると / 聞きます。,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.","초핀:그안에는 몬스터가 지키고있는, 그곳에서만 얻을수있는 액세서리도있다고 들었습니다.",58,52,52,들어감
800,31/S3014.DAT,0x47ADE,チョピン  / 力試しもかねて、時には行つてみるのも / よいのでは？,"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?",,46,34,,공백만으로는 부족 — 문장을 줄여야 함
803,31/S3014.DAT,0x47BE4,まかせる訳ないでしょ!,맡길 리가 없잖아!,맡길리가 없잖아!,13,12,12,들어감
806,31/S3014.DAT,0x47CD6,チョピン  / ミルマーナには、3カ所バトルエリアが / あるこですし、時には行つて、 / 話を聞くのもよいでしょう。,"초핀: 미르마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다.","초핀:미르마나에는 세곳의배틀에어리어가 있다고하니, 때로는가서 이야기를듣는것도 좋겠습니다.",66,58,58,들어감
807,31/S3014.DAT,0x47D42,チョピン  / 行くと万能薬をもらえるようですよ。,초핀: 가면 만능약을 받을 수 있는 것같습니다.,초핀:가면만능약을 받을수있는 것같습니다.,31,27,27,들어감
808,31/S3014.DAT,0x47D92,やさしいのう。,친절하기도 하군.,,11,8,,공백만으로는 부족 — 문장을 줄여야 함
810,31/S3014.DAT,0x47E3A,チョピン  / 自分の強さを試したくなつた場合に、 / 立ちよつてみてはどうでしょう。,"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?","초핀: 실력도 시험해 볼겸, 가끔 들러 보는 것도 좋지 않을까요?",46,45,45,들어감
812,31/S3014.DAT,0x47EE4,チョピン  / どれについてお話ししましょう？,초핀: 어느 것에 관해 말씀드릴까요?,,27,22,,공백만으로는 부족 — 문장을 줄여야 함
818,31/S3014.DAT,0x4818E,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀:고겐님이 동료가된뒤에 오르카스 언덕의스톤 서클에가 보셨습니까?,56,50,50,들어감
819,31/S3014.DAT,0x481F2,チョピン  / ここでは、あるアイテムが手に入ります。ストーンサークルだけに・・。,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀:여기서는어떤아이템을얻을수있습니다.스톤서클에서만말이지요.,52,42,41,들어감
821,31/S3014.DAT,0x482B6,チョピン  / その時に、カーソルと<CTRL:E7:02>でリングの中の技を選んでアイコンの位置を変えられるんです。,초핀: 그때 커서와  로 링 안의 기술을 고르고 아이콘의 위치를 바꾸어 놓을 수 있습니다.,초핀:그때 커서와 로링안의 기술을고르고 아이콘의 위치를 바꾸어 놓을수 있습니다.,61,55,55,들어감
822,31/S3014.DAT,0x48320,チョピン  / これは、一度変えるとセーフされるので / すつと使えますよ。,초핀: 이것은 한 번 바꾸면 저장되므로 언제나 사용할 수 있습니다.,초핀:이것은한번 바꾸면저장되므로 언제나사용할수있습니다.,47,40,40,들어감
824,31/S3014.DAT,0x483F8,チョピン  / ポコ様の楽器は、全部で8つになると聞いております。全部見つかると、かなり強い兵隊になれそうですね。,초핀: 포코 님의 악기는 전부 8개라고 들었습니다. 모두 찾으면 상당히 강한 병사가 될 수 있겠군요.,초핀: 포코님의 악기는전부 8개라고 들었습니다. 모두찾으면 상당히강한 병사가 될수 있겠군요.,69,64,64,들어감
828,31/S3014.DAT,0x4859E,チョピン  / モンスターの多いところで使つてみては / どうでしょう。,초핀: 몬스터가 많은 곳에서 써 보시는 건 어떻겠습니까?,초핀: 몬스터가 많은 곳에서써 보시는건 어떻겠습니까?,38,36,36,들어감
832,31/S3014.DAT,0x4873E,チョピン  / 1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。,"초핀: 고겐 님께 하나, 마지막은 아크 님의 아버님이 가지고 계셨다고 합니다.","초핀: 고겐님께 하나, 마지막은 아크님의 아버님이 가지고 계셨다고 합니다.",54,52,52,들어감
833,31/S3014.DAT,0x487A8,チョピン  / 戦闘での経験値が倍なるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。 / 誰でも使えるようですね。,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀:전투경험치를두배로늘려주는 장신구가있다고합니다.이름은「비단띠」.누구나착용할수있습니다.,81,66,66,들어감
1005,32/S3051.DAT,0x48DB0,兵士  / 連れすついて来てください。,병사: 계속 따라와 주십시오.,병사:계속따라와 주십시오.,21,19,19,들어감
1361,5/S5013.DAT,0x47F80,チョピン  / アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수능력은 커서로고르고 있을때 L이나R 버튼을 누르면그 효과를볼수 있습니다.",79,72,72,들어감
1383,5/S5013.DAT,0x487FC,チョピン  / すベての人が攻撃に向いているわけでは / ありません。,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀:모든 사람이 공격에 알맞은 것은 아닙니다.,36,35,35,들어감
1386,5/S5013.DAT,0x48912,落ちこぼれとは誰のことじゃ？,낙오자라니 누구를 말하는 게냐?,,22,16,,공백만으로는 부족 — 문장을 줄여야 함
