file,offset,capacity,text
D/SD011.DAT,0x47900,27,"불꽃이 꺼진 뒤 산속에서 대체 무슨 일이..."
D/SD011.DAT,0x47958,24,"내가 벌인 일이니 내 손으로 해결해야 해."
D/SD011.DAT,0x479E0,12,"누구야...? 여긴 왜 왔지?"
D/SD011.DAT,0x47A20,18,"난 아크야. 너야말로 누구지?"
D/SD011.DAT,0x47A66,29,"난 시온산의 봉인을 지키는 일족, 쿠쿠루야."
D/SD011.DAT,0x47AB8,39,"하지만 그 운명에 얽매이기 싫어서 봉인의 불꽃을 꺼 버렸어."
D/SD011.DAT,0x47B14,40,"그러자 갑자기 산이 날뛰기 시작했어. 그래서 불을 다시 붙이려고..."
D/SD011.DAT,0x47BAE,43,"안 돼! 산에서 무서운 목소리가 들렸어. 불꽃을 꺼서 무언가 깨어난 거야."
D/SD011.DAT,0x47C0E,23,"내가 저지른 일 때문에 네가 위험해질 거야..."
D/SD011.DAT,0x47C5A,59,"산에 괴물이 있다면 십 년 전 아버지를 죽인 놈일 거야. 누가 말려도 난 간다."
1/S1041.DAT,0x4794A,7,"...!"
1/S1041.DAT,0x479BA,36,"아크 데몬: 네가 봉인을 풀어 버린 용사인가?"
1/S1041.DAT,0x47A12,18,"네가 아버지를 죽인 놈이구나!"
1/S1041.DAT,0x47A56,53,"아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 푼 용사를 죽이고..."
1/S1041.DAT,0x47ABE,34,"아크 데몬: 삼천 년의 저주를 끊어 내겠다!"
1/S1041.DAT,0x47B12,19,"아크 데몬: 각오해라!"
1/S1041.DAT,0x47BB8,49,"아크 데몬: 아니야! 이런 놈이 아니다! 날 깨운 자는 어디 있지?"
1/S1041.DAT,0x47C86,23,"이런 곳에서 죽는 건가..."
1/S1041.DAT,0x47CD2,10,"제길..."
1/S1041.DAT,0x47DD2,6,"뭐, 뭐지?"
1/S1041.DAT,0x47E22,11,"힘이 솟아오른다!"
1/S1041.DAT,0x47E68,7,"일어나세요."
1/S1041.DAT,0x47EA4,3,"누구지?"
1/S1041.DAT,0x47EE2,26,"산의 정령: 저는 이 산의 정령입니다..."
