file,offset,capacity,mode,text
1/S1013.DAT,0x478EA,36,e2,"모든 것은 시온산의 불꽃을 껐던 그날부터 시작됐어."
1/S1013.DAT,0x47948,34,e2,"그래서 이 불꽃을 다시 끄면 모든 게 끝날 것만 같아."
1/S1013.DAT,0x479AC,10,e2,"쿠쿠루..."
1/S1013.DAT,0x47A1C,14,e2,"너와 헤어지고 싶지 않아..."
1/S1013.DAT,0x47A90,8,e2,"쿠쿠루, 부탁해."
1/S1013.DAT,0x47B2E,45,e2,"아크 데몬: 이번에야말로 성궤의 봉인을 풀 생각이구나, 용사여!"
1/S1013.DAT,0x47B8E,55,e2,"아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 벗어날 수 있다."
1/S1013.DAT,0x47BF8,34,e2,"아크 데몬: 성궤는 사르바시오 폭포에 있다."
1/S1013.DAT,0x47C4C,28,e2,"아크 데몬: 그곳에서 결판을 내자."
1/S1021.DAT,0x4785C,26,e2,"아이템이 있다. 약초를 찾았다."
1/S1021.DAT,0x478AC,18,e2,"여기 있던 것은 이미 주웠다."
1/S1021.DAT,0x47914,23,e2,"아이템이 있다. 돌을 찾았다."
1/S1021.DAT,0x47962,19,e2,"여기 있던 돌은 이미 주웠다."
1/S1021.DAT,0x479AA,37,e2,"이걸 던지면 웬만한 적은 쓰러뜨릴 수 있겠어."
1/S1021.DAT,0x47A26,11,e2,"어머니: 아!"
1/S1021.DAT,0x47A82,30,e2,"아이템이 있다. 마법 카드를 찾았다."
1/S1021.DAT,0x47AD6,42,e2,"어머니: 그걸 가져가도 별로 좋은 일은 없을 텐데."
1/S1021.DAT,0x47B34,24,e2,"그렇진 않을 거야. 그럼 가져갈게."
1/S1021.DAT,0x47B7E,38,e2,"어머니: 모처럼 준 거니까 꼭 장비해서 쓰렴."
1/S1021.DAT,0x47BD8,6,e2,"알았어."
1/S1021.DAT,0x47C38,20,e2,"아버지의 유품인 갑옷과 검을 찾았다."
1/S1021.DAT,0x47CDE,38,e2,"어머니: 아버지의 갑옷과 검은 안쪽 방 상자에 있어."
1/S1021.DAT,0x47D46,18,e2,"엄마, 걱정하지 마..."
1/S1021.DAT,0x47D8A,36,e2,"어머니: 아크... 이것도 가져가렴."
1/S1021.DAT,0x47DE4,21,e2,"카이저 글러브를 받았다."
1/S1021.DAT,0x47E30,19,e2,"부활의 약을 받았다."
1/S1021.DAT,0x47E7A,19,e2,"회복 열매를 받았다."
1/S1021.DAT,0x47EC8,14,e2,"성수를 받았다."
1/S1021.DAT,0x47F0E,21,e2,"어머니: 아크..."
1/S1021.DAT,0x4807A,40,e2,"아버지의 갑옷과 검이 여기 있는 건 알고 있지만..."
1/S1021.DAT,0x480D6,18,e2,"자물쇠가 잠겨 있다니..."
1/S1021.DAT,0x48148,5,e2,"...!"
1/S1021.DAT,0x48196,38,e2,"엄마, 그날 밤도 오늘처럼 눈보라가 심했지?"
1/S1021.DAT,0x481F0,45,e2,"오늘 밤 산에 가면 아버지가 우리를 두고 사라진 이유를 알 수 있을 것 같아."
1/S1021.DAT,0x48250,35,e2,"어머니: 네 아버지는... 죽었단다."
1/S1021.DAT,0x482A8,45,e2,"아버지가 죽었다니 거짓말이야! 그렇게 강한 분이 쉽게 죽을 리 없어."
1/S1021.DAT,0x48308,35,e2,"어머니: 산에는 분명 무서운 괴물이 있어..."
1/S1021.DAT,0x48360,50,e2,"괴물이 아버지를 죽였다면 내가 원수를 갚겠어!"
1/S1021.DAT,0x483C6,32,e2,"엄마... 내 눈으로 직접 확인하고 싶어."
1/S1021.DAT,0x48420,17,e2,"어머니: 아크..."
1/S1021.DAT,0x48496,9,e2,"엄마..."
1/S1021.DAT,0x48512,42,e2,"어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나."
1/S1021.DAT,0x485E8,33,e2,"어머니: 여보... 정말 가야만 해요?"
1/S1021.DAT,0x4863C,43,e2,"아버지: 이해해 줘, 포르타. 이 세계의 운명이 걸린 일이야."
1/S1021.DAT,0x4869A,44,e2,"어머니: 왜 당신이어야 해요...? 나와 아크는 어떻게 하라고요?"
1/S1021.DAT,0x486F8,36,e2,"아버지: 미안하오. 하지만 내가 아니면..."
1/S1021.DAT,0x4874E,34,e2,"어머니: 싫어요! 난 평범한 행복만 있으면 돼요..."
1/S1021.DAT,0x487A2,67,e2,"아버지: 십 년 뒤 오늘, 봉인이 풀리고 산이 다시 날뛸 거다. 그때 아크는 산으로 향한다."
1/S1021.DAT,0x48818,16,e2,"어머니: 산이 날뛴다고요?"
1/S1021.DAT,0x4885A,36,e2,"아버지: 봉인됐던 괴물이 나타날 거다."
1/S1021.DAT,0x488B0,38,e2,"어머니: 그런 곳에 아크를 보내다니... 그만하세요! 전부 다!"
1/S1021.DAT,0x48908,41,e2,"아버지: 포르타... 그날까지 우리 아이 아크를 부탁하오!"
1/S1021.DAT,0x48A4E,21,e2,"아버지의 유품을 장비해야겠어."
1/S1021.DAT,0x48AC6,26,e2,"아버지의 유품은 안쪽 방 상자에 있을 거야."
1/S1021.DAT,0x48B14,41,e2,"말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼."
1/S1021.DAT,0x48C34,22,e2,"이번만큼은 내 힘으로 해내고 싶어."
1/S1021.DAT,0x48C88,14,e2,"엄마에게 한마디 하고 가야 해."
1/S1021.DAT,0x48CF8,41,e2,"말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼."
1/S1021.DAT,0x48DA6,28,e2,"어머니: 요슈아, 아크를 지켜 주세요..."
1/S1022.DAT,0x4789A,15,e2,"그럼 엄마, 다녀올게."
1/S1022.DAT,0x478DC,16,e2,"어머니: ..."
1/S1022.DAT,0x47940,24,e2,"어머니: 너도 떠나는 거니?"
1/S1022.DAT,0x479A2,47,e2,"별일 아니야. 왕의 부름을 받아 팔렌시아로 가는 것뿐이야."
1/S1022.DAT,0x47A06,28,e2,"병사가 되면 엄마도 편히 지낼 수 있어."
1/S1022.DAT,0x47A62,46,e2,"어머니: 몸조심하렴. 힘들면 언제든 돌아오고."
1/S1022.DAT,0x47ACA,36,e2,"어머니: 아크... 이것도 가져가렴."
1/S1022.DAT,0x47B24,22,e2,"질풍의 반다나를 받았다."
1/S1022.DAT,0x47B70,17,e2,"부활의 약을 받았다."
1/S1022.DAT,0x47BB8,12,e2,"성수를 받았다."
1/S1022.DAT,0x47C0E,20,e2,"응. 그렇게 걱정하지 마."
1/S1022.DAT,0x47C68,17,e2,"어머니: 아크..."
1/S1023.DAT,0x478BC,25,e2,"어머니: 지치면 언제든 돌아오렴."
1/S1023.DAT,0x4790C,14,e2,"약초를 받았다."
1/S1023.DAT,0x47952,47,choice,"어머니:|편지를 읽을까?|아니오|읽는다"
1/S1023.DAT,0x479C0,22,e2,"어머니: 무리하지 말거라."
1/S1023.DAT,0x47A40,55,e2,"아버지의 편지: 네 여행에 도움이 되길 바라며 쓴다. 목숨을 소중히 여기고 끝까지 싸워라."
1/S1023.DAT,0x47AB0,55,choice,"강해지는 법|작전 세우기|피해 줄이기 1|다음"
1/S1023.DAT,0x47B30,40,choice,"피해 줄이기 2|전투 요령|그만 읽기"
1/S1023.DAT,0x47BA0,27,e2,"어느 나라든 언제나 괴물이 출몰하는 장소가 있다."
1/S1023.DAT,0x47BEE,27,e2,"그곳에서 거듭 싸우면 계속 강해질 수 있다."
1/S1023.DAT,0x47C3C,61,e2,"그 장소의 괴물은 진행해도 바뀌지 않는다. 원하는 수련 수준에 맞춰 장소를 고르면 된다."
1/S1023.DAT,0x47CB8,36,e2,"숲이나 동굴에서는 뜻밖의 방향에서 적이 덮칠 수 있다."
1/S1023.DAT,0x47D0E,38,e2,"자기 차례에 두 버튼을 함께 눌러 자유 커서로 바꿔라."
1/S1023.DAT,0x47D66,37,e2,"자유 커서로 적의 위치와 지형을 살피고 작전을 세워라."
1/S1023.DAT,0x47DCA,35,e2,"적을 공격하면 반격을 받아 피해를 입을 수 있다."
1/S1023.DAT,0x47E20,38,e2,"반격을 피하려면 적의 옆이나 뒤로 돌아가 공격해라."
1/S1023.DAT,0x47E78,48,e2,"공격받을 때는 정면을 향하도록 하면 적에게 반격하기 쉽다."
1/S1023.DAT,0x47EDA,25,e2,"전투에서는 이런 작은 차이가 중요하다."
1/S1023.DAT,0x47F32,39,e2,"마법이나 아이템을 던지는 공격은 절대 반격받지 않는다."
1/S1023.DAT,0x47F8C,33,e2,"다만 적에게 피해를 주는 아이템은 한정돼 있다."
1/S1023.DAT,0x47FE0,23,e2,"우선은 돌을 던지는 것이 좋다."
1/S1023.DAT,0x48036,51,e2,"분열하는 괴물은 체력이 절반이 되지만 쓰러뜨릴 때 얻는 경험치는 그대로다."
1/S1023.DAT,0x4809C,16,e2,"이 점을 잘 이용해라."
1/S1023.DAT,0x48142,13,e2,"엄마, 약초 좀 줘."
1/S1023.DAT,0x48182,40,e2,"어머니: 아크, 잘 들으렴. 집에는 이제 약초가 없어..."
