file,offset,capacity,text
1/S1071.DAT,0x478D6,39,촌장|성스러운 일족만 들어간다.
1/S1071.DAT,0x47932,41,약속 지킬 거야?|정말 자유인 거야?
1/S1071.DAT,0x4798E,55,촌장|물론이지.|먼저 시온산 봉인의 불을 꺼라.
1/S1071.DAT,0x479FA,6,알아
1/S1011.DAT,0x478AA,35,3천 년째 타는|시온의 불꽃...
1/S1011.DAT,0x47902,23,불꽃의 의미는...?
1/S1011.DAT,0x47954,21,신경 쓸 때가 아냐!
1/S1011.DAT,0x4799E,42,새해엔 팔렌시아 성에서|날 데리러 와...
1/S1011.DAT,0x479FC,36,신의 피를 이어|왕자와 결혼해야 해.
1/S1011.DAT,0x47A54,12,절대 싫어.
1/S1011.DAT,0x47AD2,26,아무 일도 없잖아.
1/S1011.DAT,0x47B3E,49,시온의 불을 껐구나!|3천 년간 날 가둔 불...
1/S1011.DAT,0x47BB2,5,뭐?
